track_uri,name,popularity,valence,acousticness,energy,analysis_url
582EVyAFKmKPa1bVPSDurJ,Two Fingers,58,0.913,0.00252,0.677,https://api.spotify.com/v1/audio-analysis/582EVyAFKmKPa1bVPSDurJ
0z1hoxTVVdZn1OxciNsRuw,Something to Believe In,44,0.881,0.0462,0.882,https://api.spotify.com/v1/audio-analysis/0z1hoxTVVdZn1OxciNsRuw
35WxT8FX7Y3i7Tc4VX7yR3,joy.,0,0.417,0.0102,0.536,https://api.spotify.com/v1/audio-analysis/35WxT8FX7Y3i7Tc4VX7yR3
7sMcFdVYcwucGVtoV7r9lZ,Casual Party,44,0.495,8.88e-05,0.808,https://api.spotify.com/v1/audio-analysis/7sMcFdVYcwucGVtoV7r9lZ
5jhfa76FhqtD3Boij6MAKS,Love You Madly,56,0.658,0.0908,0.809,https://api.spotify.com/v1/audio-analysis/5jhfa76FhqtD3Boij6MAKS
2WgbFkQQswVVEWnyKnFo2q,All My Friends,50,0.357,0.111,0.837,https://api.spotify.com/v1/audio-analysis/2WgbFkQQswVVEWnyKnFo2q
3wXEUULHykJRKdpqano51m,I'm Amazed,47,0.651,0.0029,0.712,https://api.spotify.com/v1/audio-analysis/3wXEUULHykJRKdpqano51m
0Dw9z44gXhplDh5HCWZIxP,You Oughta Know,55,0.43,0.204,0.831,https://api.spotify.com/v1/audio-analysis/0Dw9z44gXhplDh5HCWZIxP
7aKWgpecgLEqisWcXPElDl,Never There,61,0.592,0.0426,0.735,https://api.spotify.com/v1/audio-analysis/7aKWgpecgLEqisWcXPElDl
2GHYJ0dhVds3PODKnTdiGE,All I Want,56,0.622,0.0558,0.811,https://api.spotify.com/v1/audio-analysis/2GHYJ0dhVds3PODKnTdiGE
1ng36571Iyov4HBxUClySn,Pepper,62,0.671,0.00589,0.804,https://api.spotify.com/v1/audio-analysis/1ng36571Iyov4HBxUClySn
3mNecsYFb6LQg7822DPXCP,Absolutely (Story of a Girl) - Radio Mix,66,0.66,0.000891,0.94,https://api.spotify.com/v1/audio-analysis/3mNecsYFb6LQg7822DPXCP
7clUVcSOtkNWa58Gw5RfD4,Speed of Sound,71,0.353,0.00488,0.898,https://api.spotify.com/v1/audio-analysis/7clUVcSOtkNWa58Gw5RfD4
