track_uri,name,popularity,valence,acousticness,energy,analysis_url
6dnco8haegnJYtylV26cBq,Islands In the Stream,62,0.738,0.675,0.411,https://api.spotify.com/v1/audio-analysis/6dnco8haegnJYtylV26cBq
4AjKVyNUMdUveKK5OH1OJD,How Long,62,0.703,0.587,0.406,https://api.spotify.com/v1/audio-analysis/4AjKVyNUMdUveKK5OH1OJD
2cFl7utlqyZjCXN1G5nRvA,Stuck With You,63,0.628,0.0873,0.544,https://api.spotify.com/v1/audio-analysis/2cFl7utlqyZjCXN1G5nRvA
2NTDt9Fiqp5wTBM6cLO6Bu,Bright Lights,46,0.503,0.00207,0.752,https://api.spotify.com/v1/audio-analysis/2NTDt9Fiqp5wTBM6cLO6Bu
2wdEXKLcuU7B0M2gqFmABH,Photograph,48,0.385,0.000932,0.876,https://api.spotify.com/v1/audio-analysis/2wdEXKLcuU7B0M2gqFmABH
0PXWpNBYg52gABrn1qL1bD,Unwell - 2007 Remaster,59,0.437,0.0456,0.793,https://api.spotify.com/v1/audio-analysis/0PXWpNBYg52gABrn1qL1bD
7hR5toSPEgwFZ78jfHdANM,Half of My Heart,64,0.731,0.435,0.593,https://api.spotify.com/v1/audio-analysis/7hR5toSPEgwFZ78jfHdANM
3qrEG6rQ9Qm72MNWeUKKiU,Wham Bam Shang-A-Lang,63,0.943,0.353,0.759,https://api.spotify.com/v1/audio-analysis/3qrEG6rQ9Qm72MNWeUKKiU
7BzhqmRj3iOZXqMHqiifHr,Heartbeats,0,0.316,0.974,0.15,https://api.spotify.com/v1/audio-analysis/7BzhqmRj3iOZXqMHqiifHr
3Q4WeJmzxuDpzMu9QjQqbM,Big Girls Don't Cry (Personal),2,0.253,0.205,0.641,https://api.spotify.com/v1/audio-analysis/3Q4WeJmzxuDpzMu9QjQqbM
2GHYJ0dhVds3PODKnTdiGE,All I Want,56,0.622,0.0558,0.811,https://api.spotify.com/v1/audio-analysis/2GHYJ0dhVds3PODKnTdiGE
0Wl42CUb1phIU9O2aR1wXI,Disarm,48,0.195,0.0482,0.426,https://api.spotify.com/v1/audio-analysis/0Wl42CUb1phIU9O2aR1wXI
6OgWHP8rRXiq7VMaryVaVo,Sonnet,61,0.376,0.12,0.725,https://api.spotify.com/v1/audio-analysis/6OgWHP8rRXiq7VMaryVaVo
2fOxxLz9JVe53itq6pfBak,It's My Life,60,0.771,0.00264,0.75,https://api.spotify.com/v1/audio-analysis/2fOxxLz9JVe53itq6pfBak
6Bm6qUCSatPAqkQllFL7oA,Unwell,65,0.429,0.0298,0.788,https://api.spotify.com/v1/audio-analysis/6Bm6qUCSatPAqkQllFL7oA
3PbHle8KhJp6GuO1jLdEmQ,Be Like That,60,0.306,0.00528,0.702,https://api.spotify.com/v1/audio-analysis/3PbHle8KhJp6GuO1jLdEmQ
1MaqkdFNIKPdpQGDzme5ss,Two Is Better Than One (feat. Taylor Swift),64,0.25,0.189,0.702,https://api.spotify.com/v1/audio-analysis/1MaqkdFNIKPdpQGDzme5ss
5K7AMlpc4796JRWXb26nCV,I'll Be,67,0.426,0.386,0.609,https://api.spotify.com/v1/audio-analysis/5K7AMlpc4796JRWXb26nCV
2EVNYzHWebyLvKxPX6Ozt8,Best I Ever Had (Grey Sky Morning),55,0.192,0.0142,0.565,https://api.spotify.com/v1/audio-analysis/2EVNYzHWebyLvKxPX6Ozt8
2WZyfujzMweFLnozyUJBkW,Boston,61,0.29,0.182,0.571,https://api.spotify.com/v1/audio-analysis/2WZyfujzMweFLnozyUJBkW
3mZkbmFnEpUCwFdoKHvOBL,What About Now,42,0.264,0.0737,0.835,https://api.spotify.com/v1/audio-analysis/3mZkbmFnEpUCwFdoKHvOBL
6Vi6gx8IMRXORPx8fPd2YJ,Realize,57,0.187,0.117,0.599,https://api.spotify.com/v1/audio-analysis/6Vi6gx8IMRXORPx8fPd2YJ
2fnMKNqdGCf78E12681NRG,Angels Or Devils,51,0.437,0.0584,0.67,https://api.spotify.com/v1/audio-analysis/2fnMKNqdGCf78E12681NRG
4x3381mYJqptPqT6OKUfmu,Dare You To Move,58,0.259,0.00573,0.881,https://api.spotify.com/v1/audio-analysis/4x3381mYJqptPqT6OKUfmu
04zllSy1QxiamFFwB4KET8,One Headlight,0,0.682,0.000683,0.678,https://api.spotify.com/v1/audio-analysis/04zllSy1QxiamFFwB4KET8
71OzN2JM6BoQD3JO9hiJFi,Sweet Jane,53,0.802,0.355,0.203,https://api.spotify.com/v1/audio-analysis/71OzN2JM6BoQD3JO9hiJFi
0bPkSc45iwvLZ7sKkUmLKR,If It's Love,23,0.649,0.0117,0.898,https://api.spotify.com/v1/audio-analysis/0bPkSc45iwvLZ7sKkUmLKR
3nzL5CIQiCEt6jRt1AlQ9d,Whatever It Takes,56,0.527,0.00571,0.874,https://api.spotify.com/v1/audio-analysis/3nzL5CIQiCEt6jRt1AlQ9d
6q4XLE5WeOBWftoc9gTl2P,No Surprise,51,0.152,0.00741,0.823,https://api.spotify.com/v1/audio-analysis/6q4XLE5WeOBWftoc9gTl2P
50MfV7a1pnOEcf2t9kobxW,Then The Morning Comes,49,0.963,0.0231,0.881,https://api.spotify.com/v1/audio-analysis/50MfV7a1pnOEcf2t9kobxW
