track_uri,name,popularity,valence,acousticness,energy,analysis_url
5qW6ZYct54PhKliCntyxRX,Cover Me Up,58,0.208,0.882,0.093,https://api.spotify.com/v1/audio-analysis/5qW6ZYct54PhKliCntyxRX
1ElcOLwh7Og4UOm6WTyeXH,Tell My Mother I Miss Her So,49,0.931,0.0241,0.95,https://api.spotify.com/v1/audio-analysis/1ElcOLwh7Og4UOm6WTyeXH
4HOEtNrHVqKT3iOk8MrIxj,Wait So Long,0,0.317,0.471,0.924,https://api.spotify.com/v1/audio-analysis/4HOEtNrHVqKT3iOk8MrIxj
6ttHQ3efHocp4U58yxvWA0,Huck Finn,0,0.271,0.13,0.522,https://api.spotify.com/v1/audio-analysis/6ttHQ3efHocp4U58yxvWA0
1nrv1lKg6R7aT4bPQkywZF,Portland,33,0.818,0.294,0.821,https://api.spotify.com/v1/audio-analysis/1nrv1lKg6R7aT4bPQkywZF
5JWmaVRVjvR1lrVKI2t7FP,Baltimore Blues No. 1,0,0.391,0.477,0.551,https://api.spotify.com/v1/audio-analysis/5JWmaVRVjvR1lrVKI2t7FP
5JWmaVRVjvR1lrVKI2t7FP,Baltimore Blues No. 1,0,0.391,0.477,0.551,https://api.spotify.com/v1/audio-analysis/5JWmaVRVjvR1lrVKI2t7FP
2NTDt9Fiqp5wTBM6cLO6Bu,Bright Lights,46,0.503,0.00207,0.752,https://api.spotify.com/v1/audio-analysis/2NTDt9Fiqp5wTBM6cLO6Bu
4rJtUMlnhJzlzlnxyoc3tb,I'll Fly Away,55,0.443,0.984,0.26,https://api.spotify.com/v1/audio-analysis/4rJtUMlnhJzlzlnxyoc3tb
71OzN2JM6BoQD3JO9hiJFi,Sweet Jane,53,0.802,0.355,0.203,https://api.spotify.com/v1/audio-analysis/71OzN2JM6BoQD3JO9hiJFi
62GWjyFCvpuysYTIQ7B0CG,Blue,44,0.345,0.239,0.6,https://api.spotify.com/v1/audio-analysis/62GWjyFCvpuysYTIQ7B0CG
1FgQnc7KZLvaB89eWOfQ2R,Bumble Bee,34,0.502,0.665,0.245,https://api.spotify.com/v1/audio-analysis/1FgQnc7KZLvaB89eWOfQ2R
3JZRzBdRPCo2j8hXKGK0vZ,Angel From Montgomery,46,0.356,0.833,0.187,https://api.spotify.com/v1/audio-analysis/3JZRzBdRPCo2j8hXKGK0vZ
4rXt1tYHZIavECuN32fk96,Dublin Blues,48,0.192,0.648,0.188,https://api.spotify.com/v1/audio-analysis/4rXt1tYHZIavECuN32fk96
7gtrXOGETM9OkerNjNXeie,Waiting Around to Die,53,0.659,0.71,0.233,https://api.spotify.com/v1/audio-analysis/7gtrXOGETM9OkerNjNXeie
4zm37YNRt5XrbFOTPk0jBp,Old Time Religion,43,0.605,0.721,0.336,https://api.spotify.com/v1/audio-analysis/4zm37YNRt5XrbFOTPk0jBp
05NYcsjJwOYq4jIiKPVj9p,Hard To Handle,70,0.961,0.00257,0.79,https://api.spotify.com/v1/audio-analysis/05NYcsjJwOYq4jIiKPVj9p
6vqxih8RNVv2jV86hkE1e7,The Road Goes On Forever,38,0.288,0.0888,0.57,https://api.spotify.com/v1/audio-analysis/6vqxih8RNVv2jV86hkE1e7
0rib9hiYy1NWL0w8BUYgmd,Sandusky,50,0.0703,0.161,0.594,https://api.spotify.com/v1/audio-analysis/0rib9hiYy1NWL0w8BUYgmd
52iyhfd6jgU2wYB8QIYs6t,Windfall - 2015 Remaster,46,0.526,0.385,0.586,https://api.spotify.com/v1/audio-analysis/52iyhfd6jgU2wYB8QIYs6t
7jks9PIkGKjVTZI1M2Inyt,Always A Friend,39,0.819,0.0726,0.806,https://api.spotify.com/v1/audio-analysis/7jks9PIkGKjVTZI1M2Inyt
1NZL008kru5f7eyeY9pkRK,"Hold On, Hold On (Live)",33,0.381,0.245,0.787,https://api.spotify.com/v1/audio-analysis/1NZL008kru5f7eyeY9pkRK
