track_uri,name,popularity,valence,acousticness,energy,analysis_url
0H2fnXVXeTzl6H5ginSfRG,RIOT,27,0.564,0.0335,0.681,https://api.spotify.com/v1/audio-analysis/0H2fnXVXeTzl6H5ginSfRG
3Erz0Shkh4zG3lWBjhqBPd,WEIRD FLEX,11,0.335,0.238,0.686,https://api.spotify.com/v1/audio-analysis/3Erz0Shkh4zG3lWBjhqBPd
4N30wVHoXk7IeL1JOWr38y,HEY U (feat. seeyousoon),29,0.494,0.157,0.707,https://api.spotify.com/v1/audio-analysis/4N30wVHoXk7IeL1JOWr38y
7Lqk3yFLKafglbxYtizuK8,We Outside!,24,0.223,0.245,0.686,https://api.spotify.com/v1/audio-analysis/7Lqk3yFLKafglbxYtizuK8
6yOKmxsKDPe3Yb8U4wSIZq,Pepper Spray,1,0.322,0.0477,0.719,https://api.spotify.com/v1/audio-analysis/6yOKmxsKDPe3Yb8U4wSIZq
0ditrhw2FWGu8Ak2q2MfJI,Pony Up,0,0.29,0.00531,0.642,https://api.spotify.com/v1/audio-analysis/0ditrhw2FWGu8Ak2q2MfJI
1IoXZbnQFBCW1qMN8ksp8l,Shut Up,40,0.595,0.0457,0.861,https://api.spotify.com/v1/audio-analysis/1IoXZbnQFBCW1qMN8ksp8l
5sWvwuBwCF94gYw6dJsUkr,SUDOKU (+ MASHERMAN),1,0.366,0.114,0.617,https://api.spotify.com/v1/audio-analysis/5sWvwuBwCF94gYw6dJsUkr
1CwkW8d3LxrMdz99PfN8SQ,trix,46,0.236,0.306,0.474,https://api.spotify.com/v1/audio-analysis/1CwkW8d3LxrMdz99PfN8SQ
4CwI0ZjiMaW3F7B70iE43Y,D's,30,0.644,0.0371,0.87,https://api.spotify.com/v1/audio-analysis/4CwI0ZjiMaW3F7B70iE43Y
0qFapSf7YnAeBhhiHIrwT3,hands!,31,0.381,0.607,0.47,https://api.spotify.com/v1/audio-analysis/0qFapSf7YnAeBhhiHIrwT3
2TKWpKRtRJvZiXKos601XO,Ford vs Ferrari,38,0.916,0.284,0.724,https://api.spotify.com/v1/audio-analysis/2TKWpKRtRJvZiXKos601XO
3GSGkA3RNWcpjKGwTDps0M,stupid!,3,0.885,0.0687,0.816,https://api.spotify.com/v1/audio-analysis/3GSGkA3RNWcpjKGwTDps0M
1ZDP9FNfY3we4AzOxMj3vZ,Boppin,43,0.655,0.066,0.447,https://api.spotify.com/v1/audio-analysis/1ZDP9FNfY3we4AzOxMj3vZ
28Y3DUUjSZILtwaHLp6xbl,Malto,29,0.665,0.156,0.861,https://api.spotify.com/v1/audio-analysis/28Y3DUUjSZILtwaHLp6xbl
5w87hRmao8xxV1AgjjpXBr,RICH KIDS,1,0.298,0.14,0.589,https://api.spotify.com/v1/audio-analysis/5w87hRmao8xxV1AgjjpXBr
1eLven7Pt5ingozDeUV2yu,Distance,4,0.363,0.456,0.546,https://api.spotify.com/v1/audio-analysis/1eLven7Pt5ingozDeUV2yu
1dxzhfzVDjsc48DbRsw4fK,Nobody!,1,0.145,0.419,0.449,https://api.spotify.com/v1/audio-analysis/1dxzhfzVDjsc48DbRsw4fK
