track_uri,name,popularity,valence,acousticness,energy,analysis_url
0ttHpMs250dpFkCYAnuhnE,Good,61,0.792,0.000372,0.657,https://api.spotify.com/v1/audio-analysis/0ttHpMs250dpFkCYAnuhnE
11sGMdEqalkocgfOKFfQdI,Dirty Water,30,0.778,0.0321,0.721,https://api.spotify.com/v1/audio-analysis/11sGMdEqalkocgfOKFfQdI
6wO0vMRAJB0r1lEWBJZNOq,Something in Your Mouth,63,0.746,0.00137,0.977,https://api.spotify.com/v1/audio-analysis/6wO0vMRAJB0r1lEWBJZNOq
6yVSp9H2STyLeOs7pjy2w4,Hands Down,62,0.26,0.013,0.827,https://api.spotify.com/v1/audio-analysis/6yVSp9H2STyLeOs7pjy2w4
2Ekzm3AGOE0u3uXy6rhAZY,Spoonman,0,0.903,2.85e-05,0.794,https://api.spotify.com/v1/audio-analysis/2Ekzm3AGOE0u3uXy6rhAZY
14CsqOaDkOkrZ49UJLtuOJ,"So Long, Marianne",57,0.231,0.701,0.395,https://api.spotify.com/v1/audio-analysis/14CsqOaDkOkrZ49UJLtuOJ
1DKyFVzIh1oa1fFnEmTkIl,Gloria (feat. Van Morrison) - Stereo Version,62,0.722,0.397,0.703,https://api.spotify.com/v1/audio-analysis/1DKyFVzIh1oa1fFnEmTkIl
2uXkW8uJcOIhlbUatEPLPs,Have Love Will Travel,56,0.934,0.727,0.948,https://api.spotify.com/v1/audio-analysis/2uXkW8uJcOIhlbUatEPLPs
5E5HYgxGMp3BPakHGfKfIB,Roadrunner,53,0.804,4.98e-05,0.84,https://api.spotify.com/v1/audio-analysis/5E5HYgxGMp3BPakHGfKfIB
5E5HYgxGMp3BPakHGfKfIB,Roadrunner,53,0.804,4.98e-05,0.84,https://api.spotify.com/v1/audio-analysis/5E5HYgxGMp3BPakHGfKfIB
0CrBz2gD7udQ6iv5oM0OO2,Drain You,0,0.256,1.69e-05,0.884,https://api.spotify.com/v1/audio-analysis/0CrBz2gD7udQ6iv5oM0OO2
67rHfUpjOezFRoF386LOTu,Polly,0,0.63,0.84,0.281,https://api.spotify.com/v1/audio-analysis/67rHfUpjOezFRoF386LOTu
1Zm8KrD8YepMmCQmQcrtfp,Love Her Madly,0,0.966,0.0556,0.584,https://api.spotify.com/v1/audio-analysis/1Zm8KrD8YepMmCQmQcrtfp
70Cp0ukCMyWeJML77NGERU,Semi-Automatic,58,0.362,0.0489,0.716,https://api.spotify.com/v1/audio-analysis/70Cp0ukCMyWeJML77NGERU
1yupbrI7ROhigIHpQBevPh,Chicago,60,0.446,0.585,0.464,https://api.spotify.com/v1/audio-analysis/1yupbrI7ROhigIHpQBevPh
1qtwebmDBKPQEggSKGoSfy,Since I Have A Lover,69,0.11,0.0231,0.73,https://api.spotify.com/v1/audio-analysis/1qtwebmDBKPQEggSKGoSfy
4c2HeCpHJ3VzN8RyEoULTW,World In My Hands,50,0.293,0.864,0.372,https://api.spotify.com/v1/audio-analysis/4c2HeCpHJ3VzN8RyEoULTW
0u42ardVmhoaCo746IumyG,*smokes weed once*,0,0.597,0.0367,0.715,https://api.spotify.com/v1/audio-analysis/0u42ardVmhoaCo746IumyG
39AkkoGAl2ILUDU2u9g9En,Eternal Sunshine (Fire Pit),55,0.418,0.733,0.519,https://api.spotify.com/v1/audio-analysis/39AkkoGAl2ILUDU2u9g9En
1q3IPJtWFRfUNaRGEGGVQa,Endless Sky (feat. greek),0,0.163,0.334,0.564,https://api.spotify.com/v1/audio-analysis/1q3IPJtWFRfUNaRGEGGVQa
6uAWmu9PkZ7l7OAVeQljus,ascendent (mother fxcker),0,0.556,0.265,0.451,https://api.spotify.com/v1/audio-analysis/6uAWmu9PkZ7l7OAVeQljus
1JrcjXpkAEIALeX9tqIAVA,On My Way,49,0.288,0.701,0.327,https://api.spotify.com/v1/audio-analysis/1JrcjXpkAEIALeX9tqIAVA
7j0JiUpuwvPQDtBinFct6E,Concentrate (feat. Dua Saleh),48,0.633,0.202,0.814,https://api.spotify.com/v1/audio-analysis/7j0JiUpuwvPQDtBinFct6E
5EKjnrnyrw688C3yoMfbwK,Bruises,55,0.0968,0.495,0.601,https://api.spotify.com/v1/audio-analysis/5EKjnrnyrw688C3yoMfbwK
0Y4LVCIZVLEkho5g2SfgfX,Man Down,47,0.184,0.879,0.256,https://api.spotify.com/v1/audio-analysis/0Y4LVCIZVLEkho5g2SfgfX
6fdzX7Qy7LN5uaJ0ukH6p5,The Bloom,65,0.144,0.624,0.396,https://api.spotify.com/v1/audio-analysis/6fdzX7Qy7LN5uaJ0ukH6p5
2dsbZwFPMYhchakMgL72DD,DAYDREAM,59,0.183,0.623,0.461,https://api.spotify.com/v1/audio-analysis/2dsbZwFPMYhchakMgL72DD
0fq9lmOZ50X2Oo0apdDk62,4000!,40,0.558,0.223,0.473,https://api.spotify.com/v1/audio-analysis/0fq9lmOZ50X2Oo0apdDk62
3Sb3Md9qVCRwu470IZ4XIp,Build Me A House,63,0.304,0.0688,0.413,https://api.spotify.com/v1/audio-analysis/3Sb3Md9qVCRwu470IZ4XIp
14adSLAL6WgvwH5snRF3gs,Sticky (feat. Childish Gambino & KIRBY),63,0.649,0.735,0.746,https://api.spotify.com/v1/audio-analysis/14adSLAL6WgvwH5snRF3gs
14adSLAL6WgvwH5snRF3gs,Sticky (feat. Childish Gambino & KIRBY),63,0.649,0.735,0.746,https://api.spotify.com/v1/audio-analysis/14adSLAL6WgvwH5snRF3gs
6osru1Fx1n50mRD8QWI9m1,TODAY,59,0.0853,0.848,0.406,https://api.spotify.com/v1/audio-analysis/6osru1Fx1n50mRD8QWI9m1
04nzvWWsX2TDl0mjpBVeWd,You Never Visit Me - Single Version,58,0.536,0.615,0.526,https://api.spotify.com/v1/audio-analysis/04nzvWWsX2TDl0mjpBVeWd
4N9CjZCmixsudkya5a7MtW,On the Run,56,0.186,0.475,0.361,https://api.spotify.com/v1/audio-analysis/4N9CjZCmixsudkya5a7MtW
1SiV9ERoyjtUPrNnuJCj21,LUV (I KNOW I WANT THIS FOR REAL),55,0.659,0.00443,0.754,https://api.spotify.com/v1/audio-analysis/1SiV9ERoyjtUPrNnuJCj21
3Kfh2IIk7nehym6iv2Ru8P,Last Dance,54,0.143,0.938,0.158,https://api.spotify.com/v1/audio-analysis/3Kfh2IIk7nehym6iv2Ru8P
3RBtnsOmltWgeRge3lQDjG,Keep It Lo,45,0.778,0.519,0.463,https://api.spotify.com/v1/audio-analysis/3RBtnsOmltWgeRge3lQDjG
403tC8spWXnKcdXdbFnayL,Lee & Lovie (with reggie),57,0.33,0.458,0.678,https://api.spotify.com/v1/audio-analysis/403tC8spWXnKcdXdbFnayL
1yGzzCuLd5vH5gSb1Ii6jU,STEREO DRIVER,54,0.842,0.0198,0.711,https://api.spotify.com/v1/audio-analysis/1yGzzCuLd5vH5gSb1Ii6jU
45uwA5e851qa3xWqKGYxGC,WHITE CROCS (with Ryan Trey),55,0.0998,0.634,0.434,https://api.spotify.com/v1/audio-analysis/45uwA5e851qa3xWqKGYxGC
1uf4itZeNCVYDHExNH9Ov3,pressure,53,0.293,0.559,0.341,https://api.spotify.com/v1/audio-analysis/1uf4itZeNCVYDHExNH9Ov3
1o6heh4aefLv3GJYjtfLa6,Washed Away,53,0.134,0.976,0.428,https://api.spotify.com/v1/audio-analysis/1o6heh4aefLv3GJYjtfLa6
7zEeY9dw8wpTrxn4Ll26bu,Figures,53,0.484,0.00638,0.369,https://api.spotify.com/v1/audio-analysis/7zEeY9dw8wpTrxn4Ll26bu
3c2LHcsave8QZ2DTzQ2iln,Brewster,53,0.537,0.567,0.253,https://api.spotify.com/v1/audio-analysis/3c2LHcsave8QZ2DTzQ2iln
3IQ6PPDCEJBRFiqUCWeyI0,Automatic - Orion Sun Remix,52,0.261,0.364,0.459,https://api.spotify.com/v1/audio-analysis/3IQ6PPDCEJBRFiqUCWeyI0
5mlirWXPq6KoroAUgy6Wdq,Luvaroq,52,0.79,0.04,0.686,https://api.spotify.com/v1/audio-analysis/5mlirWXPq6KoroAUgy6Wdq
4ATldz2t0zMGWtFK3uqDL4,D4U - Spotify Singles,51,0.788,0.342,0.442,https://api.spotify.com/v1/audio-analysis/4ATldz2t0zMGWtFK3uqDL4
2K81yLG5kx2uKqT4PZmTXp,"STRAWBERRY LOUIS VUITTON (Ft. Thundercat, Maeta)",51,0.578,0.345,0.812,https://api.spotify.com/v1/audio-analysis/2K81yLG5kx2uKqT4PZmTXp
3p3tezl8FJHkm68tczR0yP,SUGAR DIVE,51,0.32,0.33,0.624,https://api.spotify.com/v1/audio-analysis/3p3tezl8FJHkm68tczR0yP
78ndblGlkOiMHUrrWPgBoL,CYCLOPS,51,0.451,0.291,0.545,https://api.spotify.com/v1/audio-analysis/78ndblGlkOiMHUrrWPgBoL
