track_uri,name,popularity,valence,acousticness,energy,analysis_url
24kirWnsEEyGgbl2NuhSVz,Endless Summer,45,0.441,0.0562,0.727,https://api.spotify.com/v1/audio-analysis/24kirWnsEEyGgbl2NuhSVz
2qWKpYIleSvBT6aUMXoia5,Angel from Montgomery,56,0.39,0.541,0.421,https://api.spotify.com/v1/audio-analysis/2qWKpYIleSvBT6aUMXoia5
4JVmESg1JVr2WqecNqFnch,Walking Back To Georgia,0,0.809,0.776,0.445,https://api.spotify.com/v1/audio-analysis/4JVmESg1JVr2WqecNqFnch
199PqWeEottx0d327gCuqd,Harlem River Blues,0,0.526,0.0372,0.697,https://api.spotify.com/v1/audio-analysis/199PqWeEottx0d327gCuqd
5WsxLkPL1QRKRfCed6qTTn,Whiskey,56,0.353,0.179,0.488,https://api.spotify.com/v1/audio-analysis/5WsxLkPL1QRKRfCed6qTTn
5JWmaVRVjvR1lrVKI2t7FP,Baltimore Blues No. 1,0,0.391,0.477,0.551,https://api.spotify.com/v1/audio-analysis/5JWmaVRVjvR1lrVKI2t7FP
0f5N14nB8xi0p3o4BlVvbx,Ballad of a Thin Man,48,0.499,0.695,0.574,https://api.spotify.com/v1/audio-analysis/0f5N14nB8xi0p3o4BlVvbx
4rJtUMlnhJzlzlnxyoc3tb,I'll Fly Away,55,0.443,0.984,0.26,https://api.spotify.com/v1/audio-analysis/4rJtUMlnhJzlzlnxyoc3tb
7da5B9d2oVV16YSzXVxmrR,Brand New Key,50,0.855,0.805,0.292,https://api.spotify.com/v1/audio-analysis/7da5B9d2oVV16YSzXVxmrR
6JssQFiBCi6ZcE6060S9A7,Angel from Montgomery - 2008 Remaster,59,0.551,0.538,0.393,https://api.spotify.com/v1/audio-analysis/6JssQFiBCi6ZcE6060S9A7
6JssQFiBCi6ZcE6060S9A7,Angel from Montgomery - 2008 Remaster,59,0.551,0.538,0.393,https://api.spotify.com/v1/audio-analysis/6JssQFiBCi6ZcE6060S9A7
13umsa4HEerLke8Y8lhakp,Actin' Up,52,0.435,0.431,0.513,https://api.spotify.com/v1/audio-analysis/13umsa4HEerLke8Y8lhakp
1Wg6dLYXgqxs0YtQS6ifco,Up and Rolling,48,0.816,0.543,0.532,https://api.spotify.com/v1/audio-analysis/1Wg6dLYXgqxs0YtQS6ifco
0MGavNuh6BBQrnt1liTX0P,Mystic Light,14,0.751,0.551,0.633,https://api.spotify.com/v1/audio-analysis/0MGavNuh6BBQrnt1liTX0P
4PwWESSlTwzvw9B7bmtTLS,anything,59,0.51,0.774,0.291,https://api.spotify.com/v1/audio-analysis/4PwWESSlTwzvw9B7bmtTLS
0zesU7Cq6UM582kMYC6J3E,The Otter,62,0.231,0.153,0.71,https://api.spotify.com/v1/audio-analysis/0zesU7Cq6UM582kMYC6J3E
7qPGnjxHQNIv4zlnk6LxZW,Opaline,4,0.283,0.955,0.337,https://api.spotify.com/v1/audio-analysis/7qPGnjxHQNIv4zlnk6LxZW
2mDdkeVuUsyIepwzLCxuu6,Mountain Song,63,0.19,0.27,0.451,https://api.spotify.com/v1/audio-analysis/2mDdkeVuUsyIepwzLCxuu6
0kGfertL7siLSc1AmF3L5D,Aberdeen,46,0.251,0.298,0.569,https://api.spotify.com/v1/audio-analysis/0kGfertL7siLSc1AmF3L5D
4yuVmMynbF6qBDsT3w6aXy,Santa Barbara,48,0.496,0.962,0.157,https://api.spotify.com/v1/audio-analysis/4yuVmMynbF6qBDsT3w6aXy
5vPRCX0Bj8O374jTCAQRLS,Look At Miss Ohio,48,0.335,0.726,0.118,https://api.spotify.com/v1/audio-analysis/5vPRCX0Bj8O374jTCAQRLS
5vPRCX0Bj8O374jTCAQRLS,Look At Miss Ohio,48,0.335,0.726,0.118,https://api.spotify.com/v1/audio-analysis/5vPRCX0Bj8O374jTCAQRLS
3E0VKSvZp76kvBU2WwwBul,Leaving Trunk,55,0.948,0.195,0.502,https://api.spotify.com/v1/audio-analysis/3E0VKSvZp76kvBU2WwwBul
1SFK3eoJqXkmGvcfmdzWC1,Lover's Game,43,0.466,0.00318,0.943,https://api.spotify.com/v1/audio-analysis/1SFK3eoJqXkmGvcfmdzWC1
5X8hjt33EdQ8KUaUzcTNQv,The Man Was Burning,44,0.889,0.426,0.513,https://api.spotify.com/v1/audio-analysis/5X8hjt33EdQ8KUaUzcTNQv
