track_uri,name,popularity,valence,acousticness,energy,analysis_url
1bKQ48M9onID2kbSpRy8kK,Send Me An Angel,69,0.166,0.434,0.417,https://api.spotify.com/v1/audio-analysis/1bKQ48M9onID2kbSpRy8kK
4UH0OtOrLpdKz1j0ISe2J3,Rusty Cage,0,0.284,1.24e-05,0.852,https://api.spotify.com/v1/audio-analysis/4UH0OtOrLpdKz1j0ISe2J3
0xOyLz45bRFXuuSfcKr25R,The Fixer,0,0.894,7.94e-05,0.934,https://api.spotify.com/v1/audio-analysis/0xOyLz45bRFXuuSfcKr25R
0MEvJkkyhAcckyWkVksbzI,Outshined,0,0.58,4.22e-05,0.741,https://api.spotify.com/v1/audio-analysis/0MEvJkkyhAcckyWkVksbzI
4irlByOD0DUDfFfdzlwNY1,My Wave,0,0.812,0.000119,0.889,https://api.spotify.com/v1/audio-analysis/4irlByOD0DUDfFfdzlwNY1
74QjBGkfTMKC7pTwkmMUdD,Big City Nights,0,0.843,0.00167,0.713,https://api.spotify.com/v1/audio-analysis/74QjBGkfTMKC7pTwkmMUdD
1jF5Id0OPFU1Mae8BEUF5u,Youth Gone Wild,63,0.633,0.00202,0.72,https://api.spotify.com/v1/audio-analysis/1jF5Id0OPFU1Mae8BEUF5u
1hqrYSqvNc9x3BETX1cZhk,Shout At The Devil,1,0.447,0.02,0.953,https://api.spotify.com/v1/audio-analysis/1hqrYSqvNc9x3BETX1cZhk
3W1iDAW7PVwlMC2zJIKF0k,Gypsy Road,0,0.553,0.00961,0.88,https://api.spotify.com/v1/audio-analysis/3W1iDAW7PVwlMC2zJIKF0k
31OFRDvP2RxpZKH4NpJZCr,One,0,0.411,2.02e-05,0.933,https://api.spotify.com/v1/audio-analysis/31OFRDvP2RxpZKH4NpJZCr
0kFM6t9htbB53Dg8frGDGh,Kiss Me Deadly,54,0.651,0.00819,0.743,https://api.spotify.com/v1/audio-analysis/0kFM6t9htbB53Dg8frGDGh
1Qjpl8Kav6rrO92ZuG0OK8,Shake Me,58,0.549,0.00575,0.9,https://api.spotify.com/v1/audio-analysis/1Qjpl8Kav6rrO92ZuG0OK8
7zLC4HAY11GvvKsZHNrkAp,I Wanna Rock (Remastered Album Version),0,0.606,0.016,0.731,https://api.spotify.com/v1/audio-analysis/7zLC4HAY11GvvKsZHNrkAp
0l37J5l4eJfIdd7cea1Cl5,Everything About You,0,0.775,0.0117,0.783,https://api.spotify.com/v1/audio-analysis/0l37J5l4eJfIdd7cea1Cl5
76gvSn83c2iOIxV9GQkpZS,Million Miles An Hour,51,0.412,1.44e-05,0.881,https://api.spotify.com/v1/audio-analysis/76gvSn83c2iOIxV9GQkpZS
1kaB0BvQEmwHeAzNh4jziT,Holier Than Thou,0,0.348,0.000288,0.959,https://api.spotify.com/v1/audio-analysis/1kaB0BvQEmwHeAzNh4jziT
49rcSzMayJhIwGf0CJCaxJ,Wherever I May Roam,0,0.362,0.000526,0.816,https://api.spotify.com/v1/audio-analysis/49rcSzMayJhIwGf0CJCaxJ
0PDThNPaf3ganx4PFmGznK,Don't Tread On Me,0,0.682,0.00453,0.833,https://api.spotify.com/v1/audio-analysis/0PDThNPaf3ganx4PFmGznK
0GTK6TesV108Jj5D3MHsYb,Owner of a Lonely Heart,69,0.89,0.175,0.798,https://api.spotify.com/v1/audio-analysis/0GTK6TesV108Jj5D3MHsYb
4jRWsQp0nJZsQ9EbjEO82g,Rock This Town - Single Edit/24 Bit Mastering/ Digital Remaster/1999,38,0.701,0.0101,0.937,https://api.spotify.com/v1/audio-analysis/4jRWsQp0nJZsQ9EbjEO82g
5uS8HGp7VfuU5fDarEbNi7,Show Me The Way - Live / Remixed,52,0.452,0.0325,0.944,https://api.spotify.com/v1/audio-analysis/5uS8HGp7VfuU5fDarEbNi7
4kXV4Kf4IeeA9Ah9RH3VY1,Don't Go Away Mad (Just Go Away),55,0.504,0.00521,0.966,https://api.spotify.com/v1/audio-analysis/4kXV4Kf4IeeA9Ah9RH3VY1
5EicljVZKVOo2LZHREtWmQ,Coming Home,52,0.52,0.044,0.721,https://api.spotify.com/v1/audio-analysis/5EicljVZKVOo2LZHREtWmQ
19LT4ZUEeoUdimKE04WJJg,Cowboy,62,0.868,0.085,0.897,https://api.spotify.com/v1/audio-analysis/19LT4ZUEeoUdimKE04WJJg
7r6KRHz2HAjoaBQCtQJfzR,Here I Go Again - 20th Anniversary Remaster,0,0.247,0.21,0.898,https://api.spotify.com/v1/audio-analysis/7r6KRHz2HAjoaBQCtQJfzR
2HdQsJeDUPfMHjZNaKmSkO,Working for the Weekend - Remastered,39,0.786,0.0134,0.909,https://api.spotify.com/v1/audio-analysis/2HdQsJeDUPfMHjZNaKmSkO
0uP3GA5DrZUS5YgYYvcFJ9,Silent Lucidity - Remastered,18,0.0985,0.0673,0.591,https://api.spotify.com/v1/audio-analysis/0uP3GA5DrZUS5YgYYvcFJ9
