track_uri,name,popularity,valence,acousticness,energy,analysis_url
27ViQppP3LZPCJl2A0w9kp,Destiny,58,0.471,0.217,0.576,https://api.spotify.com/v1/audio-analysis/27ViQppP3LZPCJl2A0w9kp
3NYCaxkggl0Hh8vQptSUvV,Enola Gay - Remastered 2003,67,0.932,0.00441,0.764,https://api.spotify.com/v1/audio-analysis/3NYCaxkggl0Hh8vQptSUvV
21T9lWigjSIMg9uD6ZfRnQ,Eighties - 2007 Digital Remaster,55,0.352,0.000735,0.964,https://api.spotify.com/v1/audio-analysis/21T9lWigjSIMg9uD6ZfRnQ
0wwbxSLnXXws3sD0AKMfUT,Oscillations,35,0.431,0.406,0.553,https://api.spotify.com/v1/audio-analysis/0wwbxSLnXXws3sD0AKMfUT
3QMmsuQyB2m4XAkM3VkKTR,Right Now,24,0.789,0.195,0.49,https://api.spotify.com/v1/audio-analysis/3QMmsuQyB2m4XAkM3VkKTR
1zkQJfNo2KpqqCKOOvWPF4,Love Like Blood,53,0.433,0.0319,0.645,https://api.spotify.com/v1/audio-analysis/1zkQJfNo2KpqqCKOOvWPF4
6amZm52SfS7d6oCEu9NDMl,So Alive,0,0.924,0.00545,0.569,https://api.spotify.com/v1/audio-analysis/6amZm52SfS7d6oCEu9NDMl
2x8cSAQR0u70MXiZhm4h5g,Eardrum Buzz,0,0.926,0.0535,0.85,https://api.spotify.com/v1/audio-analysis/2x8cSAQR0u70MXiZhm4h5g
6nFdjV1Ko66O111x74K2kn,Dear God - Remastered 2001,49,0.346,0.0979,0.464,https://api.spotify.com/v1/audio-analysis/6nFdjV1Ko66O111x74K2kn
4tPFEWRuNQhibDQSGB2PVE,Don't Want to Know If You Are Lonely,50,0.644,0.00128,0.965,https://api.spotify.com/v1/audio-analysis/4tPFEWRuNQhibDQSGB2PVE
0XDv7SLyMkGcAnb12fMHa1,Senses Working Overtime - Remastered 2001,49,0.862,0.0289,0.665,https://api.spotify.com/v1/audio-analysis/0XDv7SLyMkGcAnb12fMHa1
1Duyl7gGd4rqPuUZrlsdCO,Back of Love,36,0.697,0.00654,0.908,https://api.spotify.com/v1/audio-analysis/1Duyl7gGd4rqPuUZrlsdCO
