track_uri,name,popularity,valence,acousticness,energy,analysis_url
5Sf7xPHiezqlvGKyFcOuaA,The Joker,0,0.835,0.328,0.432,https://api.spotify.com/v1/audio-analysis/5Sf7xPHiezqlvGKyFcOuaA
7s8spWIA65WP6vG18bXDP1,The Train Kept A Rollin',41,0.962,0.697,0.707,https://api.spotify.com/v1/audio-analysis/7s8spWIA65WP6vG18bXDP1
5QHrCl8kOMIFOWYQQzHXFH,Nadine - Stereo Remix,50,0.95,0.612,0.502,https://api.spotify.com/v1/audio-analysis/5QHrCl8kOMIFOWYQQzHXFH
3cnDBECxm9WUoGJVquJ26l,Promised Land,0,0.965,0.766,0.85,https://api.spotify.com/v1/audio-analysis/3cnDBECxm9WUoGJVquJ26l
3gvarrw1I5oap8RuzkprlU,My Love for Evermore (feat. Sparky Phillips),35,0.565,0.418,0.613,https://api.spotify.com/v1/audio-analysis/3gvarrw1I5oap8RuzkprlU
16Ks4wN2wG2wGlDMm5Tphe,I Got Stripes,47,0.971,0.697,0.542,https://api.spotify.com/v1/audio-analysis/16Ks4wN2wG2wGlDMm5Tphe
5eDo6xh2Y06uhh4n8mXZZJ,Journey,1,0.285,0.0142,0.955,https://api.spotify.com/v1/audio-analysis/5eDo6xh2Y06uhh4n8mXZZJ
09NuJyd2CC8Et2QYDy2tsd,Together,0,0.764,0.00223,0.955,https://api.spotify.com/v1/audio-analysis/09NuJyd2CC8Et2QYDy2tsd
4tqMwK19FgS6MGf9djUjJA,White Lightnin',37,0.943,0.879,0.914,https://api.spotify.com/v1/audio-analysis/4tqMwK19FgS6MGf9djUjJA
2K8lk9eDCxC9qKsiTrxTyz,A New Day,57,0.381,0.514,0.663,https://api.spotify.com/v1/audio-analysis/2K8lk9eDCxC9qKsiTrxTyz
5aMgN8OXDv0nJUWq1v37kv,"Follow You, Follow Me",51,0.101,0.131,0.839,https://api.spotify.com/v1/audio-analysis/5aMgN8OXDv0nJUWq1v37kv
101gpYTR6udtwff6zc2dYa,Castle in the Sky,49,0.646,0.292,0.399,https://api.spotify.com/v1/audio-analysis/101gpYTR6udtwff6zc2dYa
5qQulNXlTAhtnoENRaKo7K,Talk It Out - Meteadisco Mix,49,0.584,0.0659,0.566,https://api.spotify.com/v1/audio-analysis/5qQulNXlTAhtnoENRaKo7K
58ZPZzTln24CpsxIDkgXRu,Take It Slow,49,0.215,0.494,0.603,https://api.spotify.com/v1/audio-analysis/58ZPZzTln24CpsxIDkgXRu
1bZtIdKIaccBlRSzRExGwM,Morning Light,48,0.499,0.135,0.503,https://api.spotify.com/v1/audio-analysis/1bZtIdKIaccBlRSzRExGwM
0zbeEBe7DDaRM8KParjIBq,No Rain - Ronan Remix,48,0.616,0.0556,0.482,https://api.spotify.com/v1/audio-analysis/0zbeEBe7DDaRM8KParjIBq
3jJrIGb23RxyJMqMvrrX38,A Different Path,43,0.22,0.0089,0.557,https://api.spotify.com/v1/audio-analysis/3jJrIGb23RxyJMqMvrrX38
38IssLq5FtkbpZRpNpcT1T,Do It - Remix,47,0.194,0.286,0.538,https://api.spotify.com/v1/audio-analysis/38IssLq5FtkbpZRpNpcT1T
00h9HFDaBasvU6MrvixRTo,I Never Told You,50,0.194,0.207,0.691,https://api.spotify.com/v1/audio-analysis/00h9HFDaBasvU6MrvixRTo
6kUd98yHlrfokElPuSHH3s,Sunny Road - Future Disco Mix,45,0.318,0.0534,0.601,https://api.spotify.com/v1/audio-analysis/6kUd98yHlrfokElPuSHH3s
2gKufIT5lJeu3u6c2Avbzm,Starlight,41,0.656,0.202,0.665,https://api.spotify.com/v1/audio-analysis/2gKufIT5lJeu3u6c2Avbzm
5MfdKQUnEjnqNVnj4Fmsm5,Everybody Everybody - Liongold Remix,41,0.892,0.125,0.661,https://api.spotify.com/v1/audio-analysis/5MfdKQUnEjnqNVnj4Fmsm5
1KpmJ0qMfQb96BqjJQwIap,Lovin' You - Astrovoid Remix,51,0.768,0.289,0.432,https://api.spotify.com/v1/audio-analysis/1KpmJ0qMfQb96BqjJQwIap
1MEeJoz0bLDxoPCdfzsUdx,Lovesong - Style Project Remix,48,0.808,0.012,0.431,https://api.spotify.com/v1/audio-analysis/1MEeJoz0bLDxoPCdfzsUdx
6hu1xWLYlUYjh7QOIldZl3,I'm Not In Love - Ronan Remix,46,0.537,0.567,0.426,https://api.spotify.com/v1/audio-analysis/6hu1xWLYlUYjh7QOIldZl3
4IExJnjUh0OLugrOWilLCP,Self Control,56,0.232,0.137,0.452,https://api.spotify.com/v1/audio-analysis/4IExJnjUh0OLugrOWilLCP
2elwuVGPrE6EDLgiiNJR6R,Just an Illusion - Ronan Remix,49,0.597,0.443,0.673,https://api.spotify.com/v1/audio-analysis/2elwuVGPrE6EDLgiiNJR6R
2lMRebjS1GEHAKaA9XJ6Ub,Time After Time - Dataset Remix,48,0.478,0.00607,0.598,https://api.spotify.com/v1/audio-analysis/2lMRebjS1GEHAKaA9XJ6Ub
3DQ7GcE9EqAYHOWXDetWa4,Truly Madly Deeply - House Mix,45,0.469,0.0349,0.402,https://api.spotify.com/v1/audio-analysis/3DQ7GcE9EqAYHOWXDetWa4
4UFJwDn67ILf1x5ETETXUj,Adore You - Javier Penna Remix,46,0.613,0.115,0.698,https://api.spotify.com/v1/audio-analysis/4UFJwDn67ILf1x5ETETXUj
1s1kY9duH0g4jKHrxxjTkX,Good Golly Miss Molly,0,0.965,0.601,0.712,https://api.spotify.com/v1/audio-analysis/1s1kY9duH0g4jKHrxxjTkX
7Lfp7FsKI4buEJYbMlt7QU,C’Mon Everybody,39,0.909,0.134,0.699,https://api.spotify.com/v1/audio-analysis/7Lfp7FsKI4buEJYbMlt7QU
7demHL0GXA6YmTNqw3Btz8,Yakety Yak,2,0.976,0.705,0.669,https://api.spotify.com/v1/audio-analysis/7demHL0GXA6YmTNqw3Btz8
0Ip2pWYQmo8NUxKql20QPk,Jaded,47,0.0869,0.738,0.286,https://api.spotify.com/v1/audio-analysis/0Ip2pWYQmo8NUxKql20QPk
