track_uri,name,popularity,valence,acousticness,energy,analysis_url
3Gz8ExGcRpnu8BSDzepQhy,"The Four Seasons - Violin Concerto in G Minor, Op. 8 No. 2, RV 315 ""Summer"": III. Presto",44,0.399,0.901,0.351,https://api.spotify.com/v1/audio-analysis/3Gz8ExGcRpnu8BSDzepQhy
17gz8bmRy8HDUf6AZBnD5K,"Concerto grosso in G Minor, Op. 6, No. 8, ""Fatto per la Notte di Natale"": III. Adagio - Allegro - Adagio",45,0.133,0.926,0.0911,https://api.spotify.com/v1/audio-analysis/17gz8bmRy8HDUf6AZBnD5K
0dfAHJmRg7JtCbitsageQG,"Rinaldo, HWV 7: Lascia ch'io pianga (Arr. for Piano)",48,0.125,0.993,0.0272,https://api.spotify.com/v1/audio-analysis/0dfAHJmRg7JtCbitsageQG
5Lc1uQAvtbvn3bl2CYmJan,Changes,0,0.255,0.936,0.432,https://api.spotify.com/v1/audio-analysis/5Lc1uQAvtbvn3bl2CYmJan
4GFuyvrYOQYDS497hffJXT,"Goldberg Variations, BWV 988: Aria",50,0.181,0.995,0.015,https://api.spotify.com/v1/audio-analysis/4GFuyvrYOQYDS497hffJXT
5mRrklQD0rvuN6sV10HfPn,"Unaccompanied Cello Suite No. 1 in G major, BWV 1007: I. Prélude",59,0.417,0.988,0.0993,https://api.spotify.com/v1/audio-analysis/5mRrklQD0rvuN6sV10HfPn
492xOpyuUiVZ74qhKc2e2w,"Trio Sonata for 2 Violins and Continuo in G Minor, HWV 393 ""Dresden"" No. 2: III. Largo (Arr. for Oboe, Violin, Harpsichord and Orchestra by Andreas Tarkmann)",34,0.153,0.941,0.173,https://api.spotify.com/v1/audio-analysis/492xOpyuUiVZ74qhKc2e2w
2SORBObY4Ag5wSPeXLmPAh,"Solomon, HWV 67: The Arrival Of The Queen Of Sheba",41,0.602,0.854,0.313,https://api.spotify.com/v1/audio-analysis/2SORBObY4Ag5wSPeXLmPAh
4ATrXpJdnYW2eOeeYdXMVG,"Concerto for Lute, 2 Violins and Continuo in D major, RV 93: 3. Allegro",42,0.584,0.942,0.142,https://api.spotify.com/v1/audio-analysis/4ATrXpJdnYW2eOeeYdXMVG
06O078Zw6xX8iMh4lpWn01,"Dido and Aeneas, Z. 626 / Act III: ""When I Am Laid in Earth"" Dido's Lamento (Arr. by Mathieu Herzog for Cello and Strings)",46,0.034,0.957,0.0604,https://api.spotify.com/v1/audio-analysis/06O078Zw6xX8iMh4lpWn01
5lWrKno3WGaPLg8hwGuzQ0,"Bocherini / Arr. Grützmacher: Cello Concerto No. 9 in B-Flat Major, G. 482: II. Adagio non troppo",42,0.0385,0.982,0.12,https://api.spotify.com/v1/audio-analysis/5lWrKno3WGaPLg8hwGuzQ0
5UO0mq9xiBiwwfA91u8YQn,Marche pour la cérémonie des Turcs (Jean-Baptiste Lully),45,0.543,0.545,0.329,https://api.spotify.com/v1/audio-analysis/5UO0mq9xiBiwwfA91u8YQn
5UO0mq9xiBiwwfA91u8YQn,Marche pour la cérémonie des Turcs (Jean-Baptiste Lully),45,0.543,0.545,0.329,https://api.spotify.com/v1/audio-analysis/5UO0mq9xiBiwwfA91u8YQn
2mhirp0cXeMGugTeezPrGn,"Abdelazer, Z.570: 2. Rondeau",40,0.484,0.707,0.0535,https://api.spotify.com/v1/audio-analysis/2mhirp0cXeMGugTeezPrGn
0LWHku6CeveGybTW8tNdlb,"Concerto In G Major TWV 40:201, For 4 Violins Without Basso Continuo: 1. Largo e staccato",40,0.326,0.952,0.00627,https://api.spotify.com/v1/audio-analysis/0LWHku6CeveGybTW8tNdlb
0JWcB3Vvz1XWqM1BIky8zn,"Flute Concerto in D Minor, QV 5:81: II. Arioso",39,0.351,0.972,0.0399,https://api.spotify.com/v1/audio-analysis/0JWcB3Vvz1XWqM1BIky8zn
79IEO4HeDBjJ0lZ3gCowrz,Chamber Sonata No. 4 in G Minor: I. Grave,39,0.065,0.868,0.155,https://api.spotify.com/v1/audio-analysis/79IEO4HeDBjJ0lZ3gCowrz
6JkDThoofgbKj59ykGwRph,Noel Symphony No. 4 in D Minor: I. Une jeune pucelle: Moderato,38,0.255,0.751,0.112,https://api.spotify.com/v1/audio-analysis/6JkDThoofgbKj59ykGwRph
6oEKCzMIdUT4dbeI05gcKy,"Concerto for violoncello piccolo in G Major, RV. 414: II. Largo",38,0.135,0.914,0.205,https://api.spotify.com/v1/audio-analysis/6oEKCzMIdUT4dbeI05gcKy
2zUoxM02p2aSy7LOfI5rCy,"Lully : Ballet des Muses : ""Trop indiscret Amour"" [Euridice]",39,0.192,0.269,0.0702,https://api.spotify.com/v1/audio-analysis/2zUoxM02p2aSy7LOfI5rCy
4ttPV0hLk1PMPJ5YulhbUJ,"Mystery (Rosary) Sonata No. 9, ""Jesus Carries the Cross"": I. Sonata",37,0.0372,0.855,0.0669,https://api.spotify.com/v1/audio-analysis/4ttPV0hLk1PMPJ5YulhbUJ
24FADyq2xFPud5AD4fDctm,Première Suite: Prélude,39,0.0446,0.932,0.0169,https://api.spotify.com/v1/audio-analysis/24FADyq2xFPud5AD4fDctm
7t7EWUauVFKkZYQT8QopK2,"Musiche sacre concernenti messa, e salmi concertati con istromenti, imni, antifone et sonate: Canzon a 3",38,0.145,0.845,0.135,https://api.spotify.com/v1/audio-analysis/7t7EWUauVFKkZYQT8QopK2
1HPcyCEdd3b1inMCmqMgut,Trio Sonata No. 4 in C Major: I. Adagio,38,0.112,0.602,0.176,https://api.spotify.com/v1/audio-analysis/1HPcyCEdd3b1inMCmqMgut
6xhVf7SgpsCDV0im95XTe3,Lo frate 'nnamorato: II. Andante,44,0.0503,0.923,0.0644,https://api.spotify.com/v1/audio-analysis/6xhVf7SgpsCDV0im95XTe3
5AW6hac4JAKu0ygmZUw7HF,"Violin Concerto in E-Flat Major, RV 257: III. Allegro",37,0.711,0.864,0.329,https://api.spotify.com/v1/audio-analysis/5AW6hac4JAKu0ygmZUw7HF
3Txpk5H7P3Qc2ny1KlcWCW,"Keyboard Sonata in E-Flat Major, F. 5: II. Largo",37,0.337,0.995,0.0105,https://api.spotify.com/v1/audio-analysis/3Txpk5H7P3Qc2ny1KlcWCW
3Txpk5H7P3Qc2ny1KlcWCW,"Keyboard Sonata in E-Flat Major, F. 5: II. Largo",37,0.337,0.995,0.0105,https://api.spotify.com/v1/audio-analysis/3Txpk5H7P3Qc2ny1KlcWCW
0fTJ7spoLjRgriBgsftWR8,Concerto-Pasticcio in C Major: I. Largo,39,0.0753,0.934,0.0497,https://api.spotify.com/v1/audio-analysis/0fTJ7spoLjRgriBgsftWR8
