track_uri,name,popularity,valence,acousticness,energy,analysis_url
3s8Anp8dKObIw8Zy8uGgYC,Dominoes,44,0.823,0.0171,0.603,https://api.spotify.com/v1/audio-analysis/3s8Anp8dKObIw8Zy8uGgYC
1cRTAPP2FG9h2WiYMOIVIK,The Sky Is Crying,49,0.567,0.0226,0.611,https://api.spotify.com/v1/audio-analysis/1cRTAPP2FG9h2WiYMOIVIK
2PcbVKT28p9mOlWBDL371J,I Can't Quit You Baby,48,0.415,0.407,0.236,https://api.spotify.com/v1/audio-analysis/2PcbVKT28p9mOlWBDL371J
7oy11oZXWxwRYn5DUxk0oW,"One Bourbon, One Scotch, One Beer",0,0.853,0.494,0.56,https://api.spotify.com/v1/audio-analysis/7oy11oZXWxwRYn5DUxk0oW
7zto61V8ySp03Qi6X1LU2X,Tin Pan Alley (AKA Roughest Place in Town),50,0.168,0.546,0.0968,https://api.spotify.com/v1/audio-analysis/7zto61V8ySp03Qi6X1LU2X
4OGyibX2nayDVCUfFN4u8x,Dengue Woman Blues,42,0.598,0.33,0.358,https://api.spotify.com/v1/audio-analysis/4OGyibX2nayDVCUfFN4u8x
1Q6anBZ21FGcaHvR50d326,Snatch It Back And Hold It,40,0.891,0.0984,0.408,https://api.spotify.com/v1/audio-analysis/1Q6anBZ21FGcaHvR50d326
1YAqMv5kabudsXnTrCj9KL,No Good,35,0.468,0.291,0.5,https://api.spotify.com/v1/audio-analysis/1YAqMv5kabudsXnTrCj9KL
3kYLpeRglpJLQkCsbp7p4j,I 'll Play the Blues for You,49,0.697,0.786,0.316,https://api.spotify.com/v1/audio-analysis/3kYLpeRglpJLQkCsbp7p4j
38xcUjiTP1ivfb7ObwjyGA,Watermelon Man - Remastered,54,0.594,0.727,0.526,https://api.spotify.com/v1/audio-analysis/38xcUjiTP1ivfb7ObwjyGA
38xcUjiTP1ivfb7ObwjyGA,Watermelon Man - Remastered,54,0.594,0.727,0.526,https://api.spotify.com/v1/audio-analysis/38xcUjiTP1ivfb7ObwjyGA
18A1V1vsy5YgHFqb4galTw,Chitlins Con Carne,51,0.786,0.579,0.335,https://api.spotify.com/v1/audio-analysis/18A1V1vsy5YgHFqb4galTw
10kVwPSRjUYja0EtdqmXHe,Dig Dis - Remastered 1999/Rudy Van Gelder Edition,50,0.508,0.82,0.444,https://api.spotify.com/v1/audio-analysis/10kVwPSRjUYja0EtdqmXHe
10kVwPSRjUYja0EtdqmXHe,Dig Dis - Remastered 1999/Rudy Van Gelder Edition,50,0.508,0.82,0.444,https://api.spotify.com/v1/audio-analysis/10kVwPSRjUYja0EtdqmXHe
7CnOzCWGrTINcDExG6u99y,Cool Struttin',46,0.48,0.837,0.48,https://api.spotify.com/v1/audio-analysis/7CnOzCWGrTINcDExG6u99y
7CnOzCWGrTINcDExG6u99y,Cool Struttin',46,0.48,0.837,0.48,https://api.spotify.com/v1/audio-analysis/7CnOzCWGrTINcDExG6u99y
3MiHG7FiEk56qiHNuWaZiz,Senor Blues,34,0.685,0.932,0.348,https://api.spotify.com/v1/audio-analysis/3MiHG7FiEk56qiHNuWaZiz
