track_uri,name,popularity,valence,acousticness,energy,analysis_url
1BKzi9a5cjsvy9woy3VZhb,Tin Roof (feat. Blessing Offor),45,0.376,0.931,0.331,https://api.spotify.com/v1/audio-analysis/1BKzi9a5cjsvy9woy3VZhb
5OEmp9rJJkHBBR1LTK3gix,Phenomena (DA DA) - Live,40,0.712,0.00573,0.871,https://api.spotify.com/v1/audio-analysis/5OEmp9rJJkHBBR1LTK3gix
7uvDJFly0TCWWsK48NI1fx,I just need U.,48,0.712,0.0974,0.639,https://api.spotify.com/v1/audio-analysis/7uvDJFly0TCWWsK48NI1fx
7reASFw2ZMgqahFJc6CMgl,Scars,32,0.152,0.0471,0.525,https://api.spotify.com/v1/audio-analysis/7reASFw2ZMgqahFJc6CMgl
6Z7R7xxJepsTZVqz8hLCZM,Every Good Thing,37,0.965,0.00851,0.942,https://api.spotify.com/v1/audio-analysis/6Z7R7xxJepsTZVqz8hLCZM
3ewlQtdefaNtc8AdqYwgyg,Good Morning,50,0.962,0.0607,0.883,https://api.spotify.com/v1/audio-analysis/3ewlQtdefaNtc8AdqYwgyg
0eI19vR5WZ12fuYcEFUVkw,God's Not Dead (Like A Lion),61,0.612,0.000479,0.905,https://api.spotify.com/v1/audio-analysis/0eI19vR5WZ12fuYcEFUVkw
41ksOksB4dyjN1QoVyd9qQ,Magnetic,39,0.798,0.0312,0.891,https://api.spotify.com/v1/audio-analysis/41ksOksB4dyjN1QoVyd9qQ
7aIvVeBrvC7K3hYbpRXRdZ,Shake,47,0.788,0.00138,0.948,https://api.spotify.com/v1/audio-analysis/7aIvVeBrvC7K3hYbpRXRdZ
2OkbIjIZijWf1XKqtCUqqs,This is the Day,46,0.48,0.0172,0.883,https://api.spotify.com/v1/audio-analysis/2OkbIjIZijWf1XKqtCUqqs
2nyGjYJSWWWzpOIOSD74Ur,Up Again,29,0.868,0.385,0.685,https://api.spotify.com/v1/audio-analysis/2nyGjYJSWWWzpOIOSD74Ur
7FO6QgfJRKtEwZiYO0dIO9,Speak Life,57,0.565,0.137,0.888,https://api.spotify.com/v1/audio-analysis/7FO6QgfJRKtEwZiYO0dIO9
7rh66kkZgNeZPFywGHaj4C,Favorite Song,37,0.947,0.0677,0.54,https://api.spotify.com/v1/audio-analysis/7rh66kkZgNeZPFywGHaj4C
1J0QTsdzHol04S3TxSBt0q,Known,19,0.75,0.785,0.303,https://api.spotify.com/v1/audio-analysis/1J0QTsdzHol04S3TxSBt0q
5xv9Shs68bVmUd9tiJSK8r,Someday Soon,49,0.317,0.931,0.269,https://api.spotify.com/v1/audio-analysis/5xv9Shs68bVmUd9tiJSK8r
7cbBje7fa1gj3IpOLcwCMt,Brother Jack,39,0.501,0.00324,0.855,https://api.spotify.com/v1/audio-analysis/7cbBje7fa1gj3IpOLcwCMt
3H5ly2nTpUNUdbg1X9dHWJ,For God Is With Us,53,0.152,0.01,0.639,https://api.spotify.com/v1/audio-analysis/3H5ly2nTpUNUdbg1X9dHWJ
3H5ly2nTpUNUdbg1X9dHWJ,For God Is With Us,53,0.152,0.01,0.639,https://api.spotify.com/v1/audio-analysis/3H5ly2nTpUNUdbg1X9dHWJ
3H5ly2nTpUNUdbg1X9dHWJ,For God Is With Us,53,0.152,0.01,0.639,https://api.spotify.com/v1/audio-analysis/3H5ly2nTpUNUdbg1X9dHWJ
3H5ly2nTpUNUdbg1X9dHWJ,For God Is With Us,53,0.152,0.01,0.639,https://api.spotify.com/v1/audio-analysis/3H5ly2nTpUNUdbg1X9dHWJ
45W0GYB7YQO5wq6ePZPA4F,You,52,0.414,0.0328,0.565,https://api.spotify.com/v1/audio-analysis/45W0GYB7YQO5wq6ePZPA4F
4rTD34yd4a3ECP7vpkyFf0,Talk of the Town,47,0.77,0.00661,0.901,https://api.spotify.com/v1/audio-analysis/4rTD34yd4a3ECP7vpkyFf0
4bd5qNOxWl0AEuADTqqFU4,Closer Than a Brother,42,0.473,0.16,0.857,https://api.spotify.com/v1/audio-analysis/4bd5qNOxWl0AEuADTqqFU4
2FyP26PfA97cgpKut7IH4V,Save Me - Bonus Track,40,0.574,0.102,0.772,https://api.spotify.com/v1/audio-analysis/2FyP26PfA97cgpKut7IH4V
0HgPrONoZRbbsRxsTJgtg3,Conversation,25,0.361,0.188,0.532,https://api.spotify.com/v1/audio-analysis/0HgPrONoZRbbsRxsTJgtg3
2RTkebdbPFyg4AMIzJZql1,Outrage,40,0.619,0.00665,0.855,https://api.spotify.com/v1/audio-analysis/2RTkebdbPFyg4AMIzJZql1
7ubJMJ9FsNrElXkrESDwih,WaveWalker (feat. Bart Millard),45,0.688,0.00539,0.805,https://api.spotify.com/v1/audio-analysis/7ubJMJ9FsNrElXkrESDwih
3LEBulRQI5hHe2TUKKswUf,Me Without You,52,0.963,0.00247,0.785,https://api.spotify.com/v1/audio-analysis/3LEBulRQI5hHe2TUKKswUf
3LEBulRQI5hHe2TUKKswUf,Me Without You,52,0.963,0.00247,0.785,https://api.spotify.com/v1/audio-analysis/3LEBulRQI5hHe2TUKKswUf
76lyBJA2fZEVoTbQEq0DBP,Arrow,27,0.522,0.187,0.843,https://api.spotify.com/v1/audio-analysis/76lyBJA2fZEVoTbQEq0DBP
03DkSyd1hE6r22pRoMe8fj,Candid Heart,28,0.45,0.243,0.705,https://api.spotify.com/v1/audio-analysis/03DkSyd1hE6r22pRoMe8fj
6qwfFmvzrd2sJ6EtHn4FOr,I Feel so Alive,42,0.644,0.0124,0.832,https://api.spotify.com/v1/audio-analysis/6qwfFmvzrd2sJ6EtHn4FOr
2mYreCutf85FtKOUVJOKT4,Alive - Live,48,0.63,0.00111,0.949,https://api.spotify.com/v1/audio-analysis/2mYreCutf85FtKOUVJOKT4
2gID80T3qF8G5f7fykNb8t,Brand New,32,0.612,0.0622,0.788,https://api.spotify.com/v1/audio-analysis/2gID80T3qF8G5f7fykNb8t
2gID80T3qF8G5f7fykNb8t,Brand New,32,0.612,0.0622,0.788,https://api.spotify.com/v1/audio-analysis/2gID80T3qF8G5f7fykNb8t
5EooBH2mT6qcsPY8ZgZPVW,BREAK MY SOUL - will.i.am Remix,57,0.488,0.0131,0.824,https://api.spotify.com/v1/audio-analysis/5EooBH2mT6qcsPY8ZgZPVW
7tIXVj9bx2uDHWPw6YvKyO,It's Always Been You,42,0.0674,0.494,0.478,https://api.spotify.com/v1/audio-analysis/7tIXVj9bx2uDHWPw6YvKyO
1KKTKUFmFLZmEhbUyj47jN,Who Am I,59,0.437,0.301,0.649,https://api.spotify.com/v1/audio-analysis/1KKTKUFmFLZmEhbUyj47jN
1syFMBjjRvL3uReOM8yWEb,My Savior My God,52,0.241,0.0229,0.467,https://api.spotify.com/v1/audio-analysis/1syFMBjjRvL3uReOM8yWEb
2XEdrmqNM9ZQQ24ViuceB0,"Hello, My Name Is",58,0.643,0.000583,0.894,https://api.spotify.com/v1/audio-analysis/2XEdrmqNM9ZQQ24ViuceB0
4v8GJxLdvUiN7R31cKcmNL,Broken Things,56,0.246,0.0498,0.536,https://api.spotify.com/v1/audio-analysis/4v8GJxLdvUiN7R31cKcmNL
71H2uM35Ax7Cq5nj9lnGq1,Relentless - Young & Free Remix,36,0.318,0.003,0.709,https://api.spotify.com/v1/audio-analysis/71H2uM35Ax7Cq5nj9lnGq1
