track_uri,name,popularity,valence,acousticness,energy,analysis_url
4whYDpJ5XVQpmvecbEHP5Q,Where It's At,58,0.817,0.0142,0.737,https://api.spotify.com/v1/audio-analysis/4whYDpJ5XVQpmvecbEHP5Q
3NgcaTIgVh77DdwAInp996,Good Girl,59,0.694,0.16,0.696,https://api.spotify.com/v1/audio-analysis/3NgcaTIgVh77DdwAInp996
0El2Zyt68nYySFDG87hZgM,Sun Daze,61,0.849,0.0981,0.952,https://api.spotify.com/v1/audio-analysis/0El2Zyt68nYySFDG87hZgM
0El2Zyt68nYySFDG87hZgM,Sun Daze,61,0.849,0.0981,0.952,https://api.spotify.com/v1/audio-analysis/0El2Zyt68nYySFDG87hZgM
56eGOeSsqdg3FLxdo83TwV,Rumor,70,0.599,0.749,0.56,https://api.spotify.com/v1/audio-analysis/56eGOeSsqdg3FLxdo83TwV
56eGOeSsqdg3FLxdo83TwV,Rumor,70,0.599,0.749,0.56,https://api.spotify.com/v1/audio-analysis/56eGOeSsqdg3FLxdo83TwV
56eGOeSsqdg3FLxdo83TwV,Rumor,70,0.599,0.749,0.56,https://api.spotify.com/v1/audio-analysis/56eGOeSsqdg3FLxdo83TwV
56eGOeSsqdg3FLxdo83TwV,Rumor,70,0.599,0.749,0.56,https://api.spotify.com/v1/audio-analysis/56eGOeSsqdg3FLxdo83TwV
56eGOeSsqdg3FLxdo83TwV,Rumor,70,0.599,0.749,0.56,https://api.spotify.com/v1/audio-analysis/56eGOeSsqdg3FLxdo83TwV
6dnco8haegnJYtylV26cBq,Islands In the Stream,62,0.738,0.675,0.411,https://api.spotify.com/v1/audio-analysis/6dnco8haegnJYtylV26cBq
09iyGiljLWRYXdRazFkdtJ,I Could Use a Love Song,64,0.473,0.214,0.634,https://api.spotify.com/v1/audio-analysis/09iyGiljLWRYXdRazFkdtJ
09iyGiljLWRYXdRazFkdtJ,I Could Use a Love Song,64,0.473,0.214,0.634,https://api.spotify.com/v1/audio-analysis/09iyGiljLWRYXdRazFkdtJ
09iyGiljLWRYXdRazFkdtJ,I Could Use a Love Song,64,0.473,0.214,0.634,https://api.spotify.com/v1/audio-analysis/09iyGiljLWRYXdRazFkdtJ
09iyGiljLWRYXdRazFkdtJ,I Could Use a Love Song,64,0.473,0.214,0.634,https://api.spotify.com/v1/audio-analysis/09iyGiljLWRYXdRazFkdtJ
2xPV95cfbyusygMTxpa3SW,You,67,0.52,0.118,0.572,https://api.spotify.com/v1/audio-analysis/2xPV95cfbyusygMTxpa3SW
5nWsaKPbHG8UpBqkaBJGrE,Beer With My Friends,56,0.713,0.103,0.926,https://api.spotify.com/v1/audio-analysis/5nWsaKPbHG8UpBqkaBJGrE
7bNX2Fgb4MjPrYbkHaCNwV,Roll With It,57,0.488,0.106,0.654,https://api.spotify.com/v1/audio-analysis/7bNX2Fgb4MjPrYbkHaCNwV
7bZP1hWx4jVnRUr0FgZ4nR,Roadtripsong,29,0.353,0.656,0.0759,https://api.spotify.com/v1/audio-analysis/7bZP1hWx4jVnRUr0FgZ4nR
4j6mrg4fGP1MVfOPN740VJ,Long Haired Country Boy (feat. The Rockin' CJB),50,0.503,0.00228,0.786,https://api.spotify.com/v1/audio-analysis/4j6mrg4fGP1MVfOPN740VJ
4j6mrg4fGP1MVfOPN740VJ,Long Haired Country Boy (feat. The Rockin' CJB),50,0.503,0.00228,0.786,https://api.spotify.com/v1/audio-analysis/4j6mrg4fGP1MVfOPN740VJ
38qDc4DgEnnkr9UaRI5owP,Beer With Jesus,43,0.274,0.133,0.382,https://api.spotify.com/v1/audio-analysis/38qDc4DgEnnkr9UaRI5owP
23TxRN09aR1RB0G0tFoT0b,Better Man,63,0.501,0.112,0.836,https://api.spotify.com/v1/audio-analysis/23TxRN09aR1RB0G0tFoT0b
0YfRAYTNTNszGg8VARrSIH,Long Live,60,0.544,0.178,0.846,https://api.spotify.com/v1/audio-analysis/0YfRAYTNTNszGg8VARrSIH
0YfRAYTNTNszGg8VARrSIH,Long Live,60,0.544,0.178,0.846,https://api.spotify.com/v1/audio-analysis/0YfRAYTNTNszGg8VARrSIH
4GyD3o5hWoyCuYpdlzZlRL,Doin' This,67,0.39,0.18,0.552,https://api.spotify.com/v1/audio-analysis/4GyD3o5hWoyCuYpdlzZlRL
4GyD3o5hWoyCuYpdlzZlRL,Doin' This,67,0.39,0.18,0.552,https://api.spotify.com/v1/audio-analysis/4GyD3o5hWoyCuYpdlzZlRL
0sKEilrw1GrBlG6qsTCrP4,865,70,0.367,0.723,0.584,https://api.spotify.com/v1/audio-analysis/0sKEilrw1GrBlG6qsTCrP4
4obHzpwGrjoTuZh2DItEMZ,7 Summers,74,0.571,0.417,0.786,https://api.spotify.com/v1/audio-analysis/4obHzpwGrjoTuZh2DItEMZ
0z87h9TTEDeNNh2N0cLaA1,Good Company,49,0.784,0.465,0.794,https://api.spotify.com/v1/audio-analysis/0z87h9TTEDeNNh2N0cLaA1
4eBaGa3ykdcmrGSKlHrAnV,Throw It Back (feat. Keith Urban),53,0.521,0.0541,0.733,https://api.spotify.com/v1/audio-analysis/4eBaGa3ykdcmrGSKlHrAnV
