track_uri,name,popularity,valence,acousticness,energy,analysis_url
6gOJKUz0gLllkOzvZ2f7XD,Tej,34,0.42,0.0816,0.354,https://api.spotify.com/v1/audio-analysis/6gOJKUz0gLllkOzvZ2f7XD
683mwxOizslObemAVOmvH4,Future Love (Reimagined by Pêtr Aleksänder) - Instrumental,42,0.0524,0.0135,0.293,https://api.spotify.com/v1/audio-analysis/683mwxOizslObemAVOmvH4
2yyLWqhNx9vDYTSyaVaiQK,Life On Mars,38,0.0918,0.993,0.239,https://api.spotify.com/v1/audio-analysis/2yyLWqhNx9vDYTSyaVaiQK
0E0xI4AgMNU7UkwBt3FCVN,A Thousand Years,57,0.156,0.989,0.217,https://api.spotify.com/v1/audio-analysis/0E0xI4AgMNU7UkwBt3FCVN
6Br4baYuVyuNOmQRhuMqFI,All of Me,35,0.35,0.618,0.475,https://api.spotify.com/v1/audio-analysis/6Br4baYuVyuNOmQRhuMqFI
0QE84LDZvfTNSGxQcadbeV,Don't Stop Believin',39,0.943,0.47,0.551,https://api.spotify.com/v1/audio-analysis/0QE84LDZvfTNSGxQcadbeV
6aHZQ2a2ZgBDLZsx1usftw,Merry Christmas Mr. Lawrence (Arr. Metcalfe),47,0.198,0.984,0.0592,https://api.spotify.com/v1/audio-analysis/6aHZQ2a2ZgBDLZsx1usftw
3vqyauyYbp9MqUwrCEmWJ0,Despacito,51,0.517,0.831,0.491,https://api.spotify.com/v1/audio-analysis/3vqyauyYbp9MqUwrCEmWJ0
33lI804DgErb7NSNWwkzxa,Perfect,42,0.0611,0.976,0.0577,https://api.spotify.com/v1/audio-analysis/33lI804DgErb7NSNWwkzxa
3EfJK2rJtMjGZoIdBrFqh6,Shivers - Piano Version,54,0.0368,0.991,0.0549,https://api.spotify.com/v1/audio-analysis/3EfJK2rJtMjGZoIdBrFqh6
