track_uri,name,popularity,valence,acousticness,energy,analysis_url
2tuk3PezhFMV8fBB433tV0,Swept Away,8,0.598,0.0231,0.668,https://api.spotify.com/v1/audio-analysis/2tuk3PezhFMV8fBB433tV0
7fYRg3CEbk6rNCuzNzMT06,Potion (with Dua Lipa & Young Thug),72,0.757,0.158,0.697,https://api.spotify.com/v1/audio-analysis/7fYRg3CEbk6rNCuzNzMT06
7klPHv3HnXdUY3dSfTccNc,Time,65,0.298,0.518,0.771,https://api.spotify.com/v1/audio-analysis/7klPHv3HnXdUY3dSfTccNc
0HkwDCJIbWijtfKg63gQBJ,Skyline,53,0.628,0.0325,0.87,https://api.spotify.com/v1/audio-analysis/0HkwDCJIbWijtfKg63gQBJ
2FEUloDXMvRnyfLcsrCfkw,La Danza,67,0.357,0.00298,0.88,https://api.spotify.com/v1/audio-analysis/2FEUloDXMvRnyfLcsrCfkw
2NTZ1nzUqueH7odDcjLq5s,La Rua Madureira,55,0.607,0.534,0.674,https://api.spotify.com/v1/audio-analysis/2NTZ1nzUqueH7odDcjLq5s
6osru1Fx1n50mRD8QWI9m1,TODAY,59,0.0853,0.848,0.406,https://api.spotify.com/v1/audio-analysis/6osru1Fx1n50mRD8QWI9m1
3mslSmibP6M7u9RQEOZ2Zh,bend yr ear,46,0.296,0.657,0.424,https://api.spotify.com/v1/audio-analysis/3mslSmibP6M7u9RQEOZ2Zh
6G0NzOx2jEPFsSmhr9N8Ys,Nightswimming,61,0.571,0.796,0.385,https://api.spotify.com/v1/audio-analysis/6G0NzOx2jEPFsSmhr9N8Ys
4P1bWG46ggUx3kOdnDEAfs,Here with Me,35,0.305,0.000313,0.83,https://api.spotify.com/v1/audio-analysis/4P1bWG46ggUx3kOdnDEAfs
2VaOJEHR9U3Q6SlG8TZN5j,Meant To Be Lonely,45,0.288,0.0498,0.725,https://api.spotify.com/v1/audio-analysis/2VaOJEHR9U3Q6SlG8TZN5j
6Rzv2CVwDi7hYnVU5wKcXe,Don’t Look Down (feat. Linney),41,0.175,0.0195,0.776,https://api.spotify.com/v1/audio-analysis/6Rzv2CVwDi7hYnVU5wKcXe
4rGJKqbPpn5HUhMKeZMFhe,Parachute,38,0.187,0.124,0.747,https://api.spotify.com/v1/audio-analysis/4rGJKqbPpn5HUhMKeZMFhe
5eDo6xh2Y06uhh4n8mXZZJ,Journey,1,0.285,0.0142,0.955,https://api.spotify.com/v1/audio-analysis/5eDo6xh2Y06uhh4n8mXZZJ
1zJCUEHGrb6fDlkbw98CXB,Odd Ones Out,41,0.25,0.0129,0.771,https://api.spotify.com/v1/audio-analysis/1zJCUEHGrb6fDlkbw98CXB
1gnYZJ13MLIRFexETWGDEo,From Ashes To Love,45,0.111,0.0613,0.753,https://api.spotify.com/v1/audio-analysis/1gnYZJ13MLIRFexETWGDEo
4BGisE3DH8PkP5ibmLkmQB,Not Giving In,39,0.363,0.000548,0.871,https://api.spotify.com/v1/audio-analysis/4BGisE3DH8PkP5ibmLkmQB
6sm1OQ89659UUpGctNTXvv,Another Way,37,0.3,0.0176,0.888,https://api.spotify.com/v1/audio-analysis/6sm1OQ89659UUpGctNTXvv
6GJy7B0rZdy2PhWCp2jJpc,Fire Again - Dabin Remix,46,0.354,0.000655,0.843,https://api.spotify.com/v1/audio-analysis/6GJy7B0rZdy2PhWCp2jJpc
6IhHyxeOqS6LKgP2Lawj55,Call On Me (feat. Vancouver Sleep Clinic),44,0.105,0.0794,0.695,https://api.spotify.com/v1/audio-analysis/6IhHyxeOqS6LKgP2Lawj55
7dUeGRu9gaXSjkjKO4I8F3,Take You Home (feat. Dia Frampton),41,0.208,0.595,0.73,https://api.spotify.com/v1/audio-analysis/7dUeGRu9gaXSjkjKO4I8F3
5ROUkE55LI83kG3ZRmAnum,Light Up The Sky (feat. Scott Stapp),44,0.154,0.104,0.664,https://api.spotify.com/v1/audio-analysis/5ROUkE55LI83kG3ZRmAnum
1Yqe3VYgjOhhJLtqkla2zc,Don’t Let Me Let Go (with ILLENIUM & EVAN GIIA),65,0.399,0.0399,0.724,https://api.spotify.com/v1/audio-analysis/1Yqe3VYgjOhhJLtqkla2zc
3bEkAkaKjxaC7DubsfCo1t,From The Ashes,56,0.159,0.0243,0.789,https://api.spotify.com/v1/audio-analysis/3bEkAkaKjxaC7DubsfCo1t
1iA7DyrJbukpd4X2EcT9Xd,Fall Into Me,61,0.25,0.0621,0.849,https://api.spotify.com/v1/audio-analysis/1iA7DyrJbukpd4X2EcT9Xd
6zFCci00787rGrLkWDwog8,Ocean Quiet,59,0.427,0.171,0.638,https://api.spotify.com/v1/audio-analysis/6zFCci00787rGrLkWDwog8
1HnFqtNMbrUrkbRUxRD3Sl,Waiting,56,0.478,0.192,0.565,https://api.spotify.com/v1/audio-analysis/1HnFqtNMbrUrkbRUxRD3Sl
7yH9SbrDQfNIh89ACCR7Ib,King,55,0.396,0.00736,0.862,https://api.spotify.com/v1/audio-analysis/7yH9SbrDQfNIh89ACCR7Ib
19QImmjKGCj2KNvJbFjwRd,Soil,49,0.222,0.6,0.338,https://api.spotify.com/v1/audio-analysis/19QImmjKGCj2KNvJbFjwRd
2rgLD7uyW4vmHsWptsALZx,Clearance,52,0.21,0.027,0.667,https://api.spotify.com/v1/audio-analysis/2rgLD7uyW4vmHsWptsALZx
1yMiMLEVBWals38tiLThLR,Coquelicot,50,0.182,0.00641,0.535,https://api.spotify.com/v1/audio-analysis/1yMiMLEVBWals38tiLThLR
0ENdomkBjCzYQbHP0ITm6L,Wet Bravado,56,0.351,0.0134,0.469,https://api.spotify.com/v1/audio-analysis/0ENdomkBjCzYQbHP0ITm6L
0ENdomkBjCzYQbHP0ITm6L,Wet Bravado,56,0.351,0.0134,0.469,https://api.spotify.com/v1/audio-analysis/0ENdomkBjCzYQbHP0ITm6L
7tK5mSBltgvDJ6CBuaPvi1,Below Surface,47,0.389,0.699,0.551,https://api.spotify.com/v1/audio-analysis/7tK5mSBltgvDJ6CBuaPvi1
3ShpwQAo4AYXGZzkcXbq4H,Deep Mist,54,0.259,0.296,0.407,https://api.spotify.com/v1/audio-analysis/3ShpwQAo4AYXGZzkcXbq4H
7wOZCITHxHO4j7dQ5jd2iL,Passage,46,0.133,0.0898,0.352,https://api.spotify.com/v1/audio-analysis/7wOZCITHxHO4j7dQ5jd2iL
2TU4uc1YAQrWV57fJ7TPk4,Blue Gold,52,0.157,0.0783,0.586,https://api.spotify.com/v1/audio-analysis/2TU4uc1YAQrWV57fJ7TPk4
7bScxanaqg2QeiEHqmYgvd,Casablanca,47,0.472,0.0796,0.657,https://api.spotify.com/v1/audio-analysis/7bScxanaqg2QeiEHqmYgvd
36IozKGZgSL9oTrhDmWzk8,Zero,48,0.581,0.652,0.374,https://api.spotify.com/v1/audio-analysis/36IozKGZgSL9oTrhDmWzk8
36IozKGZgSL9oTrhDmWzk8,Zero,48,0.581,0.652,0.374,https://api.spotify.com/v1/audio-analysis/36IozKGZgSL9oTrhDmWzk8
7wRn9WJMM6yGFobxdeRrBh,Infinite Twin,44,0.368,0.232,0.788,https://api.spotify.com/v1/audio-analysis/7wRn9WJMM6yGFobxdeRrBh
7wSCgWpis1zblS4ow4IYLW,skies,45,0.583,0.0496,0.571,https://api.spotify.com/v1/audio-analysis/7wSCgWpis1zblS4ow4IYLW
35FAJSbOqHs0lo5U7Ty0o9,Blend,45,0.165,0.503,0.36,https://api.spotify.com/v1/audio-analysis/35FAJSbOqHs0lo5U7Ty0o9
4HhE9O3Qp2lm0tZSRTG7SU,bonny,49,0.291,0.0173,0.648,https://api.spotify.com/v1/audio-analysis/4HhE9O3Qp2lm0tZSRTG7SU
4HhE9O3Qp2lm0tZSRTG7SU,bonny,49,0.291,0.0173,0.648,https://api.spotify.com/v1/audio-analysis/4HhE9O3Qp2lm0tZSRTG7SU
4faQsCXVnzLa2yITblP9ow,Été,42,0.0666,0.000424,0.72,https://api.spotify.com/v1/audio-analysis/4faQsCXVnzLa2yITblP9ow
3XSFQLLzrM1nDWh13A4eci,Ses Salines,38,0.228,0.00317,0.433,https://api.spotify.com/v1/audio-analysis/3XSFQLLzrM1nDWh13A4eci
6UbNrW8X1v4oOR29vzSVqX,One Day At A Time,62,0.526,0.224,0.741,https://api.spotify.com/v1/audio-analysis/6UbNrW8X1v4oOR29vzSVqX
6UbNrW8X1v4oOR29vzSVqX,One Day At A Time,62,0.526,0.224,0.741,https://api.spotify.com/v1/audio-analysis/6UbNrW8X1v4oOR29vzSVqX
0PQ591KWqZcslQeph3BRs5,Something Special - Original Mix,51,0.381,0.00075,0.395,https://api.spotify.com/v1/audio-analysis/0PQ591KWqZcslQeph3BRs5
0Hyon0TdAHCrsBzrvHFrOV,Hope,11,0.137,0.000402,0.822,https://api.spotify.com/v1/audio-analysis/0Hyon0TdAHCrsBzrvHFrOV
