track_uri,name,popularity,valence,acousticness,energy,analysis_url
3sxAZF5XL7usW8oZ1PtR7F,Namaste Divine,52,0.0392,0.988,0.0212,https://api.spotify.com/v1/audio-analysis/3sxAZF5XL7usW8oZ1PtR7F
2ETuChyJUeHa3qeLqm0bOW,Conscious Journey,53,0.0393,0.983,0.0607,https://api.spotify.com/v1/audio-analysis/2ETuChyJUeHa3qeLqm0bOW
2VcLfRb7hy51r3t3yv63cH,Sleep Will Come,53,0.0517,0.983,0.0494,https://api.spotify.com/v1/audio-analysis/2VcLfRb7hy51r3t3yv63cH
5uIa8gAkpe17Bce9Q47A71,Morning Skies,48,0.0915,0.973,0.0271,https://api.spotify.com/v1/audio-analysis/5uIa8gAkpe17Bce9Q47A71
0TclQcvmTDFsrX3aiS2oet,Dreams & Peace,47,0.274,0.991,0.00803,https://api.spotify.com/v1/audio-analysis/0TclQcvmTDFsrX3aiS2oet
7fGFIdimv9zQuMhWJmQfEx,Freedom from Oneself,44,0.0836,0.945,0.0114,https://api.spotify.com/v1/audio-analysis/7fGFIdimv9zQuMhWJmQfEx
2a5fSrT93ywfdY9yTtn3yX,Lovesong from the Mountains,0,0.0369,0.894,0.08,https://api.spotify.com/v1/audio-analysis/2a5fSrT93ywfdY9yTtn3yX
4WBSK6p3BjyUJQ0hmyKdQM,Lagoom,63,0.0528,0.989,0.00625,https://api.spotify.com/v1/audio-analysis/4WBSK6p3BjyUJQ0hmyKdQM
3e1SIAaOU2ai7MGF77qxUi,Unwind,60,0.0413,0.993,0.0065,https://api.spotify.com/v1/audio-analysis/3e1SIAaOU2ai7MGF77qxUi
5F820xSuKiMLpGOV04Xs3c,Fjord,71,0.0561,0.973,0.00185,https://api.spotify.com/v1/audio-analysis/5F820xSuKiMLpGOV04Xs3c
75UEjnA7EJ4ztlMANBW1dX,Rêver,60,0.193,0.949,0.0336,https://api.spotify.com/v1/audio-analysis/75UEjnA7EJ4ztlMANBW1dX
28BhahBC2qOpui6ryXoCev,Anachronic,65,0.0347,0.988,0.00512,https://api.spotify.com/v1/audio-analysis/28BhahBC2qOpui6ryXoCev
6Db6Cz42MGCRkM28KHivIy,A Neutral Place,69,0.0893,0.993,0.00607,https://api.spotify.com/v1/audio-analysis/6Db6Cz42MGCRkM28KHivIy
78HCy9rFb20PwAJvk9Tv73,Spirals,60,0.0973,0.984,0.0238,https://api.spotify.com/v1/audio-analysis/78HCy9rFb20PwAJvk9Tv73
03o9SRxgQAu7lpmvqePASW,Peaceful Sundown,63,0.0373,0.988,0.00634,https://api.spotify.com/v1/audio-analysis/03o9SRxgQAu7lpmvqePASW
04JXK1GuqYWZHaRPpdIiv9,Mind’s Eye,56,0.0574,0.603,0.148,https://api.spotify.com/v1/audio-analysis/04JXK1GuqYWZHaRPpdIiv9
4525Hx49ZxzUeeaKrlYlaS,Morganite,55,0.135,0.701,0.0367,https://api.spotify.com/v1/audio-analysis/4525Hx49ZxzUeeaKrlYlaS
