track_uri,name,popularity,valence,acousticness,energy,analysis_url
7709cD193A9ASewVfJ849M,Rain In The Rainforest,55,0.0278,0.0277,0.71,https://api.spotify.com/v1/audio-analysis/7709cD193A9ASewVfJ849M
7709cD193A9ASewVfJ849M,Rain In The Rainforest,55,0.0278,0.0277,0.71,https://api.spotify.com/v1/audio-analysis/7709cD193A9ASewVfJ849M
7709cD193A9ASewVfJ849M,Rain In The Rainforest,55,0.0278,0.0277,0.71,https://api.spotify.com/v1/audio-analysis/7709cD193A9ASewVfJ849M
41ngfIhPv1DkwHozVjH5Yc,Florida Rain Storm,59,0.0384,0.0027,0.523,https://api.spotify.com/v1/audio-analysis/41ngfIhPv1DkwHozVjH5Yc
23Hpf0InC4WVSmg9KaNxIy,Birds in Calm Forest,48,0.0257,0.868,0.0529,https://api.spotify.com/v1/audio-analysis/23Hpf0InC4WVSmg9KaNxIy
2NMA93HoL1DkxNLbnyOOqA,Dark Forest,49,0.0353,0.307,0.0402,https://api.spotify.com/v1/audio-analysis/2NMA93HoL1DkxNLbnyOOqA
2NMA93HoL1DkxNLbnyOOqA,Dark Forest,49,0.0353,0.307,0.0402,https://api.spotify.com/v1/audio-analysis/2NMA93HoL1DkxNLbnyOOqA
1uBwQtsJkaMNcr8uNLsKMF,Rain Forest Meditation,47,0.00416,0.393,1.0,https://api.spotify.com/v1/audio-analysis/1uBwQtsJkaMNcr8uNLsKMF
1uBwQtsJkaMNcr8uNLsKMF,Rain Forest Meditation,47,0.00416,0.393,1.0,https://api.spotify.com/v1/audio-analysis/1uBwQtsJkaMNcr8uNLsKMF
1uBwQtsJkaMNcr8uNLsKMF,Rain Forest Meditation,47,0.00416,0.393,1.0,https://api.spotify.com/v1/audio-analysis/1uBwQtsJkaMNcr8uNLsKMF
1EnpczqhePEswNjzfyirRV,Fresh Forest,44,1e-05,0.951,0.999,https://api.spotify.com/v1/audio-analysis/1EnpczqhePEswNjzfyirRV
2LuSIOYRov2ql9HlNYVKMk,Rainy European Forest,45,1e-05,0.779,1.0,https://api.spotify.com/v1/audio-analysis/2LuSIOYRov2ql9HlNYVKMk
5gKbTObGEDjqpB6pTzu1Ht,Magical Rainforest,49,1e-05,0.561,1.0,https://api.spotify.com/v1/audio-analysis/5gKbTObGEDjqpB6pTzu1Ht
7rgTZWgO5JEPrLCmhy1ABE,Forest Birds,46,0.0279,0.521,0.404,https://api.spotify.com/v1/audio-analysis/7rgTZWgO5JEPrLCmhy1ABE
0lvURQCoBLWmVYbXlOu3Mh,Slow Day In The Woods,41,0.031,0.863,0.608,https://api.spotify.com/v1/audio-analysis/0lvURQCoBLWmVYbXlOu3Mh
1o5wI9xAk3n5SVXBbdAEf3,Forest Therapy,45,0.0085,0.787,0.987,https://api.spotify.com/v1/audio-analysis/1o5wI9xAk3n5SVXBbdAEf3
4KbwasB5txiAwLRFQsrZ07,Birds Of the Rainforest,47,0.0194,0.102,0.935,https://api.spotify.com/v1/audio-analysis/4KbwasB5txiAwLRFQsrZ07
6gfzHvzslUJYs1dVMMhyaF,Relaxing Afternoon Rain,45,1e-05,0.13,0.996,https://api.spotify.com/v1/audio-analysis/6gfzHvzslUJYs1dVMMhyaF
50wosj4pWpL1QHCB49mbSF,Rainforest,49,1e-05,0.873,1.0,https://api.spotify.com/v1/audio-analysis/50wosj4pWpL1QHCB49mbSF
50wosj4pWpL1QHCB49mbSF,Rainforest,49,1e-05,0.873,1.0,https://api.spotify.com/v1/audio-analysis/50wosj4pWpL1QHCB49mbSF
5Gs8yP4p8ccqfZun4xmxgR,Forest Meditation,45,0.0078,0.497,0.991,https://api.spotify.com/v1/audio-analysis/5Gs8yP4p8ccqfZun4xmxgR
17kqaq39xg9nP1j6goQW5A,Relaxing Jungle Sounds,45,0.0534,0.162,0.905,https://api.spotify.com/v1/audio-analysis/17kqaq39xg9nP1j6goQW5A
1gDhRTrbT942IknQqleVqB,Forest Rain,45,1e-05,0.595,0.997,https://api.spotify.com/v1/audio-analysis/1gDhRTrbT942IknQqleVqB
18TcUAVl6zWF81ns2ObwdJ,Tropical Rainbirds,44,0.0412,0.000279,0.597,https://api.spotify.com/v1/audio-analysis/18TcUAVl6zWF81ns2ObwdJ
5ZDdbserCXlDm3CY0Yt1bF,Bird Chatter In Rainforest,46,0.0395,0.948,0.922,https://api.spotify.com/v1/audio-analysis/5ZDdbserCXlDm3CY0Yt1bF
5ZDdbserCXlDm3CY0Yt1bF,Bird Chatter In Rainforest,46,0.0395,0.948,0.922,https://api.spotify.com/v1/audio-analysis/5ZDdbserCXlDm3CY0Yt1bF
7KB9VZg79SNkaBesrOOJMT,April Rain,46,1e-05,0.945,0.999,https://api.spotify.com/v1/audio-analysis/7KB9VZg79SNkaBesrOOJMT
4Mx3Zc9sXgZVGpdGwnkqWT,Rain with Distant Birds,49,1e-05,0.973,1.0,https://api.spotify.com/v1/audio-analysis/4Mx3Zc9sXgZVGpdGwnkqWT
0oSU0oQ4xp3H6sMh1In9W8,Dreamy Rain,70,0.0129,0.121,0.86,https://api.spotify.com/v1/audio-analysis/0oSU0oQ4xp3H6sMh1In9W8
4Pvq68Y0K9k6dYkyP4HBcv,L'oiseau Aime La Pluie,41,0.00113,0.657,0.992,https://api.spotify.com/v1/audio-analysis/4Pvq68Y0K9k6dYkyP4HBcv
1XGH1AZ0JONwKKkYuNEPdE,River Rain,56,1e-05,0.896,0.997,https://api.spotify.com/v1/audio-analysis/1XGH1AZ0JONwKKkYuNEPdE
1XGH1AZ0JONwKKkYuNEPdE,River Rain,56,1e-05,0.896,0.997,https://api.spotify.com/v1/audio-analysis/1XGH1AZ0JONwKKkYuNEPdE
0qjA7VzJyneuisZRNATzWp,Nature Night-time,46,0.00737,0.138,0.936,https://api.spotify.com/v1/audio-analysis/0qjA7VzJyneuisZRNATzWp
