track_uri,name,popularity,valence,acousticness,energy,analysis_url
60ynsPSSKe6O3sfwRnIBRf,Streets,81,0.189,0.21,0.463,https://api.spotify.com/v1/audio-analysis/60ynsPSSKe6O3sfwRnIBRf
09mEdoA6zrmBPgTEN5qXmN,Call Out My Name,87,0.175,0.17,0.593,https://api.spotify.com/v1/audio-analysis/09mEdoA6zrmBPgTEN5qXmN
5H3TCfiw0CQTX1XU7A9TXM,Cake,74,0.29,0.381,0.655,https://api.spotify.com/v1/audio-analysis/5H3TCfiw0CQTX1XU7A9TXM
2jQiSYrwJehQAcuaaQrXnS,Friends,80,0.0911,0.0114,0.609,https://api.spotify.com/v1/audio-analysis/2jQiSYrwJehQAcuaaQrXnS
64j3Bd62HTe0pclk8Aq9BE,Open Wide (feat. Big Sean),56,0.686,0.0698,0.943,https://api.spotify.com/v1/audio-analysis/64j3Bd62HTe0pclk8Aq9BE
4o9q4CDwQw2KXIKf1XUF7a,Sugar,9,0.87,0.0747,0.786,https://api.spotify.com/v1/audio-analysis/4o9q4CDwQw2KXIKf1XUF7a
0UzymivvUH5s8z4PeWZJaK,FEVER,75,0.471,0.0642,0.713,https://api.spotify.com/v1/audio-analysis/0UzymivvUH5s8z4PeWZJaK
0dkvbYmXYEPK7gGMdytmfI,sex money feelings die - slowed version,71,0.436,0.471,0.44,https://api.spotify.com/v1/audio-analysis/0dkvbYmXYEPK7gGMdytmfI
2prnn41CblB8B4yWACDljP,Love Tonight (David Guetta Remix Edit),78,0.0348,0.015,0.989,https://api.spotify.com/v1/audio-analysis/2prnn41CblB8B4yWACDljP
2GXOmuU3kApsq2TWqOU5Bm,Send It,52,0.091,0.0199,0.979,https://api.spotify.com/v1/audio-analysis/2GXOmuU3kApsq2TWqOU5Bm
0Xz3DTcdZI01mjKfNZrsC1,Mayhem,56,0.078,0.00016,0.964,https://api.spotify.com/v1/audio-analysis/0Xz3DTcdZI01mjKfNZrsC1
7FGIEAVXfegxngH9Jg6VwA,What A Shame,68,0.565,0.315,0.463,https://api.spotify.com/v1/audio-analysis/7FGIEAVXfegxngH9Jg6VwA
6Im9k8u9iIzKMrmV7BWtlF,34+35,78,0.485,0.237,0.585,https://api.spotify.com/v1/audio-analysis/6Im9k8u9iIzKMrmV7BWtlF
7BoobGhD4x5K96Me0hqC8Q,Build a Bitch,73,0.866,0.217,0.463,https://api.spotify.com/v1/audio-analysis/7BoobGhD4x5K96Me0hqC8Q
7aonAWn0J0AJ47ZU9WHCXC,INFERNO,66,0.637,0.0766,0.611,https://api.spotify.com/v1/audio-analysis/7aonAWn0J0AJ47ZU9WHCXC
5zNW5ARjYhJQJz1AChP33n,Thot Shit,68,0.891,0.0133,0.693,https://api.spotify.com/v1/audio-analysis/5zNW5ARjYhJQJz1AChP33n
3Vi5XqYrmQgOYBajMWSvCi,Need to Know,80,0.194,0.304,0.609,https://api.spotify.com/v1/audio-analysis/3Vi5XqYrmQgOYBajMWSvCi
4NCYjPP2VAyYi6707SkS30,I Want You To Know,43,0.366,0.00537,0.846,https://api.spotify.com/v1/audio-analysis/4NCYjPP2VAyYi6707SkS30
