track_uri,name,popularity,valence,acousticness,energy,analysis_url
4opjWVKT2xmlkgn1ejStcY,Wolves,44,0.19,0.0852,0.647,https://api.spotify.com/v1/audio-analysis/4opjWVKT2xmlkgn1ejStcY
1u0l8zWpQeMYStFkc2mLD7,Everywhere,65,0.476,0.0136,0.828,https://api.spotify.com/v1/audio-analysis/1u0l8zWpQeMYStFkc2mLD7
6ZimCGmTrqKyUnidBoLG13,Fast Car (feat. Kina Grannis),0,0.496,0.807,0.25,https://api.spotify.com/v1/audio-analysis/6ZimCGmTrqKyUnidBoLG13
1chTrqszWQEOP4RsNuOZf7,Il barbiere di Siviglia: Overture (Sinfonia),50,0.285,0.906,0.14,https://api.spotify.com/v1/audio-analysis/1chTrqszWQEOP4RsNuOZf7
2e8MxBgVWMSQmxb2zcuCoq,"Die Walkure, Act III: Ride of the Valkyries",51,0.0965,0.929,0.219,https://api.spotify.com/v1/audio-analysis/2e8MxBgVWMSQmxb2zcuCoq
41ujv4mhxlqR8nlnieDpDp,La traviata / Act I: Libiamo ne'lieti calici,56,0.282,0.962,0.214,https://api.spotify.com/v1/audio-analysis/41ujv4mhxlqR8nlnieDpDp
22OgVK70DgsjbxuBrV5bYo,"Les Contes d'Hoffmann / Act 2: ""Les oiseaux dans la charmille""",20,0.142,0.935,0.0545,https://api.spotify.com/v1/audio-analysis/22OgVK70DgsjbxuBrV5bYo
0DHIkKybRhYScZkGQU8XTL,O Fortuna from Carmina Burana - Vocal,0,0.585,0.723,0.264,https://api.spotify.com/v1/audio-analysis/0DHIkKybRhYScZkGQU8XTL
6LVohr4fZrk9iAYgZhEnVF,All The Girls,0,0.53,0.00173,0.885,https://api.spotify.com/v1/audio-analysis/6LVohr4fZrk9iAYgZhEnVF
6t4VHEcJ7Kek9pgGHlDp6R,Push To Start (feat. No/Me),57,0.67,0.00951,0.988,https://api.spotify.com/v1/audio-analysis/6t4VHEcJ7Kek9pgGHlDp6R
1EXDjOpV3Lbiv8CzJ7caHs,Take Me Away,64,0.719,0.000274,0.982,https://api.spotify.com/v1/audio-analysis/1EXDjOpV3Lbiv8CzJ7caHs
