track_uri,name,popularity,valence,acousticness,energy,analysis_url
07jd1t8gNBj1AvaemHNF19,Carried Away,0,0.204,0.115,0.457,https://api.spotify.com/v1/audio-analysis/07jd1t8gNBj1AvaemHNF19
2GVgFYpU8TQMIL5NKn28fu,Clock Town,31,0.0699,0.336,0.466,https://api.spotify.com/v1/audio-analysis/2GVgFYpU8TQMIL5NKn28fu
60TmG8cFPMBo7kTTFOLiAB,Electricity - Remastered 2003,55,0.534,0.00732,0.909,https://api.spotify.com/v1/audio-analysis/60TmG8cFPMBo7kTTFOLiAB
3NYCaxkggl0Hh8vQptSUvV,Enola Gay - Remastered 2003,67,0.932,0.00441,0.764,https://api.spotify.com/v1/audio-analysis/3NYCaxkggl0Hh8vQptSUvV
05oFyvdztPdpwSwpoclD4c,"If You Leave - From ""Pretty In Pink""",57,0.892,0.088,0.684,https://api.spotify.com/v1/audio-analysis/05oFyvdztPdpwSwpoclD4c
0WnVjkW8k8Zo37JAI7K8zF,Secret,54,0.904,0.276,0.651,https://api.spotify.com/v1/audio-analysis/0WnVjkW8k8Zo37JAI7K8zF
1D2QnxvMOac95EG9C0KbsJ,So In Love,55,0.962,0.0863,0.805,https://api.spotify.com/v1/audio-analysis/1D2QnxvMOac95EG9C0KbsJ
4TgtcH6P25PBYU4y0WfGZE,Messages - Single Version / Remastered 2003,47,0.8,0.0149,0.868,https://api.spotify.com/v1/audio-analysis/4TgtcH6P25PBYU4y0WfGZE
2ZV4SBXaW51Xxz7UFNmcBd,160 BPM,36,0.171,0.444,0.523,https://api.spotify.com/v1/audio-analysis/2ZV4SBXaW51Xxz7UFNmcBd
0E0xI4AgMNU7UkwBt3FCVN,A Thousand Years,57,0.156,0.989,0.217,https://api.spotify.com/v1/audio-analysis/0E0xI4AgMNU7UkwBt3FCVN
6Br4baYuVyuNOmQRhuMqFI,All of Me,35,0.35,0.618,0.475,https://api.spotify.com/v1/audio-analysis/6Br4baYuVyuNOmQRhuMqFI
2u9VGZmVz7Rm01SfDgzcfA,"Liebestraum No. 3 in A-Flat Major, S. 541 / 3",61,0.0338,0.987,0.0292,https://api.spotify.com/v1/audio-analysis/2u9VGZmVz7Rm01SfDgzcfA
2fuiA0FQANMrcr2jXMc0nP,Wildest Dreams,62,0.311,0.51,0.275,https://api.spotify.com/v1/audio-analysis/2fuiA0FQANMrcr2jXMc0nP
3IoqMnXkCRPWcEGr0C5S9e,Sweet Dream are Made of This,43,0.448,0.793,0.265,https://api.spotify.com/v1/audio-analysis/3IoqMnXkCRPWcEGr0C5S9e
5A51C7Ank2IRW0TmhYkeoK,Chandelier,49,0.311,0.526,0.388,https://api.spotify.com/v1/audio-analysis/5A51C7Ank2IRW0TmhYkeoK
5A51C7Ank2IRW0TmhYkeoK,Chandelier,49,0.311,0.526,0.388,https://api.spotify.com/v1/audio-analysis/5A51C7Ank2IRW0TmhYkeoK
5lZKq1z5jpVu7ha6zklvXS,Shake It Off (Originally Performed by Taylor Swift),44,0.095,0.953,0.294,https://api.spotify.com/v1/audio-analysis/5lZKq1z5jpVu7ha6zklvXS
5Y2g2734P6TcuJJmDwz9QO,Firework,46,0.591,0.826,0.551,https://api.spotify.com/v1/audio-analysis/5Y2g2734P6TcuJJmDwz9QO
6WbiLUdYqdtaRVskHDFLdp,Thaïs: Méditation,45,0.0397,0.643,0.0371,https://api.spotify.com/v1/audio-analysis/6WbiLUdYqdtaRVskHDFLdp
6StjE2hce01PzynfEkfKvo,"Pavane pour une infante défunte, M. 19",43,0.102,0.995,0.00553,https://api.spotify.com/v1/audio-analysis/6StjE2hce01PzynfEkfKvo
6BdrHOEmokkSxTyxCojD6r,"Serenade, D. 957, No. 4",55,0.039,0.948,0.0355,https://api.spotify.com/v1/audio-analysis/6BdrHOEmokkSxTyxCojD6r
5UUNrbwbYIkNshq22NNKrX,String Quartet No. 1 'Kreutzer Sonata': String Quartet No. 1 'Kreutzer Sonata': I. Adagio. Con moto,41,0.074,0.931,0.101,https://api.spotify.com/v1/audio-analysis/5UUNrbwbYIkNshq22NNKrX
3P8uOSqzIG5Jjny7UBTOT5,Total Eclipse of the Heart,24,0.0753,0.805,0.203,https://api.spotify.com/v1/audio-analysis/3P8uOSqzIG5Jjny7UBTOT5
3P8uOSqzIG5Jjny7UBTOT5,Total Eclipse of the Heart,24,0.0753,0.805,0.203,https://api.spotify.com/v1/audio-analysis/3P8uOSqzIG5Jjny7UBTOT5
5ON8Y6sU4oWvmvjzlXAYQW,Born In The USA / Dancing In The Dark,15,0.503,0.279,0.371,https://api.spotify.com/v1/audio-analysis/5ON8Y6sU4oWvmvjzlXAYQW
5h20bbhzHr30wfi1a5Uy5M,Stairway to Heaven (feat. The Royal Choral Society),15,0.107,0.811,0.19,https://api.spotify.com/v1/audio-analysis/5h20bbhzHr30wfi1a5Uy5M
