track_uri,name,popularity,valence,acousticness,energy,analysis_url
5HQEmiV2lKnSO6qa2fsR7x,I'm Not In Love,68,0.164,0.685,0.523,https://api.spotify.com/v1/audio-analysis/5HQEmiV2lKnSO6qa2fsR7x
6cZH4rX1KTt1aJ3Ql6Ynja,Me and My Guitar,71,0.68,0.473,0.587,https://api.spotify.com/v1/audio-analysis/6cZH4rX1KTt1aJ3Ql6Ynja
2U5WueTLIK5WJLD7mvDODv,Wishing Well,78,0.0804,0.00336,0.613,https://api.spotify.com/v1/audio-analysis/2U5WueTLIK5WJLD7mvDODv
2U5WueTLIK5WJLD7mvDODv,Wishing Well,78,0.0804,0.00336,0.613,https://api.spotify.com/v1/audio-analysis/2U5WueTLIK5WJLD7mvDODv
1xzBco0xcoJEDXktl7Jxrr,Mo Bamba,78,0.261,0.194,0.625,https://api.spotify.com/v1/audio-analysis/1xzBco0xcoJEDXktl7Jxrr
4uu7gKd1PffC7QEMcMk0Ro,One Take,66,0.351,0.072,0.615,https://api.spotify.com/v1/audio-analysis/4uu7gKd1PffC7QEMcMk0Ro
0RLLvYBopDwooCyvnTwgYu,F.N,76,0.321,0.354,0.515,https://api.spotify.com/v1/audio-analysis/0RLLvYBopDwooCyvnTwgYu
6uFn47ACjqYkc0jADwEdj1,Pop Out (feat. Lil Tjay),76,0.261,0.15,0.639,https://api.spotify.com/v1/audio-analysis/6uFn47ACjqYkc0jADwEdj1
6piAUJJQFD8oHDUr0b7l7q,VALENTINO,69,0.523,0.199,0.717,https://api.spotify.com/v1/audio-analysis/6piAUJJQFD8oHDUr0b7l7q
6Gg1gjgKi2AK4e0qzsR7sd,Bandit (with YoungBoy Never Broke Again),72,0.425,0.0687,0.631,https://api.spotify.com/v1/audio-analysis/6Gg1gjgKi2AK4e0qzsR7sd
3oDkdAySo1VQQG0ptV7uwa,Lean Wit Me,78,0.237,0.0414,0.651,https://api.spotify.com/v1/audio-analysis/3oDkdAySo1VQQG0ptV7uwa
5wujBwqG7INdStqGd4tRMX,Armed And Dangerous,76,0.845,0.186,0.67,https://api.spotify.com/v1/audio-analysis/5wujBwqG7INdStqGd4tRMX
1ZAyjvIk9YiD76yYy0TEG6,Plug Walk,69,0.158,0.202,0.519,https://api.spotify.com/v1/audio-analysis/1ZAyjvIk9YiD76yYy0TEG6
18vXApRmJSgQ6wG2ll9AOg,RAPSTAR,80,0.437,0.41,0.536,https://api.spotify.com/v1/audio-analysis/18vXApRmJSgQ6wG2ll9AOg
4eNOLmx8r2IJAVKvBBL1jv,Headshot (feat. Polo G & Fivio Foreign),73,0.395,0.0802,0.639,https://api.spotify.com/v1/audio-analysis/4eNOLmx8r2IJAVKvBBL1jv
40j4RoqmLiivqzRObbQ4BF,I Know,72,0.557,0.0919,0.665,https://api.spotify.com/v1/audio-analysis/40j4RoqmLiivqzRObbQ4BF
5FZxsHWIvUsmSK1IAvm2pp,Best of You,74,0.369,0.000769,0.94,https://api.spotify.com/v1/audio-analysis/5FZxsHWIvUsmSK1IAvm2pp
4XoP1AkbOurU9CeZ2rMEz2,"F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar)",0,0.668,0.0208,0.687,https://api.spotify.com/v1/audio-analysis/4XoP1AkbOurU9CeZ2rMEz2
7xVLFuuYdAvcTfcP3IG3dS,"Work REMIX (feat. A$AP Rocky, French Montana, Trinidad James & ScHoolboy Q)",68,0.284,0.0246,0.733,https://api.spotify.com/v1/audio-analysis/7xVLFuuYdAvcTfcP3IG3dS
6gBFPUFcJLzWGx4lenP6h2,goosebumps,83,0.43,0.0847,0.728,https://api.spotify.com/v1/audio-analysis/6gBFPUFcJLzWGx4lenP6h2
3LnOF5n1GOs01siYZXzS3p,Drowning (feat. Kodak Black),64,0.814,0.501,0.81,https://api.spotify.com/v1/audio-analysis/3LnOF5n1GOs01siYZXzS3p
6HZILIRieu8S0iqY8kIKhj,DNA.,79,0.422,0.00454,0.523,https://api.spotify.com/v1/audio-analysis/6HZILIRieu8S0iqY8kIKhj
4B2kkxg3wKSTZw5JPaUtzQ,On & On,2,0.418,0.285,0.696,https://api.spotify.com/v1/audio-analysis/4B2kkxg3wKSTZw5JPaUtzQ
0y9TOfsQ9wANedFV3Us5Wa,MATAFAKA,0,0.37,0.00861,0.89,https://api.spotify.com/v1/audio-analysis/0y9TOfsQ9wANedFV3Us5Wa
7EYv3adMrIC5mqurz7fHhD,Superhero,1,0.223,0.028,0.937,https://api.spotify.com/v1/audio-analysis/7EYv3adMrIC5mqurz7fHhD
4zsxBgPkUFYEoOGDncGIBd,C U Again,0,0.135,0.0228,0.863,https://api.spotify.com/v1/audio-analysis/4zsxBgPkUFYEoOGDncGIBd
6KigD0mlF4VGDYiSEzAyYw,Fight Back,72,0.587,0.094,0.946,https://api.spotify.com/v1/audio-analysis/6KigD0mlF4VGDYiSEzAyYw
3q8ms2oRMFsyxUYYKDiXIP,GOSHA,0,0.5,0.814,0.462,https://api.spotify.com/v1/audio-analysis/3q8ms2oRMFsyxUYYKDiXIP
3RiPr603aXAoi4GHyXx0uy,Hymn for the Weekend,82,0.412,0.211,0.693,https://api.spotify.com/v1/audio-analysis/3RiPr603aXAoi4GHyXx0uy
4DHRbvvQyC3mBa3Y0JNl4n,Make Me Move,0,0.356,0.211,0.65,https://api.spotify.com/v1/audio-analysis/4DHRbvvQyC3mBa3Y0JNl4n
0u4htORODiTK9vHVA89MQX,Lovefool - Radio Edit,61,0.951,0.0646,0.602,https://api.spotify.com/v1/audio-analysis/0u4htORODiTK9vHVA89MQX
6ho0GyrWZN3mhi9zVRW7xi,Losing It,72,0.643,0.00181,0.964,https://api.spotify.com/v1/audio-analysis/6ho0GyrWZN3mhi9zVRW7xi
7lQ8MOhq6IN2w8EYcFNSUk,Without Me,87,0.662,0.00286,0.669,https://api.spotify.com/v1/audio-analysis/7lQ8MOhq6IN2w8EYcFNSUk
7GX5flRQZVHRAGd6B4TmDO,XO Tour Llif3,81,0.401,0.00264,0.75,https://api.spotify.com/v1/audio-analysis/7GX5flRQZVHRAGd6B4TmDO
527k23H0A4Q0UJN3vGs0Da,After Party,77,0.453,0.00981,0.692,https://api.spotify.com/v1/audio-analysis/527k23H0A4Q0UJN3vGs0Da
2t8yVaLvJ0RenpXUIAC52d,a lot,80,0.274,0.0395,0.636,https://api.spotify.com/v1/audio-analysis/2t8yVaLvJ0RenpXUIAC52d
1C8ux1YWLMHCenYJFiIV4Z,PTSD,71,0.806,0.0313,0.808,https://api.spotify.com/v1/audio-analysis/1C8ux1YWLMHCenYJFiIV4Z
25zlnOAzbVoOzIeXSvQFf1,Got It On Me,75,0.195,0.00815,0.647,https://api.spotify.com/v1/audio-analysis/25zlnOAzbVoOzIeXSvQFf1
2JvzF1RMd7lE3KmFlsyZD8,MIDDLE CHILD,81,0.463,0.149,0.364,https://api.spotify.com/v1/audio-analysis/2JvzF1RMd7lE3KmFlsyZD8
3eekarcy7kvN4yt5ZFzltW,HIGHEST IN THE ROOM,81,0.0605,0.0546,0.427,https://api.spotify.com/v1/audio-analysis/3eekarcy7kvN4yt5ZFzltW
5PHCSm8zblG7sgJOsItdpT,POPSTAR,1,0.489,0.0462,0.857,https://api.spotify.com/v1/audio-analysis/5PHCSm8zblG7sgJOsItdpT
0N3W5peJUQtI4eyR6GJT5O,King Kunta,74,0.489,0.00589,0.657,https://api.spotify.com/v1/audio-analysis/0N3W5peJUQtI4eyR6GJT5O
6PGoSes0D9eUDeeAafB2As,LOVE. FEAT. ZACARI.,82,0.779,0.264,0.585,https://api.spotify.com/v1/audio-analysis/6PGoSes0D9eUDeeAafB2As
70eDxAyAraNTiD6lx2ZEnH,Ex's & Oh's,72,0.446,0.0183,0.921,https://api.spotify.com/v1/audio-analysis/70eDxAyAraNTiD6lx2ZEnH
2DQ1ITjI0YoLFzuADN1ZBW,No Limit,69,0.405,0.0117,0.771,https://api.spotify.com/v1/audio-analysis/2DQ1ITjI0YoLFzuADN1ZBW
03EuhmMsEHVFI9ytainStU,I Can't Stop,54,0.205,0.000672,0.775,https://api.spotify.com/v1/audio-analysis/03EuhmMsEHVFI9ytainStU
3tjFYV6RSFtuktYl3ZtYcq,Mood (feat. iann dior),17,0.756,0.221,0.722,https://api.spotify.com/v1/audio-analysis/3tjFYV6RSFtuktYl3ZtYcq
