track_uri,name,popularity,valence,acousticness,energy,analysis_url
0sNKiz82ATCvT3f3XVVUUj,Why Don't You Get A Job,72,0.544,0.0674,0.882,https://api.spotify.com/v1/audio-analysis/0sNKiz82ATCvT3f3XVVUUj
0sNKiz82ATCvT3f3XVVUUj,Why Don't You Get A Job,72,0.544,0.0674,0.882,https://api.spotify.com/v1/audio-analysis/0sNKiz82ATCvT3f3XVVUUj
0sNKiz82ATCvT3f3XVVUUj,Why Don't You Get A Job,72,0.544,0.0674,0.882,https://api.spotify.com/v1/audio-analysis/0sNKiz82ATCvT3f3XVVUUj
3rEwGRmPVVudVjqdgv0tRR,If It Means A Lot To You,67,0.441,0.112,0.536,https://api.spotify.com/v1/audio-analysis/3rEwGRmPVVudVjqdgv0tRR
11sGMdEqalkocgfOKFfQdI,Dirty Water,30,0.778,0.0321,0.721,https://api.spotify.com/v1/audio-analysis/11sGMdEqalkocgfOKFfQdI
2wcDfk3TfQg3Jv8gEoTim7,I Just Wanna Live,48,0.9,0.0148,0.832,https://api.spotify.com/v1/audio-analysis/2wcDfk3TfQg3Jv8gEoTim7
6yVSp9H2STyLeOs7pjy2w4,Hands Down,62,0.26,0.013,0.827,https://api.spotify.com/v1/audio-analysis/6yVSp9H2STyLeOs7pjy2w4
1DKyFVzIh1oa1fFnEmTkIl,Gloria (feat. Van Morrison) - Stereo Version,62,0.722,0.397,0.703,https://api.spotify.com/v1/audio-analysis/1DKyFVzIh1oa1fFnEmTkIl
2uXkW8uJcOIhlbUatEPLPs,Have Love Will Travel,56,0.934,0.727,0.948,https://api.spotify.com/v1/audio-analysis/2uXkW8uJcOIhlbUatEPLPs
5E5HYgxGMp3BPakHGfKfIB,Roadrunner,53,0.804,4.98e-05,0.84,https://api.spotify.com/v1/audio-analysis/5E5HYgxGMp3BPakHGfKfIB
4AHU8QRdwCUWxPC53cw4Hh,Whole Wide World,47,0.882,0.561,0.54,https://api.spotify.com/v1/audio-analysis/4AHU8QRdwCUWxPC53cw4Hh
5BdbpAak9RUhjwT8fwciZe,On A Turntable,52,0.877,0.123,0.963,https://api.spotify.com/v1/audio-analysis/5BdbpAak9RUhjwT8fwciZe
4fRmFVMd0c1SGfzazBJIM8,True Believers,54,0.475,0.000296,0.981,https://api.spotify.com/v1/audio-analysis/4fRmFVMd0c1SGfzazBJIM8
4fRmFVMd0c1SGfzazBJIM8,True Believers,54,0.475,0.000296,0.981,https://api.spotify.com/v1/audio-analysis/4fRmFVMd0c1SGfzazBJIM8
60FJeNTK5edr72G2xtCWuP,She's Kerosene,58,0.899,0.043,0.936,https://api.spotify.com/v1/audio-analysis/60FJeNTK5edr72G2xtCWuP
60FJeNTK5edr72G2xtCWuP,She's Kerosene,58,0.899,0.043,0.936,https://api.spotify.com/v1/audio-analysis/60FJeNTK5edr72G2xtCWuP
60FJeNTK5edr72G2xtCWuP,She's Kerosene,58,0.899,0.043,0.936,https://api.spotify.com/v1/audio-analysis/60FJeNTK5edr72G2xtCWuP
10UlU5E5RfydywnKmA1nFL,Chip,59,0.892,0.00294,0.887,https://api.spotify.com/v1/audio-analysis/10UlU5E5RfydywnKmA1nFL
10UlU5E5RfydywnKmA1nFL,Chip,59,0.892,0.00294,0.887,https://api.spotify.com/v1/audio-analysis/10UlU5E5RfydywnKmA1nFL
10UlU5E5RfydywnKmA1nFL,Chip,59,0.892,0.00294,0.887,https://api.spotify.com/v1/audio-analysis/10UlU5E5RfydywnKmA1nFL
10UlU5E5RfydywnKmA1nFL,Chip,59,0.892,0.00294,0.887,https://api.spotify.com/v1/audio-analysis/10UlU5E5RfydywnKmA1nFL
0iM1Ioz4N4p7MU1DKyqsov,Bad Guy,54,0.796,0.00983,0.814,https://api.spotify.com/v1/audio-analysis/0iM1Ioz4N4p7MU1DKyqsov
2DBlfjL5chsdeULzhTp5K8,Waiting Room,63,0.545,0.00473,0.716,https://api.spotify.com/v1/audio-analysis/2DBlfjL5chsdeULzhTp5K8
2DBlfjL5chsdeULzhTp5K8,Waiting Room,63,0.545,0.00473,0.716,https://api.spotify.com/v1/audio-analysis/2DBlfjL5chsdeULzhTp5K8
2DBlfjL5chsdeULzhTp5K8,Waiting Room,63,0.545,0.00473,0.716,https://api.spotify.com/v1/audio-analysis/2DBlfjL5chsdeULzhTp5K8
3oyc1mIdCBGaU55wX7otqM,Pump It Up - 2021 Remaster,59,0.966,0.00921,0.809,https://api.spotify.com/v1/audio-analysis/3oyc1mIdCBGaU55wX7otqM
3oyc1mIdCBGaU55wX7otqM,Pump It Up - 2021 Remaster,59,0.966,0.00921,0.809,https://api.spotify.com/v1/audio-analysis/3oyc1mIdCBGaU55wX7otqM
6EZDbjz2X5XzgIZCtbsrXh,The Passenger,59,0.294,0.0309,0.93,https://api.spotify.com/v1/audio-analysis/6EZDbjz2X5XzgIZCtbsrXh
672N8DGGTOLCOgWe0koX5g,I Wanna Be Your Dog,57,0.107,0.0229,0.871,https://api.spotify.com/v1/audio-analysis/672N8DGGTOLCOgWe0koX5g
672N8DGGTOLCOgWe0koX5g,I Wanna Be Your Dog,57,0.107,0.0229,0.871,https://api.spotify.com/v1/audio-analysis/672N8DGGTOLCOgWe0koX5g
1XT5kxg6Tk0ukCO2vBQN4v,Making Plans For Nigel,57,0.773,0.0143,0.893,https://api.spotify.com/v1/audio-analysis/1XT5kxg6Tk0ukCO2vBQN4v
0ElRzK07sc9eszyk1ea9Ab,Human Fly,59,0.305,0.0389,0.849,https://api.spotify.com/v1/audio-analysis/0ElRzK07sc9eszyk1ea9Ab
0ElRzK07sc9eszyk1ea9Ab,Human Fly,59,0.305,0.0389,0.849,https://api.spotify.com/v1/audio-analysis/0ElRzK07sc9eszyk1ea9Ab
0ElRzK07sc9eszyk1ea9Ab,Human Fly,59,0.305,0.0389,0.849,https://api.spotify.com/v1/audio-analysis/0ElRzK07sc9eszyk1ea9Ab
21T9lWigjSIMg9uD6ZfRnQ,Eighties - 2007 Digital Remaster,55,0.352,0.000735,0.964,https://api.spotify.com/v1/audio-analysis/21T9lWigjSIMg9uD6ZfRnQ
2yE3bwbhqypdsuhmv48Svn,Alternative Ulster,54,0.24,0.0148,0.971,https://api.spotify.com/v1/audio-analysis/2yE3bwbhqypdsuhmv48Svn
2yE3bwbhqypdsuhmv48Svn,Alternative Ulster,54,0.24,0.0148,0.971,https://api.spotify.com/v1/audio-analysis/2yE3bwbhqypdsuhmv48Svn
2yE3bwbhqypdsuhmv48Svn,Alternative Ulster,54,0.24,0.0148,0.971,https://api.spotify.com/v1/audio-analysis/2yE3bwbhqypdsuhmv48Svn
5bxBosfOC3upyOK9tjxZ35,Hong Kong Garden,55,0.708,0.000642,0.721,https://api.spotify.com/v1/audio-analysis/5bxBosfOC3upyOK9tjxZ35
3LoDeIbiR12sAznmpNEmKA,Anarchy in the U.K.,53,0.168,0.0422,0.978,https://api.spotify.com/v1/audio-analysis/3LoDeIbiR12sAznmpNEmKA
3LoDeIbiR12sAznmpNEmKA,Anarchy in the U.K.,53,0.168,0.0422,0.978,https://api.spotify.com/v1/audio-analysis/3LoDeIbiR12sAznmpNEmKA
3LoDeIbiR12sAznmpNEmKA,Anarchy in the U.K.,53,0.168,0.0422,0.978,https://api.spotify.com/v1/audio-analysis/3LoDeIbiR12sAznmpNEmKA
7ATyLePQnHxFk5kzxWCcsh,Teenage Kicks,49,0.564,0.0011,0.782,https://api.spotify.com/v1/audio-analysis/7ATyLePQnHxFk5kzxWCcsh
61MZN0yyMWSEwrLPUUGfgJ,Sheena Is a Punk Rocker - 2017 Remaster,59,0.846,0.0981,0.965,https://api.spotify.com/v1/audio-analysis/61MZN0yyMWSEwrLPUUGfgJ
7bx4zW72qdZKBb8p6g80jb,Ça Plane Pour Moi,51,0.88,0.176,0.788,https://api.spotify.com/v1/audio-analysis/7bx4zW72qdZKBb8p6g80jb
7sPEGLqEhyHDLGrz4EeLm2,Cool For Cats,53,0.968,0.202,0.747,https://api.spotify.com/v1/audio-analysis/7sPEGLqEhyHDLGrz4EeLm2
5eKQ424akKiDjpSveU7I2Y,New Rose,42,0.265,0.00466,0.969,https://api.spotify.com/v1/audio-analysis/5eKQ424akKiDjpSveU7I2Y
5eKQ424akKiDjpSveU7I2Y,New Rose,42,0.265,0.00466,0.969,https://api.spotify.com/v1/audio-analysis/5eKQ424akKiDjpSveU7I2Y
5eKQ424akKiDjpSveU7I2Y,New Rose,42,0.265,0.00466,0.969,https://api.spotify.com/v1/audio-analysis/5eKQ424akKiDjpSveU7I2Y
0DPdnWavHdhB5hJ6O0qS6d,Sex & Drugs & Rock & Roll,48,0.9,0.533,0.716,https://api.spotify.com/v1/audio-analysis/0DPdnWavHdhB5hJ6O0qS6d
73HSIWZlSCfs4tqVkrGv7H,Silver Machine - Live at the Roundhouse London; 1996 Remaster,41,0.096,0.000416,0.874,https://api.spotify.com/v1/audio-analysis/73HSIWZlSCfs4tqVkrGv7H
4AwKXevZmsTNa3KZVj3rzl,Personality Crisis,51,0.685,0.0321,0.914,https://api.spotify.com/v1/audio-analysis/4AwKXevZmsTNa3KZVj3rzl
4AwKXevZmsTNa3KZVj3rzl,Personality Crisis,51,0.685,0.0321,0.914,https://api.spotify.com/v1/audio-analysis/4AwKXevZmsTNa3KZVj3rzl
4AwKXevZmsTNa3KZVj3rzl,Personality Crisis,51,0.685,0.0321,0.914,https://api.spotify.com/v1/audio-analysis/4AwKXevZmsTNa3KZVj3rzl
6RTh5BDes7y6KwC0rxW8WG,The Sound Of The Suburbs,35,0.597,0.032,0.747,https://api.spotify.com/v1/audio-analysis/6RTh5BDes7y6KwC0rxW8WG
0WghYc6JU0HbCvsgGlyqId,Back Of My Hand,33,0.966,0.0922,0.83,https://api.spotify.com/v1/audio-analysis/0WghYc6JU0HbCvsgGlyqId
40N9Zf8HGajGhzthuI3BaM,Gary Gilmore's Eyes,36,0.782,0.035,0.598,https://api.spotify.com/v1/audio-analysis/40N9Zf8HGajGhzthuI3BaM
1wP1qnWy0cZWxnbWkzf9La,Free Money,43,0.452,0.0585,0.718,https://api.spotify.com/v1/audio-analysis/1wP1qnWy0cZWxnbWkzf9La
5OGfBbWmRRkDiZiJbu5WIr,Blank Generation - 2013 Remaster,48,0.546,0.275,0.904,https://api.spotify.com/v1/audio-analysis/5OGfBbWmRRkDiZiJbu5WIr
5OGfBbWmRRkDiZiJbu5WIr,Blank Generation - 2013 Remaster,48,0.546,0.275,0.904,https://api.spotify.com/v1/audio-analysis/5OGfBbWmRRkDiZiJbu5WIr
6EXOSA4BWBM1AUsXxKwYDT,Send Me A Postcard,52,0.667,0.0017,0.81,https://api.spotify.com/v1/audio-analysis/6EXOSA4BWBM1AUsXxKwYDT
25wihqbcZQksW4o8G35acQ,"Liar, Liar",40,0.804,0.828,0.483,https://api.spotify.com/v1/audio-analysis/25wihqbcZQksW4o8G35acQ
4B3gkbr7aGC2sujjgivK0s,I Can't Explain - Mono Version,52,0.856,0.0474,0.688,https://api.spotify.com/v1/audio-analysis/4B3gkbr7aGC2sujjgivK0s
1oXq63OUf43LDnNPVtfvX8,I'm A Man,45,0.678,0.159,0.859,https://api.spotify.com/v1/audio-analysis/1oXq63OUf43LDnNPVtfvX8
5YgCmkSdGukXqK3fJlX4pQ,I Had Too Much to Dream (Last Night),47,0.419,0.354,0.554,https://api.spotify.com/v1/audio-analysis/5YgCmkSdGukXqK3fJlX4pQ
15g66KeELSbN00rFTweCj8,I'm Five Years Ahead of My Time,29,0.562,0.0493,0.79,https://api.spotify.com/v1/audio-analysis/15g66KeELSbN00rFTweCj8
4Sb3TdqgOi35RoL78Y1LtC,Complication,32,0.613,0.484,0.731,https://api.spotify.com/v1/audio-analysis/4Sb3TdqgOi35RoL78Y1LtC
5mSZLysuAtdNA21mbOm0sx,Kick Out The Jams (Original Uncensored Version),42,0.625,0.0606,0.811,https://api.spotify.com/v1/audio-analysis/5mSZLysuAtdNA21mbOm0sx
6qpLrHNWL51KQCytTh5Zfq,Bad Intentions,45,0.611,0.000108,0.796,https://api.spotify.com/v1/audio-analysis/6qpLrHNWL51KQCytTh5Zfq
