track_uri,name,popularity,valence,acousticness,energy,analysis_url
1ugQtcwmKOXvKAYzhjncmv,Half A Man,76,0.343,0.855,0.204,https://api.spotify.com/v1/audio-analysis/1ugQtcwmKOXvKAYzhjncmv
12OLyHDxt6dqlAybSPFBK3,Forever,75,0.364,0.873,0.355,https://api.spotify.com/v1/audio-analysis/12OLyHDxt6dqlAybSPFBK3
2CsjpNrIV7BpkgSW2GncpS,"Nocturne in B-Flat Minor, Op. 9, No. 1",0,0.0538,0.99,0.0124,https://api.spotify.com/v1/audio-analysis/2CsjpNrIV7BpkgSW2GncpS
0hIr784kGfRf5EVFGP1dFi,"Concerto for Two Violins in D Minor, BWV 1043: II. Largo ma non tanto",47,0.145,0.78,0.151,https://api.spotify.com/v1/audio-analysis/0hIr784kGfRf5EVFGP1dFi
6Qyc6fS4DsZjB2mRW9DsQs,Iris,82,0.497,0.00125,0.715,https://api.spotify.com/v1/audio-analysis/6Qyc6fS4DsZjB2mRW9DsQs
4q8f3Ls32PcXE8Ks4V1ufx,"Chopin: 24 Preludes, Op. 28: No. 15 in D-Flat Major ""Raindrop""",50,0.0804,0.995,0.00293,https://api.spotify.com/v1/audio-analysis/4q8f3Ls32PcXE8Ks4V1ufx
1bW9h3vWoJVXyZK7em3noV,"Piano Sonata No. 8 in A Minor, K. 310: II. Andante cantabile con espressione",50,0.155,0.992,0.0455,https://api.spotify.com/v1/audio-analysis/1bW9h3vWoJVXyZK7em3noV
7cuNUdSbrrFIiqejH4tbsI,Time after Time,52,0.287,0.942,0.158,https://api.spotify.com/v1/audio-analysis/7cuNUdSbrrFIiqejH4tbsI
5k5nFDMGaG5EZIsGJTqYcL,She's Always a Woman (Instrumental),43,0.744,0.954,0.187,https://api.spotify.com/v1/audio-analysis/5k5nFDMGaG5EZIsGJTqYcL
31eJBMnqWEXV3V1YyjP8RT,Serenity,63,0.0507,0.953,0.00318,https://api.spotify.com/v1/audio-analysis/31eJBMnqWEXV3V1YyjP8RT
2iU9lxQ5XbDn1TVYVl2ciQ,Positive Reaction,62,0.105,0.982,0.00171,https://api.spotify.com/v1/audio-analysis/2iU9lxQ5XbDn1TVYVl2ciQ
7EZKkc9CWvBoB52E2g2rFP,Hiemal,68,0.0391,0.965,0.0187,https://api.spotify.com/v1/audio-analysis/7EZKkc9CWvBoB52E2g2rFP
4WBSK6p3BjyUJQ0hmyKdQM,Lagoom,63,0.0528,0.989,0.00625,https://api.spotify.com/v1/audio-analysis/4WBSK6p3BjyUJQ0hmyKdQM
0midUtkfJN36sYHv3eVWYj,Explorer,63,0.0339,0.886,0.00189,https://api.spotify.com/v1/audio-analysis/0midUtkfJN36sYHv3eVWYj
7mZASnos1MVmNVLHHg7nPJ,Brillo En El Mar,66,0.0427,0.995,0.0215,https://api.spotify.com/v1/audio-analysis/7mZASnos1MVmNVLHHg7nPJ
15SJMsBLp7GR8FH9WvamuG,Mellow,63,0.0871,0.945,0.00543,https://api.spotify.com/v1/audio-analysis/15SJMsBLp7GR8FH9WvamuG
1pAKUFLp8gtOrAAPwkFYJ0,Stilhed,62,0.0364,0.989,0.00404,https://api.spotify.com/v1/audio-analysis/1pAKUFLp8gtOrAAPwkFYJ0
3MaXtZwpMHhbLqWUNdTy3M,Morph,57,0.108,0.995,0.00767,https://api.spotify.com/v1/audio-analysis/3MaXtZwpMHhbLqWUNdTy3M
555LtwRZ3fc00jnQSGOd0q,Serenity,54,0.0352,0.994,0.0123,https://api.spotify.com/v1/audio-analysis/555LtwRZ3fc00jnQSGOd0q
4fVgnrnaUs163eRqVEsh8D,Oändligheten,60,0.0306,0.915,0.0302,https://api.spotify.com/v1/audio-analysis/4fVgnrnaUs163eRqVEsh8D
5RA07TPFsjrAR9iDR0OiHC,Cloud Gazing,64,0.296,0.976,0.000263,https://api.spotify.com/v1/audio-analysis/5RA07TPFsjrAR9iDR0OiHC
1xbfnRa7qVtoLWqr0xDljM,Rymdresa,59,0.0322,0.891,0.0338,https://api.spotify.com/v1/audio-analysis/1xbfnRa7qVtoLWqr0xDljM
1Jn5Id1Yn99AGGZ4dHqloo,Atardecer,49,0.129,0.984,0.00175,https://api.spotify.com/v1/audio-analysis/1Jn5Id1Yn99AGGZ4dHqloo
2FjdJ4hXRC6rrKD1zNGHqZ,Insieme,62,0.034,0.949,0.0061,https://api.spotify.com/v1/audio-analysis/2FjdJ4hXRC6rrKD1zNGHqZ
1LRjbCFrOBUQ9L1Ot4xuIO,Nothing else mattered,51,0.0778,0.983,0.00867,https://api.spotify.com/v1/audio-analysis/1LRjbCFrOBUQ9L1Ot4xuIO
7GJkHBbDnQ0JxgWoRWrcT9,Calming Quality,65,0.0337,0.985,0.0011,https://api.spotify.com/v1/audio-analysis/7GJkHBbDnQ0JxgWoRWrcT9
57HE45Js8hYKiXsVDdDi7U,Troposphere,49,0.0392,0.886,0.00362,https://api.spotify.com/v1/audio-analysis/57HE45Js8hYKiXsVDdDi7U
5X3UiiOUn1REPps2Gq4Cv2,Anirual,57,0.197,0.993,0.00401,https://api.spotify.com/v1/audio-analysis/5X3UiiOUn1REPps2Gq4Cv2
0kuBMsyIEjgPEvxumcFUTV,Strewn Across,62,0.0966,0.84,0.0498,https://api.spotify.com/v1/audio-analysis/0kuBMsyIEjgPEvxumcFUTV
5B7jFzHOJsESyrj7gMpwEQ,Indiglow,57,0.0353,0.98,0.00302,https://api.spotify.com/v1/audio-analysis/5B7jFzHOJsESyrj7gMpwEQ
5fy41aUyrZd4sHSFbq2fJQ,Sleep Drone In C,61,0.0299,0.99,0.00535,https://api.spotify.com/v1/audio-analysis/5fy41aUyrZd4sHSFbq2fJQ
1WnP7YURgLOv4OC588Q5Jq,They can’t live,57,0.152,0.972,0.00167,https://api.spotify.com/v1/audio-analysis/1WnP7YURgLOv4OC588Q5Jq
3e1SIAaOU2ai7MGF77qxUi,Unwind,60,0.0413,0.993,0.0065,https://api.spotify.com/v1/audio-analysis/3e1SIAaOU2ai7MGF77qxUi
41Fp3VZmyloxKUUcWDUrH2,Repouso,63,0.0389,0.982,0.0126,https://api.spotify.com/v1/audio-analysis/41Fp3VZmyloxKUUcWDUrH2
0eZzQlr30pDYx9us8zfVx5,Serene Clarity,59,0.193,0.907,0.031,https://api.spotify.com/v1/audio-analysis/0eZzQlr30pDYx9us8zfVx5
2uUsM8gmp9HHToPcehe9Zl,Through The Self,59,0.1,0.237,0.0381,https://api.spotify.com/v1/audio-analysis/2uUsM8gmp9HHToPcehe9Zl
1hZwpsltD5RTHPhJTEz42U,Escapism,57,0.142,0.981,0.011,https://api.spotify.com/v1/audio-analysis/1hZwpsltD5RTHPhJTEz42U
4XJGAjvpgN5K84TsrUoTHp,A World At Rest,59,0.0859,0.981,0.00257,https://api.spotify.com/v1/audio-analysis/4XJGAjvpgN5K84TsrUoTHp
5EKGc8AhERWLmIAZgph4rT,Ich Wünsche,56,0.0314,0.973,0.0213,https://api.spotify.com/v1/audio-analysis/5EKGc8AhERWLmIAZgph4rT
5F820xSuKiMLpGOV04Xs3c,Fjord,71,0.0561,0.973,0.00185,https://api.spotify.com/v1/audio-analysis/5F820xSuKiMLpGOV04Xs3c
4vwpjrRemuLveDgtNqy5LP,Breathless,65,0.0823,0.934,0.00278,https://api.spotify.com/v1/audio-analysis/4vwpjrRemuLveDgtNqy5LP
5S3LrxbIBSqhf3tEGjNa8l,Becalming,56,0.0849,0.983,0.0171,https://api.spotify.com/v1/audio-analysis/5S3LrxbIBSqhf3tEGjNa8l
4H7cke51KBunS0nfrjtu7Q,Warm Embrace,57,0.0378,0.976,0.0121,https://api.spotify.com/v1/audio-analysis/4H7cke51KBunS0nfrjtu7Q
6rMM5c330kAz3wKRmH4IRn,Hills,58,0.0374,0.915,0.0246,https://api.spotify.com/v1/audio-analysis/6rMM5c330kAz3wKRmH4IRn
4kVJriKGhf4s47EnbfIloH,Southward Bound (432 Hz),58,0.0721,0.994,0.0374,https://api.spotify.com/v1/audio-analysis/4kVJriKGhf4s47EnbfIloH
4dXeSoH8k8iq8uQz2ZZZSK,Peaceful Dreams,61,0.0326,0.768,0.00312,https://api.spotify.com/v1/audio-analysis/4dXeSoH8k8iq8uQz2ZZZSK
13mpwlabsVcm39rZTaHDjq,Never Say Ever,57,0.0294,0.971,0.00498,https://api.spotify.com/v1/audio-analysis/13mpwlabsVcm39rZTaHDjq
5G5T4D1uFd2mjhuM5O7bXu,Quiet Motions,61,0.0342,0.935,0.00949,https://api.spotify.com/v1/audio-analysis/5G5T4D1uFd2mjhuM5O7bXu
7CoNMmP4XciExedSMAQkM4,Mint Green 528 Hz,59,0.0376,0.995,0.0144,https://api.spotify.com/v1/audio-analysis/7CoNMmP4XciExedSMAQkM4
75UEjnA7EJ4ztlMANBW1dX,Rêver,60,0.193,0.949,0.0336,https://api.spotify.com/v1/audio-analysis/75UEjnA7EJ4ztlMANBW1dX
2774iv7rt5UytxvyYe4z4O,A Tu Lado,56,0.115,0.966,0.00649,https://api.spotify.com/v1/audio-analysis/2774iv7rt5UytxvyYe4z4O
1lfuL7h3owfL3hCiWE2EZK,Mindful Soul,54,0.0527,0.957,0.0142,https://api.spotify.com/v1/audio-analysis/1lfuL7h3owfL3hCiWE2EZK
0tgcnoBZDZWnZVqY6gWzDg,After All Was Said,56,0.0388,0.984,0.06,https://api.spotify.com/v1/audio-analysis/0tgcnoBZDZWnZVqY6gWzDg
28BhahBC2qOpui6ryXoCev,Anachronic,65,0.0347,0.988,0.00512,https://api.spotify.com/v1/audio-analysis/28BhahBC2qOpui6ryXoCev
77J5YZNzyRlIfmfx1iYGRE,Through The Mist,60,0.0795,0.984,0.031,https://api.spotify.com/v1/audio-analysis/77J5YZNzyRlIfmfx1iYGRE
2sYLvR1t37NbXZqRI7KS5a,Safe,54,0.0363,0.934,0.0397,https://api.spotify.com/v1/audio-analysis/2sYLvR1t37NbXZqRI7KS5a
3ztpmZj6p47tlck3NVQrV7,Drommenes Verden,59,0.0365,0.85,0.00354,https://api.spotify.com/v1/audio-analysis/3ztpmZj6p47tlck3NVQrV7
3lzrmp1ug1AEu5KQ3AkzO6,Midnight Relief,61,0.0374,0.975,0.0113,https://api.spotify.com/v1/audio-analysis/3lzrmp1ug1AEu5KQ3AkzO6
6Db6Cz42MGCRkM28KHivIy,A Neutral Place,69,0.0893,0.993,0.00607,https://api.spotify.com/v1/audio-analysis/6Db6Cz42MGCRkM28KHivIy
7k3AUCixyOTdwGCc5u0JKN,A Warm Welcoming 432 Hz,55,0.0331,0.933,0.0586,https://api.spotify.com/v1/audio-analysis/7k3AUCixyOTdwGCc5u0JKN
4ISntdSrLq20YiFzT96SkN,Already Missing Summer,55,0.0456,0.993,0.0335,https://api.spotify.com/v1/audio-analysis/4ISntdSrLq20YiFzT96SkN
3M0p85lGZSAirN47876OKc,Timelapses,57,0.111,0.982,0.0288,https://api.spotify.com/v1/audio-analysis/3M0p85lGZSAirN47876OKc
2I6wgXiYhpwJ5D6P2vKXEA,Improved Focus,56,0.0845,0.196,0.011,https://api.spotify.com/v1/audio-analysis/2I6wgXiYhpwJ5D6P2vKXEA
3X3vCAvMiO48mdC2lGxfIB,Ethereal Mind,63,0.119,0.987,0.00155,https://api.spotify.com/v1/audio-analysis/3X3vCAvMiO48mdC2lGxfIB
3WvLmahT84IZwXfK5S8cIb,Release,58,0.0385,0.989,0.0258,https://api.spotify.com/v1/audio-analysis/3WvLmahT84IZwXfK5S8cIb
4sA5k1J1JG1CSdFcAnlDKm,Fantasy Rose,53,0.0549,0.991,0.00236,https://api.spotify.com/v1/audio-analysis/4sA5k1J1JG1CSdFcAnlDKm
21YSyRy6GIFkbzIoWHLbhD,Mirno,65,0.059,0.967,0.00105,https://api.spotify.com/v1/audio-analysis/21YSyRy6GIFkbzIoWHLbhD
4xS39N1i2nOU0n57Tw5bcz,Sleeping Moons,54,0.0312,0.92,0.00269,https://api.spotify.com/v1/audio-analysis/4xS39N1i2nOU0n57Tw5bcz
4YzKmXKalu7Fw1wDb8Js2n,Fragile Heart,53,0.0359,0.993,0.0112,https://api.spotify.com/v1/audio-analysis/4YzKmXKalu7Fw1wDb8Js2n
4UUTtDXBx9GiedPVzTNL5F,Meliora,65,0.0572,0.994,0.0191,https://api.spotify.com/v1/audio-analysis/4UUTtDXBx9GiedPVzTNL5F
78HCy9rFb20PwAJvk9Tv73,Spirals,60,0.0973,0.984,0.0238,https://api.spotify.com/v1/audio-analysis/78HCy9rFb20PwAJvk9Tv73
3d1399HgDr0DSrnmd2EUIx,Amethyst,59,0.153,0.883,0.022,https://api.spotify.com/v1/audio-analysis/3d1399HgDr0DSrnmd2EUIx
6FJXxbDwCd0ufovPFEt5Gl,Sobre las Nubes,56,0.0335,0.865,0.0236,https://api.spotify.com/v1/audio-analysis/6FJXxbDwCd0ufovPFEt5Gl
2d634QA1iA1WwWN8h0kCgO,Opening Skies,53,0.0629,0.872,0.0499,https://api.spotify.com/v1/audio-analysis/2d634QA1iA1WwWN8h0kCgO
03o9SRxgQAu7lpmvqePASW,Peaceful Sundown,63,0.0373,0.988,0.00634,https://api.spotify.com/v1/audio-analysis/03o9SRxgQAu7lpmvqePASW
0UmxO4xdWoH3hRUQwcqdqC,Sapnis,64,0.0313,0.676,0.0272,https://api.spotify.com/v1/audio-analysis/0UmxO4xdWoH3hRUQwcqdqC
5GF4ClkgOnE6dXg4K4Bzc8,Half Asleep,54,0.135,0.995,0.00429,https://api.spotify.com/v1/audio-analysis/5GF4ClkgOnE6dXg4K4Bzc8
136EmiIaoINHMMk3UBzi8o,Dreamcatcher,58,0.097,0.944,0.0469,https://api.spotify.com/v1/audio-analysis/136EmiIaoINHMMk3UBzi8o
1kOo4z14fQRQdnYXU8VDcv,At Night I Fly,58,0.158,0.985,0.0293,https://api.spotify.com/v1/audio-analysis/1kOo4z14fQRQdnYXU8VDcv
53Pqc0z3W4bJM9eeOO1W3O,Ocean Breath,59,0.0304,0.968,0.00371,https://api.spotify.com/v1/audio-analysis/53Pqc0z3W4bJM9eeOO1W3O
0cJOITxJRoFwuMkP4H6v4O,The Light,67,0.0313,0.891,0.00364,https://api.spotify.com/v1/audio-analysis/0cJOITxJRoFwuMkP4H6v4O
4mCzvTMB3zYJeRP3G9h1qz,A Freedom to Be Found Downriver,58,0.0383,0.97,0.0166,https://api.spotify.com/v1/audio-analysis/4mCzvTMB3zYJeRP3G9h1qz
19PlKAonAMJI24h468rBFp,Gentle,59,0.103,0.974,0.00421,https://api.spotify.com/v1/audio-analysis/19PlKAonAMJI24h468rBFp
15BlDyzMK5LyPeHmjRhoAm,Next to Nothing,58,0.0367,0.991,0.004,https://api.spotify.com/v1/audio-analysis/15BlDyzMK5LyPeHmjRhoAm
57MvDY3DeE9Iz7MtW7CI8n,Buscando,54,0.0382,0.983,0.0041,https://api.spotify.com/v1/audio-analysis/57MvDY3DeE9Iz7MtW7CI8n
6gM3YgCJV3tBzbnYG2ydge,Miuys,65,0.0395,0.978,0.047,https://api.spotify.com/v1/audio-analysis/6gM3YgCJV3tBzbnYG2ydge
6LPw6rbpwC63tQqYK2SWOW,Your Echo,61,0.0742,0.991,0.0182,https://api.spotify.com/v1/audio-analysis/6LPw6rbpwC63tQqYK2SWOW
1s8Nw1IcBENpU7pIGOH8Uk,Pojď se mnou,64,0.126,0.989,0.0318,https://api.spotify.com/v1/audio-analysis/1s8Nw1IcBENpU7pIGOH8Uk
63kxLIjDG9maJO1T1oxVoP,Consapevolezza,56,0.0819,0.915,0.0183,https://api.spotify.com/v1/audio-analysis/63kxLIjDG9maJO1T1oxVoP
4AxLkuDH6lAh4zfAqnMk1n,Mirrors,62,0.0478,0.979,0.00879,https://api.spotify.com/v1/audio-analysis/4AxLkuDH6lAh4zfAqnMk1n
6Ywas6l9JyqXWDS1PKmzj6,Skymning,61,0.039,0.894,0.024,https://api.spotify.com/v1/audio-analysis/6Ywas6l9JyqXWDS1PKmzj6
6bcf6i4amFipG1r2ScmfHL,This Now,53,0.0388,0.983,0.0413,https://api.spotify.com/v1/audio-analysis/6bcf6i4amFipG1r2ScmfHL
7HMqoo6TbtoZLHwqkfp7Lw,Angalalluarina,55,0.103,0.935,0.0225,https://api.spotify.com/v1/audio-analysis/7HMqoo6TbtoZLHwqkfp7Lw
0LOfO55KZs4fW7UtyQJfRJ,Afloat,60,0.0276,0.864,0.0126,https://api.spotify.com/v1/audio-analysis/0LOfO55KZs4fW7UtyQJfRJ
5xe5oU9NJYyUTL2THo1TPy,Mandala,57,0.0392,0.966,0.0543,https://api.spotify.com/v1/audio-analysis/5xe5oU9NJYyUTL2THo1TPy
4vbpZqfVsIz1lPEsMT0IkE,Yalmi,58,0.0362,0.977,0.017,https://api.spotify.com/v1/audio-analysis/4vbpZqfVsIz1lPEsMT0IkE
6EOpjNGn34eXLJASVcUksY,Wu Wei,60,0.037,0.951,0.0293,https://api.spotify.com/v1/audio-analysis/6EOpjNGn34eXLJASVcUksY
6oVsQtNZKr5LjNRPSOprTr,Stillness,51,0.0386,0.982,0.0639,https://api.spotify.com/v1/audio-analysis/6oVsQtNZKr5LjNRPSOprTr
6uy05NplpgKjZyAbw2QmiA,Stay - Acoustic,38,0.247,0.919,0.204,https://api.spotify.com/v1/audio-analysis/6uy05NplpgKjZyAbw2QmiA
2o4KEc2eSVUytZvTzrmyDB,Let Her Go,38,0.237,0.848,0.341,https://api.spotify.com/v1/audio-analysis/2o4KEc2eSVUytZvTzrmyDB
1fuPxyKfvLsP3FyaoExDDj,Kill Bill - Acoustic,41,0.533,0.899,0.19,https://api.spotify.com/v1/audio-analysis/1fuPxyKfvLsP3FyaoExDDj
00Hd5YUBM3Ammvjy7KWHdc,Lavander Haze - Acoustic,34,0.307,0.914,0.178,https://api.spotify.com/v1/audio-analysis/00Hd5YUBM3Ammvjy7KWHdc
