track_uri,name,popularity,valence,acousticness,energy,analysis_url
6DyywdbmTzlmXBzG9ym7Rt,Sober,67,0.187,0.000183,0.673,https://api.spotify.com/v1/audio-analysis/6DyywdbmTzlmXBzG9ym7Rt
5XcZRgJv3zMhTqCyESjQrF,Poison,72,0.26,0.0327,0.908,https://api.spotify.com/v1/audio-analysis/5XcZRgJv3zMhTqCyESjQrF
0sNKiz82ATCvT3f3XVVUUj,Why Don't You Get A Job,72,0.544,0.0674,0.882,https://api.spotify.com/v1/audio-analysis/0sNKiz82ATCvT3f3XVVUUj
6OSyCAmXT4Gkd3OQ2aPOaF,Silent Lucidity - Remastered 2003,61,0.0981,0.0534,0.628,https://api.spotify.com/v1/audio-analysis/6OSyCAmXT4Gkd3OQ2aPOaF
5t5rCnsgRBtcKqTB7SbD1Q,High Enough,59,0.232,0.0241,0.537,https://api.spotify.com/v1/audio-analysis/5t5rCnsgRBtcKqTB7SbD1Q
6z3JD6IqVvu6TUBtCfQPbe,Can't Stop Lovin' You,51,0.564,0.0734,0.912,https://api.spotify.com/v1/audio-analysis/6z3JD6IqVvu6TUBtCfQPbe
4e9hUiLsN4mx61ARosFi7p,The Spirit Of Radio,64,0.632,0.0144,0.924,https://api.spotify.com/v1/audio-analysis/4e9hUiLsN4mx61ARosFi7p
59oXRNRnmmTbwgkZkV7l4g,Low Down Rolling Stone,50,0.319,0.00738,0.809,https://api.spotify.com/v1/audio-analysis/59oXRNRnmmTbwgkZkV7l4g
2NTDt9Fiqp5wTBM6cLO6Bu,Bright Lights,46,0.503,0.00207,0.752,https://api.spotify.com/v1/audio-analysis/2NTDt9Fiqp5wTBM6cLO6Bu
2Ekzm3AGOE0u3uXy6rhAZY,Spoonman,0,0.903,2.85e-05,0.794,https://api.spotify.com/v1/audio-analysis/2Ekzm3AGOE0u3uXy6rhAZY
2Ekzm3AGOE0u3uXy6rhAZY,Spoonman,0,0.903,2.85e-05,0.794,https://api.spotify.com/v1/audio-analysis/2Ekzm3AGOE0u3uXy6rhAZY
481idAnpIOHEjR4YPsbA0y,Let Me Live / Let Me Die,2,0.237,0.034,0.759,https://api.spotify.com/v1/audio-analysis/481idAnpIOHEjR4YPsbA0y
5E5HYgxGMp3BPakHGfKfIB,Roadrunner,53,0.804,4.98e-05,0.84,https://api.spotify.com/v1/audio-analysis/5E5HYgxGMp3BPakHGfKfIB
3mhOmh4tRKsMfnRmgZfeBm,Far Behind,67,0.588,0.00187,0.645,https://api.spotify.com/v1/audio-analysis/3mhOmh4tRKsMfnRmgZfeBm
3WidjV5ImorZBnfHYbaiBO,Heaven Beside You,0,0.426,0.259,0.701,https://api.spotify.com/v1/audio-analysis/3WidjV5ImorZBnfHYbaiBO
4CtHOVGGI0CXmow1DnhaVL,Immortal,55,0.252,0.00027,0.977,https://api.spotify.com/v1/audio-analysis/4CtHOVGGI0CXmow1DnhaVL
54Q384UbVZGrgxH02WEmlk,Against The Tide,57,0.254,0.0107,0.956,https://api.spotify.com/v1/audio-analysis/54Q384UbVZGrgxH02WEmlk
