track_uri,name,popularity,valence,acousticness,energy,analysis_url
0B1Iqqq8wVoXM5R5glHQES,Prayers / Triangles,47,0.396,0.000107,0.905,https://api.spotify.com/v1/audio-analysis/0B1Iqqq8wVoXM5R5glHQES
4qNibpcNRpEBL1NwOOrjCX,I Forgive You,24,0.528,0.227,0.364,https://api.spotify.com/v1/audio-analysis/4qNibpcNRpEBL1NwOOrjCX
3tPaiHAXn0h82uUl8nAbnN,Tenderly,9,0.404,0.386,0.361,https://api.spotify.com/v1/audio-analysis/3tPaiHAXn0h82uUl8nAbnN
6mnDez8mWJqlTyp6GjCKKR,Why Do You Love Me?,44,0.179,0.985,0.154,https://api.spotify.com/v1/audio-analysis/6mnDez8mWJqlTyp6GjCKKR
70WSr32oW4jC1na5I0j0D6,Anemone,59,0.607,0.0599,0.636,https://api.spotify.com/v1/audio-analysis/70WSr32oW4jC1na5I0j0D6
0tP8FKhJsar5y4JcOH4Rjp,You Lose!,51,0.164,6.78e-05,0.909,https://api.spotify.com/v1/audio-analysis/0tP8FKhJsar5y4JcOH4Rjp
1ZozGivTAYsOwhy6LVHsPX,Kool Thing,57,0.254,0.0103,0.82,https://api.spotify.com/v1/audio-analysis/1ZozGivTAYsOwhy6LVHsPX
3tYxhPqkioZEV5el3DJxLQ,Youngest Daughter,54,0.413,0.000551,0.762,https://api.spotify.com/v1/audio-analysis/3tYxhPqkioZEV5el3DJxLQ
50iBJRkGjjht3RiwD0VqLA,Another Space Song,52,0.189,0.000253,0.701,https://api.spotify.com/v1/audio-analysis/50iBJRkGjjht3RiwD0VqLA
6lQE6LF3MU63Z6VyhPxaV3,Stars,49,0.148,0.000285,0.742,https://api.spotify.com/v1/audio-analysis/6lQE6LF3MU63Z6VyhPxaV3
7kxowOW75vOFqsdXd1TW31,Pale,48,0.366,0.000242,0.728,https://api.spotify.com/v1/audio-analysis/7kxowOW75vOFqsdXd1TW31
21yuHrj83KWSLRsCvDN7Ul,Cool in Motion,46,0.25,1.46e-06,0.97,https://api.spotify.com/v1/audio-analysis/21yuHrj83KWSLRsCvDN7Ul
21yuHrj83KWSLRsCvDN7Ul,Cool in Motion,46,0.25,1.46e-06,0.97,https://api.spotify.com/v1/audio-analysis/21yuHrj83KWSLRsCvDN7Ul
6aoslVx9b2J5tbYvbp3TbD,Come Down,45,0.521,0.0124,0.789,https://api.spotify.com/v1/audio-analysis/6aoslVx9b2J5tbYvbp3TbD
6aoslVx9b2J5tbYvbp3TbD,Come Down,45,0.521,0.0124,0.789,https://api.spotify.com/v1/audio-analysis/6aoslVx9b2J5tbYvbp3TbD
6t7JhxmZXS0YrYgvQyRWZ1,Night Tryst,43,0.52,7.05e-06,0.884,https://api.spotify.com/v1/audio-analysis/6t7JhxmZXS0YrYgvQyRWZ1
3xvVuLA3YYZPd5mx8NOnN6,Vertigo Flowers,43,0.166,6.34e-05,0.95,https://api.spotify.com/v1/audio-analysis/3xvVuLA3YYZPd5mx8NOnN6
3xvVuLA3YYZPd5mx8NOnN6,Vertigo Flowers,43,0.166,6.34e-05,0.95,https://api.spotify.com/v1/audio-analysis/3xvVuLA3YYZPd5mx8NOnN6
3xvVuLA3YYZPd5mx8NOnN6,Vertigo Flowers,43,0.166,6.34e-05,0.95,https://api.spotify.com/v1/audio-analysis/3xvVuLA3YYZPd5mx8NOnN6
2xQoftRvm3Uk1V77dcArB3,Neurotic,42,0.172,2.93e-05,0.991,https://api.spotify.com/v1/audio-analysis/2xQoftRvm3Uk1V77dcArB3
1dwC0I32wb53mXCECR4ZY7,Zero Day,39,0.129,0.0131,0.709,https://api.spotify.com/v1/audio-analysis/1dwC0I32wb53mXCECR4ZY7
1dwC0I32wb53mXCECR4ZY7,Zero Day,39,0.129,0.0131,0.709,https://api.spotify.com/v1/audio-analysis/1dwC0I32wb53mXCECR4ZY7
5p8agvLs5qPIEZ7ygnmSMI,Lily,36,0.352,1.26e-05,0.721,https://api.spotify.com/v1/audio-analysis/5p8agvLs5qPIEZ7ygnmSMI
3k8ptnrHJn8LzQnvh413c5,Drain,40,0.409,0.000738,0.704,https://api.spotify.com/v1/audio-analysis/3k8ptnrHJn8LzQnvh413c5
1aDLUzCyYpRXgrjwUWzV2X,Lazy Eye,63,0.243,0.0401,0.831,https://api.spotify.com/v1/audio-analysis/1aDLUzCyYpRXgrjwUWzV2X
2Ue894AYFKuHXCXbosikTS,Avalyn II,31,0.0392,0.00133,0.566,https://api.spotify.com/v1/audio-analysis/2Ue894AYFKuHXCXbosikTS
5918U5xYBF6Dx6T36fwxlw,Famine Asylum,43,0.248,3.43e-05,0.896,https://api.spotify.com/v1/audio-analysis/5918U5xYBF6Dx6T36fwxlw
5918U5xYBF6Dx6T36fwxlw,Famine Asylum,43,0.248,3.43e-05,0.896,https://api.spotify.com/v1/audio-analysis/5918U5xYBF6Dx6T36fwxlw
2irDC5hDrLeNnqlmABCyZV,Norway,38,0.177,0.226,0.487,https://api.spotify.com/v1/audio-analysis/2irDC5hDrLeNnqlmABCyZV
1bwXRScnt3k6vSyVqcKyNj,Heaven Or Las Vegas,0,0.401,8.84e-05,0.801,https://api.spotify.com/v1/audio-analysis/1bwXRScnt3k6vSyVqcKyNj
1bwXRScnt3k6vSyVqcKyNj,Heaven Or Las Vegas,0,0.401,8.84e-05,0.801,https://api.spotify.com/v1/audio-analysis/1bwXRScnt3k6vSyVqcKyNj
1bwXRScnt3k6vSyVqcKyNj,Heaven Or Las Vegas,0,0.401,8.84e-05,0.801,https://api.spotify.com/v1/audio-analysis/1bwXRScnt3k6vSyVqcKyNj
1bwXRScnt3k6vSyVqcKyNj,Heaven Or Las Vegas,0,0.401,8.84e-05,0.801,https://api.spotify.com/v1/audio-analysis/1bwXRScnt3k6vSyVqcKyNj
00YCRrySf0dJ6nRCKYSAkA,Pancake,40,0.205,0.000111,0.811,https://api.spotify.com/v1/audio-analysis/00YCRrySf0dJ6nRCKYSAkA
0zSUBZGCrdOHPtTEYoMykF,Everything Flows,0,0.704,0.0164,0.783,https://api.spotify.com/v1/audio-analysis/0zSUBZGCrdOHPtTEYoMykF
2TTAPkrGQQOZkaUTUlt21Q,Strange,45,0.626,0.0798,0.844,https://api.spotify.com/v1/audio-analysis/2TTAPkrGQQOZkaUTUlt21Q
6vNHkJiZZtKm4x8ESkfM4Q,Crank,37,0.435,0.00102,0.78,https://api.spotify.com/v1/audio-analysis/6vNHkJiZZtKm4x8ESkfM4Q
66joDxhdI2CjqMwti4ZHqg,I Want To Touch You,31,0.352,0.000507,0.791,https://api.spotify.com/v1/audio-analysis/66joDxhdI2CjqMwti4ZHqg
0jmyo9QOmFbjDCYpNaPDhy,Black Metallic,40,0.0872,0.102,0.413,https://api.spotify.com/v1/audio-analysis/0jmyo9QOmFbjDCYpNaPDhy
0jmyo9QOmFbjDCYpNaPDhy,Black Metallic,40,0.0872,0.102,0.413,https://api.spotify.com/v1/audio-analysis/0jmyo9QOmFbjDCYpNaPDhy
1tuwC1Ob5vnYZhvg3zyzJg,Pictures of You - 2010 Remaster,56,0.495,0.00371,0.776,https://api.spotify.com/v1/audio-analysis/1tuwC1Ob5vnYZhvg3zyzJg
7kdtUA19OnSpmQEOtelaC9,Rescue,30,0.794,0.0188,0.743,https://api.spotify.com/v1/audio-analysis/7kdtUA19OnSpmQEOtelaC9
7pkiCn3BQL9wGpKFWsEOys,Radiate,16,0.397,0.639,0.602,https://api.spotify.com/v1/audio-analysis/7pkiCn3BQL9wGpKFWsEOys
0Rg0UXxmm1k9Ep5j2VzHwY,Heathen,9,0.0638,0.0162,0.714,https://api.spotify.com/v1/audio-analysis/0Rg0UXxmm1k9Ep5j2VzHwY
5LEwYNnwG1RSVseSmMZQpo,Mannequin - 2006 Remastered Version,51,0.861,0.0065,0.75,https://api.spotify.com/v1/audio-analysis/5LEwYNnwG1RSVseSmMZQpo
1zcV54IyIHMrIDhTytt3b2,Farewell,39,0.0392,0.000295,0.511,https://api.spotify.com/v1/audio-analysis/1zcV54IyIHMrIDhTytt3b2
1zcV54IyIHMrIDhTytt3b2,Farewell,39,0.0392,0.000295,0.511,https://api.spotify.com/v1/audio-analysis/1zcV54IyIHMrIDhTytt3b2
7Fx68xe5jmn8sCRm7aGOR4,Demons Sing Love Songs,38,0.503,0.0897,0.764,https://api.spotify.com/v1/audio-analysis/7Fx68xe5jmn8sCRm7aGOR4
36GUAz85OKfFivRcnfcnG5,Rolling Out the Red Carpet,0,0.229,0.338,0.464,https://api.spotify.com/v1/audio-analysis/36GUAz85OKfFivRcnfcnG5
33qrQEXQJg4uk6k8fZgoOa,Phantom Bride,56,0.285,0.0158,0.654,https://api.spotify.com/v1/audio-analysis/33qrQEXQJg4uk6k8fZgoOa
4FskS1jBEsv5hPC0VJgqmm,Dark Spring,45,0.144,0.173,0.851,https://api.spotify.com/v1/audio-analysis/4FskS1jBEsv5hPC0VJgqmm
2fyDWKsx5904KnZMGllmAv,A Sad Cartoon,55,0.131,0.000527,0.89,https://api.spotify.com/v1/audio-analysis/2fyDWKsx5904KnZMGllmAv
