track_uri,name,popularity,valence,acousticness,energy,analysis_url
2CJtimCSGAn8x6RE3irZFV,Danger Zone,0,0.69,0.195,0.871,https://api.spotify.com/v1/audio-analysis/2CJtimCSGAn8x6RE3irZFV
08kvJTpcthAvvvW0BAcGHN,I Go Crazy,54,0.271,0.259,0.457,https://api.spotify.com/v1/audio-analysis/08kvJTpcthAvvvW0BAcGHN
6TWYdlmZVmZYcJlQ82ff1K,Walk On Water,44,0.589,0.28,0.836,https://api.spotify.com/v1/audio-analysis/6TWYdlmZVmZYcJlQ82ff1K
0j3QN4uiMdf8gI12JATZ9B,You've Lost That Lovin' Feeling,48,0.814,0.217,0.322,https://api.spotify.com/v1/audio-analysis/0j3QN4uiMdf8gI12JATZ9B
4AjKVyNUMdUveKK5OH1OJD,How Long,62,0.703,0.587,0.406,https://api.spotify.com/v1/audio-analysis/4AjKVyNUMdUveKK5OH1OJD
4AjKVyNUMdUveKK5OH1OJD,How Long,62,0.703,0.587,0.406,https://api.spotify.com/v1/audio-analysis/4AjKVyNUMdUveKK5OH1OJD
4AjKVyNUMdUveKK5OH1OJD,How Long,62,0.703,0.587,0.406,https://api.spotify.com/v1/audio-analysis/4AjKVyNUMdUveKK5OH1OJD
2cFl7utlqyZjCXN1G5nRvA,Stuck With You,63,0.628,0.0873,0.544,https://api.spotify.com/v1/audio-analysis/2cFl7utlqyZjCXN1G5nRvA
29HaKOpeLSYvqdFyEQSRdj,Teach Your Children,63,0.667,0.643,0.285,https://api.spotify.com/v1/audio-analysis/29HaKOpeLSYvqdFyEQSRdj
29HaKOpeLSYvqdFyEQSRdj,Teach Your Children,63,0.667,0.643,0.285,https://api.spotify.com/v1/audio-analysis/29HaKOpeLSYvqdFyEQSRdj
5x53pbGk6sbl1BGom19QQ5,Breakdown,63,0.69,0.398,0.35,https://api.spotify.com/v1/audio-analysis/5x53pbGk6sbl1BGom19QQ5
25IRjWUZ60n7KXxcB4DiX9,Strong Enough,61,0.583,0.796,0.265,https://api.spotify.com/v1/audio-analysis/25IRjWUZ60n7KXxcB4DiX9
4LmlGaGTEbTGE5VngAbpA3,Come To My Window,52,0.499,0.08,0.636,https://api.spotify.com/v1/audio-analysis/4LmlGaGTEbTGE5VngAbpA3
