track_uri,name,popularity,valence,acousticness,energy,analysis_url
0wHwGDYc8nltuYykhZRKln,DON'T LOOK DOWN (feat. Lizzy Land) - Acoustic,44,0.257,0.902,0.34,https://api.spotify.com/v1/audio-analysis/0wHwGDYc8nltuYykhZRKln
5rIpzFDp0sYDCQytYDG96W,DON'T LOOK DOWN (feat. Lizzy Land),55,0.294,0.124,0.712,https://api.spotify.com/v1/audio-analysis/5rIpzFDp0sYDCQytYDG96W
0MijKSpjO4RJ3p6aCHJfKh,All The Highs - VIP Outro,25,0.613,0.0819,0.653,https://api.spotify.com/v1/audio-analysis/0MijKSpjO4RJ3p6aCHJfKh
5aiGF3goUtkx6c5vObwEY9,All The Highs - Slowed,34,0.321,0.206,0.678,https://api.spotify.com/v1/audio-analysis/5aiGF3goUtkx6c5vObwEY9
3BELIEnDdXEpgMuih6XsMQ,All The Highs - IMANU Remix,39,0.11,0.0348,0.939,https://api.spotify.com/v1/audio-analysis/3BELIEnDdXEpgMuih6XsMQ
3Yemju2QrMAgKQazM6HKa2,keep you to myself,43,0.258,0.829,0.606,https://api.spotify.com/v1/audio-analysis/3Yemju2QrMAgKQazM6HKa2
6MbxQhO1sFjkLvcPNDConO,All The Highs - Acoustic,33,0.384,0.902,0.269,https://api.spotify.com/v1/audio-analysis/6MbxQhO1sFjkLvcPNDConO
6Dg3ArDiJcseYoeeTZZXK6,All The Highs,52,0.425,0.143,0.694,https://api.spotify.com/v1/audio-analysis/6Dg3ArDiJcseYoeeTZZXK6
6VpRQDOM7nQ6viuVUSXWGn,We Will Meet Again,55,0.264,0.367,0.786,https://api.spotify.com/v1/audio-analysis/6VpRQDOM7nQ6viuVUSXWGn
1MKLE7yPtk4D74sa1PsNrF,A Radical in the Family (feat. San Holo),21,0.0953,0.494,0.542,https://api.spotify.com/v1/audio-analysis/1MKLE7yPtk4D74sa1PsNrF
7h8A0jL2HGDoRbtczHEOJF,"i get lonely around people, too",2,0.19,0.649,0.402,https://api.spotify.com/v1/audio-analysis/7h8A0jL2HGDoRbtczHEOJF
0Ddqp9McOVAr2AX0CQk1xf,I Should’ve Known - San Holo Remix,0,0.0393,0.669,0.4,https://api.spotify.com/v1/audio-analysis/0Ddqp9McOVAr2AX0CQk1xf
4i48XASBeboVWtwhmKwK2I,Droves,7,0.388,0.51,0.379,https://api.spotify.com/v1/audio-analysis/4i48XASBeboVWtwhmKwK2I
6T7RlwsNCmCvyYLOvqzpGW,Loverboy - San Holo Version,34,0.478,0.184,0.704,https://api.spotify.com/v1/audio-analysis/6T7RlwsNCmCvyYLOvqzpGW
7CS0pEg5T1NLzMVyOo7Uad,Life Support,0,0.04,0.0217,0.689,https://api.spotify.com/v1/audio-analysis/7CS0pEg5T1NLzMVyOo7Uad
3wPpMU6d8h9yxvBadDDr44,CATALYST,54,0.0395,0.00383,0.824,https://api.spotify.com/v1/audio-analysis/3wPpMU6d8h9yxvBadDDr44
4x59Qf7XIdfBhmOJYJNVMY,Viaduct,6,0.0921,0.0384,0.718,https://api.spotify.com/v1/audio-analysis/4x59Qf7XIdfBhmOJYJNVMY
1DjJAn9EwO4lHtt2KlxHQz,Party,3,0.498,0.0508,0.75,https://api.spotify.com/v1/audio-analysis/1DjJAn9EwO4lHtt2KlxHQz
