track_uri,name,popularity,valence,acousticness,energy,analysis_url
7dFJsQQMwSlelur7tPuwnr,Remind Me,50,0.0453,0.00153,0.839,https://api.spotify.com/v1/audio-analysis/7dFJsQQMwSlelur7tPuwnr
7ckzAvAyMyzpytfJPFxwcF,Eclipse,0,0.0479,0.0168,0.789,https://api.spotify.com/v1/audio-analysis/7ckzAvAyMyzpytfJPFxwcF
4rDSWpAyUne0R0ahxAVPl2,SuperWave - Original Mix,0,0.136,0.0286,0.987,https://api.spotify.com/v1/audio-analysis/4rDSWpAyUne0R0ahxAVPl2
6Wpq2ehrtiQrHogJiFnSVn,Revolution - Radio Mix,0,0.0472,0.00991,0.862,https://api.spotify.com/v1/audio-analysis/6Wpq2ehrtiQrHogJiFnSVn
4C2oeLzTKV9dIfrifoYqEq,Karate - Radio Edit,0,0.505,0.000674,0.991,https://api.spotify.com/v1/audio-analysis/4C2oeLzTKV9dIfrifoYqEq
2EjQ9JBv6kgse43Is3HuhT,Tales of Tomorrow - Radio Edit,6,0.181,0.0281,0.894,https://api.spotify.com/v1/audio-analysis/2EjQ9JBv6kgse43Is3HuhT
39Ni4ManwZGs46fXh5qPfu,Afroki (feat. Bonnie McKee),31,0.641,0.014,0.958,https://api.spotify.com/v1/audio-analysis/39Ni4ManwZGs46fXh5qPfu
4kwF7lcUi1UMsm0shUcOTz,We Were Young - Original Mix,0,0.0552,0.00779,0.901,https://api.spotify.com/v1/audio-analysis/4kwF7lcUi1UMsm0shUcOTz
0TMikJYXWuR5GMBSoTTCsz,Dangerous (feat. Sam Martin) - Steve Aoki Remix,32,0.354,0.00277,0.921,https://api.spotify.com/v1/audio-analysis/0TMikJYXWuR5GMBSoTTCsz
2H98dHwAMJf0bgOgcocO9N,Wave Your Hands,0,0.415,0.00115,0.968,https://api.spotify.com/v1/audio-analysis/2H98dHwAMJf0bgOgcocO9N
75mrizH133atPU9k8f3P5e,Lovers on the Sun (feat. Sam Martin) - Blasterjaxx Remix,20,0.361,0.0143,0.855,https://api.spotify.com/v1/audio-analysis/75mrizH133atPU9k8f3P5e
0lFIavLLfzibbswy9L0XqC,Voodoo,0,0.0375,0.00144,0.871,https://api.spotify.com/v1/audio-analysis/0lFIavLLfzibbswy9L0XqC
35SnuWHCBTJkfJYetXUF7X,We Come We Rave We Love,37,0.636,0.0199,0.954,https://api.spotify.com/v1/audio-analysis/35SnuWHCBTJkfJYetXUF7X
1JXLva2WziQe1lqhYetzJw,Can't Hold Us Down - Radio Edit,0,0.216,0.00228,0.715,https://api.spotify.com/v1/audio-analysis/1JXLva2WziQe1lqhYetzJw
2LsKvF1f5PVm18UZgQrwml,Koala - Radio Edit,47,0.567,0.0467,0.901,https://api.spotify.com/v1/audio-analysis/2LsKvF1f5PVm18UZgQrwml
2KwBwj1yrWXRYNce1GtTAK,Pikachu - Original Mix,0,0.652,0.00227,0.875,https://api.spotify.com/v1/audio-analysis/2KwBwj1yrWXRYNce1GtTAK
4kPBncgyAQsrNozmB10ntb,Once Again - Original Mix,0,0.0813,0.000384,0.768,https://api.spotify.com/v1/audio-analysis/4kPBncgyAQsrNozmB10ntb
2c8RzaJ9VOLQfIzAT0JDVj,Escape (Into The Sunset) - Radio Mix,0,0.172,0.00814,0.803,https://api.spotify.com/v1/audio-analysis/2c8RzaJ9VOLQfIzAT0JDVj
4Z1PxG6UTqVhsc6SzjBip7,Live for the Night - W & W Remix,20,0.192,0.00261,0.96,https://api.spotify.com/v1/audio-analysis/4Z1PxG6UTqVhsc6SzjBip7
6olpxpSEXXterxGpBZVGe2,What We Live For,0,0.125,0.0135,0.897,https://api.spotify.com/v1/audio-analysis/6olpxpSEXXterxGpBZVGe2
1QxS9R90ukf9T6ukPTu6GC,The Hum - Short Edit,19,0.209,0.211,0.947,https://api.spotify.com/v1/audio-analysis/1QxS9R90ukf9T6ukPTu6GC
1S7HayoO45Hdus23lY99sI,And I - R3hab Extended Remix,4,0.0388,0.000273,0.922,https://api.spotify.com/v1/audio-analysis/1S7HayoO45Hdus23lY99sI
1M600IE8ujvrGKcyAuMRED,Heartbeat - Nicky Romero Edit,0,0.0842,0.00113,0.91,https://api.spotify.com/v1/audio-analysis/1M600IE8ujvrGKcyAuMRED
1u6LOWtdWA2wwa3CryIBsS,Another You,54,0.393,0.00809,0.647,https://api.spotify.com/v1/audio-analysis/1u6LOWtdWA2wwa3CryIBsS
55IOE08XL191w3PNuoEW0q,Black - Original Mix,0,0.199,0.0903,0.963,https://api.spotify.com/v1/audio-analysis/55IOE08XL191w3PNuoEW0q
0GsBs93LEslshhrHPiIDA8,Soundwave - Quintino Remix,0,0.147,0.00141,0.877,https://api.spotify.com/v1/audio-analysis/0GsBs93LEslshhrHPiIDA8
5025oiBetcVQ9SF34U4xRc,Darkside - Original Mix,0,0.175,0.00239,0.892,https://api.spotify.com/v1/audio-analysis/5025oiBetcVQ9SF34U4xRc
25Jkn7pfe0wQkWLxRkgW6i,Rage - Original Mix,0,0.1,0.000439,0.917,https://api.spotify.com/v1/audio-analysis/25Jkn7pfe0wQkWLxRkgW6i
7oDjaRDdf9zNQ8N3yRjQwF,Feeling Good,0,0.0992,0.318,0.581,https://api.spotify.com/v1/audio-analysis/7oDjaRDdf9zNQ8N3yRjQwF
2DD1rv9yAHphMjMWFD4akx,Techno Saturday - Original Mix,0,0.352,6.77e-05,0.912,https://api.spotify.com/v1/audio-analysis/2DD1rv9yAHphMjMWFD4akx
3FgTxATu6BU3mGDq7hhXq2,The Night - Radio Edit,0,0.378,0.117,0.944,https://api.spotify.com/v1/audio-analysis/3FgTxATu6BU3mGDq7hhXq2
7bk1JQLMos3tY6raBOowqq,Filthy - Original Mix,16,0.271,0.0477,0.891,https://api.spotify.com/v1/audio-analysis/7bk1JQLMos3tY6raBOowqq
770QldRoiZsrBfQwMM5QX0,My Window - Radio Edit,0,0.659,0.0875,0.954,https://api.spotify.com/v1/audio-analysis/770QldRoiZsrBfQwMM5QX0
6drg1FmkZ8PcIX6UMmlvol,Afroki (feat. Bonnie McKee) - Marnik Remix,12,0.348,0.000722,0.967,https://api.spotify.com/v1/audio-analysis/6drg1FmkZ8PcIX6UMmlvol
1wGrjGsLOoSKFup3byDWyR,Push Play [Mix Cut] - Original Mix,0,0.184,0.000502,0.995,https://api.spotify.com/v1/audio-analysis/1wGrjGsLOoSKFup3byDWyR
656peCkJJuXRcBDituSWck,Forever (feat. Courtney Jenaé) - Original Mix,0,0.352,0.00864,0.964,https://api.spotify.com/v1/audio-analysis/656peCkJJuXRcBDituSWck
4PxKvJqOzhcNiP1OBpRfcC,Lighthouse - Radio Edit,0,0.361,0.0211,0.706,https://api.spotify.com/v1/audio-analysis/4PxKvJqOzhcNiP1OBpRfcC
6ulV6BN8zJe3t9JyvaEAsT,The One,44,0.615,0.169,0.922,https://api.spotify.com/v1/audio-analysis/6ulV6BN8zJe3t9JyvaEAsT
6oheWhUHTYSegLGV9x3BMd,Dragon - Radio Edit,0,0.145,0.00543,0.917,https://api.spotify.com/v1/audio-analysis/6oheWhUHTYSegLGV9x3BMd
5RVE3ef6pf6bkLRFFv7cfs,Survivors - Radio Edit,0,0.233,0.0234,0.825,https://api.spotify.com/v1/audio-analysis/5RVE3ef6pf6bkLRFFv7cfs
44WZ7uXkOKHqzlpLtI6aXK,Higher Place - Bassjackers Remix,4,0.2,0.00435,0.696,https://api.spotify.com/v1/audio-analysis/44WZ7uXkOKHqzlpLtI6aXK
1rdZuTwPE8nPk3tLutaPxe,Outer Space (XXX) [feat. Kris Kiss],0,0.654,0.142,0.918,https://api.spotify.com/v1/audio-analysis/1rdZuTwPE8nPk3tLutaPxe
0kTC7L9V1nEGk58UjA5uqr,Raveheart - Original Mix,0,0.24,0.00106,0.986,https://api.spotify.com/v1/audio-analysis/0kTC7L9V1nEGk58UjA5uqr
7hFqnWjf0ZzlsnEqNAd5QY,Air - Original Mix,0,0.0845,0.000195,0.965,https://api.spotify.com/v1/audio-analysis/7hFqnWjf0ZzlsnEqNAd5QY
0vXkVp3QoGOHNxxKNF4Gex,Ass Hypnotized - Original Club Mix,0,0.371,0.000448,0.963,https://api.spotify.com/v1/audio-analysis/0vXkVp3QoGOHNxxKNF4Gex
6jmTQwFzejCurofZDz7x9k,Off The Hook,47,0.153,0.0113,0.951,https://api.spotify.com/v1/audio-analysis/6jmTQwFzejCurofZDz7x9k
3IDtm4F1L3n0P0uiARm6ed,Spack Jarrow - Radio Edit,20,0.319,0.00261,0.984,https://api.spotify.com/v1/audio-analysis/3IDtm4F1L3n0P0uiARm6ed
1tYp2gd7lVIiE24lDFzGNd,Never Fade - Radio Edit,0,0.167,0.18,0.917,https://api.spotify.com/v1/audio-analysis/1tYp2gd7lVIiE24lDFzGNd
5kj0QS2Eh0c4MKMvfBDij2,Next Level - Nicky Romero Edit,0,0.435,0.00791,0.986,https://api.spotify.com/v1/audio-analysis/5kj0QS2Eh0c4MKMvfBDij2
7DcY0SUvSIcIjHeSGhTXDk,Memories - Radio Edit,0,0.32,0.0352,0.728,https://api.spotify.com/v1/audio-analysis/7DcY0SUvSIcIjHeSGhTXDk
6ZM4JtlEM2xraDsOKT0olZ,Waiting For Love - Carnage & Headhunterz Remix,0,0.444,0.00617,0.883,https://api.spotify.com/v1/audio-analysis/6ZM4JtlEM2xraDsOKT0olZ
3KsgqKdON4jaWjGKzxIIP1,Arcadia - Thomas Newson Remix,0,0.2,0.00276,0.916,https://api.spotify.com/v1/audio-analysis/3KsgqKdON4jaWjGKzxIIP1
2jS4PKTSK8UaqUnEf31FaP,Another You - Mark Sixma Remix,13,0.227,0.0109,0.911,https://api.spotify.com/v1/audio-analysis/2jS4PKTSK8UaqUnEf31FaP
0RMckdsOqgGSdLRoWbbWbo,Don't You Want Me 2015 - Dimitri Vegas & Like Mike Remix,4,0.0749,0.00218,0.916,https://api.spotify.com/v1/audio-analysis/0RMckdsOqgGSdLRoWbbWbo
1R98UPSCT7mVYe1WztbHWX,Here We Go - Original Edit,21,0.505,0.0264,0.977,https://api.spotify.com/v1/audio-analysis/1R98UPSCT7mVYe1WztbHWX
2XDyh7ydff9XgXYwsd7dWR,No Turning Back - Ummet Ozcan Radio Edit,0,0.506,0.0438,0.947,https://api.spotify.com/v1/audio-analysis/2XDyh7ydff9XgXYwsd7dWR
3DHjvvsfjRNeOFG4YIFJhd,Bring That Beat,0,0.352,0.000464,0.97,https://api.spotify.com/v1/audio-analysis/3DHjvvsfjRNeOFG4YIFJhd
2gxUTAejN2pzmIM60c49TA,Unstoppable,0,0.239,0.0212,0.95,https://api.spotify.com/v1/audio-analysis/2gxUTAejN2pzmIM60c49TA
3uN1f0o988Pc8opHzLK6KA,Stick Em,0,0.0347,0.00143,0.926,https://api.spotify.com/v1/audio-analysis/3uN1f0o988Pc8opHzLK6KA
1nqEbO3jSkDNdtWR74snPr,The Wave,0,0.0669,0.00218,0.992,https://api.spotify.com/v1/audio-analysis/1nqEbO3jSkDNdtWR74snPr
4w3YIjYUM8fRsraZQrCElk,King Kong,0,0.21,0.00712,0.916,https://api.spotify.com/v1/audio-analysis/4w3YIjYUM8fRsraZQrCElk
7fj3fjbB8Z9zMR8girBAi0,Hope,0,0.331,0.00359,0.957,https://api.spotify.com/v1/audio-analysis/7fj3fjbB8Z9zMR8girBAi0
2EzxiWpOhTOgC2jdRFgVJx,Legend - Original Mix,0,0.107,0.125,0.994,https://api.spotify.com/v1/audio-analysis/2EzxiWpOhTOgC2jdRFgVJx
72DoQhOEfXcITwQ3s7I6Vz,You Know Why - Original Mix,22,0.388,0.0227,0.964,https://api.spotify.com/v1/audio-analysis/72DoQhOEfXcITwQ3s7I6Vz
67Qk7SVn8y9JZdUHrmIUC0,Into the Light - Original Edit,0,0.157,0.0023,0.878,https://api.spotify.com/v1/audio-analysis/67Qk7SVn8y9JZdUHrmIUC0
7hPQaF1zRJXSjiXjfXzKZy,Street Sounds,0,0.354,0.000795,0.946,https://api.spotify.com/v1/audio-analysis/7hPQaF1zRJXSjiXjfXzKZy
6J3s6AGnetL5BfIXNZV3OV,Police,0,0.249,0.00586,0.977,https://api.spotify.com/v1/audio-analysis/6J3s6AGnetL5BfIXNZV3OV
5WNW9DL2FiwuRnivTkvNNn,Indigo,0,0.413,0.000163,0.978,https://api.spotify.com/v1/audio-analysis/5WNW9DL2FiwuRnivTkvNNn
3hqFZZOMBsW6iSBRkDdAir,Secrets - Don Diablo’s VIP Mix,0,0.209,0.00151,0.787,https://api.spotify.com/v1/audio-analysis/3hqFZZOMBsW6iSBRkDdAir
3xqc7cblJNqwwnEJt37xFy,Kung Fu,21,0.432,0.000742,0.95,https://api.spotify.com/v1/audio-analysis/3xqc7cblJNqwwnEJt37xFy
