track_uri,name,popularity,valence,acousticness,energy,analysis_url
6Gr0nYfH4DpKYrAggRGGZZ,Well Well Well,33,0.481,0.935,0.0614,https://api.spotify.com/v1/audio-analysis/6Gr0nYfH4DpKYrAggRGGZZ
2hHyeOI9VDvR5cBK4JF5DP,Sun on My Face,29,0.261,0.863,0.184,https://api.spotify.com/v1/audio-analysis/2hHyeOI9VDvR5cBK4JF5DP
6K90dTF2qbjHOMpPJ9dH3A,Don't Ask Me (Bonus Track),29,0.288,0.871,0.391,https://api.spotify.com/v1/audio-analysis/6K90dTF2qbjHOMpPJ9dH3A
0l3wGkKXDaNballU6Aolp8,Sunny,51,0.363,0.468,0.483,https://api.spotify.com/v1/audio-analysis/0l3wGkKXDaNballU6Aolp8
2Mr1bGI2E10K7Mt1UJZ6Mw,Boom Boom,60,0.918,0.62,0.455,https://api.spotify.com/v1/audio-analysis/2Mr1bGI2E10K7Mt1UJZ6Mw
7mNFrf8IfgaWMFCz64CtK4,Boogie Chillen,52,0.406,0.857,0.367,https://api.spotify.com/v1/audio-analysis/7mNFrf8IfgaWMFCz64CtK4
1cRTAPP2FG9h2WiYMOIVIK,The Sky Is Crying,49,0.567,0.0226,0.611,https://api.spotify.com/v1/audio-analysis/1cRTAPP2FG9h2WiYMOIVIK
61K6lqGyrl2Aerk0LjAZem,Rollin' Stone,48,0.335,0.989,0.0192,https://api.spotify.com/v1/audio-analysis/61K6lqGyrl2Aerk0LjAZem
1bWh9hOkQGahfQ0rEqvaGR,Devil Got My Woman,36,0.523,0.986,0.151,https://api.spotify.com/v1/audio-analysis/1bWh9hOkQGahfQ0rEqvaGR
1TrGdXSgiBm8W68D2K1COG,Cross Road Blues,50,0.638,0.93,0.311,https://api.spotify.com/v1/audio-analysis/1TrGdXSgiBm8W68D2K1COG
1TrGdXSgiBm8W68D2K1COG,Cross Road Blues,50,0.638,0.93,0.311,https://api.spotify.com/v1/audio-analysis/1TrGdXSgiBm8W68D2K1COG
7hYOjbDYBvUk7RymZ82To3,Match Box Blues (4446),32,0.519,0.976,0.157,https://api.spotify.com/v1/audio-analysis/7hYOjbDYBvUk7RymZ82To3
1vjHFgIdNuLXojpkzysoV8,Baby Please Don't Go,38,0.564,0.752,0.302,https://api.spotify.com/v1/audio-analysis/1vjHFgIdNuLXojpkzysoV8
12MFtyrU4ZPJqClBcjYFIA,Some Day Baby,30,0.686,0.964,0.204,https://api.spotify.com/v1/audio-analysis/12MFtyrU4ZPJqClBcjYFIA
4vqDFur1cyE8lS1oD3XiCB,I Got the Cross the River Jordan,36,0.415,0.91,0.177,https://api.spotify.com/v1/audio-analysis/4vqDFur1cyE8lS1oD3XiCB
0nWFmSvTZmgxGKFxodXgIq,Moanin' At Midnight,41,0.755,0.884,0.507,https://api.spotify.com/v1/audio-analysis/0nWFmSvTZmgxGKFxodXgIq
4ZgLOQB66wNk4VNB9H98E2,Heavy Load,39,0.254,0.837,0.0813,https://api.spotify.com/v1/audio-analysis/4ZgLOQB66wNk4VNB9H98E2
5nVK0rgBaHqRioBoWBWS8f,Lost & Lonesome,38,0.24,0.926,0.249,https://api.spotify.com/v1/audio-analysis/5nVK0rgBaHqRioBoWBWS8f
3xoMRK8egNvtjrCEQieLko,Am I Wrong,45,0.964,0.462,0.446,https://api.spotify.com/v1/audio-analysis/3xoMRK8egNvtjrCEQieLko
7DFgoaZmFnjOcKlrpV0mPK,Champagne & Reefer - Live,0,0.525,0.331,0.603,https://api.spotify.com/v1/audio-analysis/7DFgoaZmFnjOcKlrpV0mPK
7oy11oZXWxwRYn5DUxk0oW,"One Bourbon, One Scotch, One Beer",0,0.853,0.494,0.56,https://api.spotify.com/v1/audio-analysis/7oy11oZXWxwRYn5DUxk0oW
1cyftogE58xHzSgb77zcsn,Life by the Drop,56,0.473,0.766,0.163,https://api.spotify.com/v1/audio-analysis/1cyftogE58xHzSgb77zcsn
0fM0mFxHP1R4KPX1PB8tWU,Dust My Broom,42,0.696,0.0115,0.66,https://api.spotify.com/v1/audio-analysis/0fM0mFxHP1R4KPX1PB8tWU
6D0c7cyaWGr3Iqwb4jtWSM,It's Nobody's Fault but Mine,0,0.47,0.882,0.0946,https://api.spotify.com/v1/audio-analysis/6D0c7cyaWGr3Iqwb4jtWSM
