track_uri,name,popularity,valence,acousticness,energy,analysis_url
5ucRrHQrCGDeUdL5bKFWk1,River Wider,37,0.404,0.383,0.552,https://api.spotify.com/v1/audio-analysis/5ucRrHQrCGDeUdL5bKFWk1
2TJyrrGYcxSDod3MGKcwJj,Little Giant,48,0.101,0.694,0.276,https://api.spotify.com/v1/audio-analysis/2TJyrrGYcxSDod3MGKcwJj
6edjKaez0Kzg4trha60ulW,Bones,0,0.183,0.62,0.66,https://api.spotify.com/v1/audio-analysis/6edjKaez0Kzg4trha60ulW
1ULk5cxfxCd9wrizeroHWx,Architect,0,0.487,0.574,0.607,https://api.spotify.com/v1/audio-analysis/1ULk5cxfxCd9wrizeroHWx
1WPDc6h6igXcZMZn5zjjfq,The Hunt,38,0.278,0.325,0.591,https://api.spotify.com/v1/audio-analysis/1WPDc6h6igXcZMZn5zjjfq
7GJ572zvnU94VZVrj5XRtb,Spirits,14,0.787,0.164,0.658,https://api.spotify.com/v1/audio-analysis/7GJ572zvnU94VZVrj5XRtb
7tJHvRoGvkckZkZk5ORUot,In Your Hands - Single Version,59,0.753,0.605,0.598,https://api.spotify.com/v1/audio-analysis/7tJHvRoGvkckZkZk5ORUot
4q9itBfSlTvqZLGVIdjKuk,Black Flowers,0,0.495,0.299,0.66,https://api.spotify.com/v1/audio-analysis/4q9itBfSlTvqZLGVIdjKuk
03kvDHgvNjbjuZTr5VW9cy,Closer to You,0,0.655,0.591,0.551,https://api.spotify.com/v1/audio-analysis/03kvDHgvNjbjuZTr5VW9cy
5bE0gN3bXWh8rcWttcvMto,Time to Run,19,0.314,0.496,0.86,https://api.spotify.com/v1/audio-analysis/5bE0gN3bXWh8rcWttcvMto
6EUuKJmYvklA10o1cdhIlz,For,0,0.488,0.894,0.606,https://api.spotify.com/v1/audio-analysis/6EUuKJmYvklA10o1cdhIlz
4C0pHZzfGzq6GybDXml3Cj,Get Away,0,0.666,0.514,0.593,https://api.spotify.com/v1/audio-analysis/4C0pHZzfGzq6GybDXml3Cj
2UcrOnNw5WJr6Xu2q8QAPI,In Your Arms,1,0.371,0.662,0.592,https://api.spotify.com/v1/audio-analysis/2UcrOnNw5WJr6Xu2q8QAPI
0Qmir5vK90tHWGTU03Vi0D,My Song,0,0.629,0.771,0.458,https://api.spotify.com/v1/audio-analysis/0Qmir5vK90tHWGTU03Vi0D
2dOhm9oyZu6bLqfCWyg7PS,Drastic Measures,31,0.289,0.344,0.628,https://api.spotify.com/v1/audio-analysis/2dOhm9oyZu6bLqfCWyg7PS
0Avc8hNujXgpx2tXJk5cpx,Wild At Heart,21,0.181,0.805,0.368,https://api.spotify.com/v1/audio-analysis/0Avc8hNujXgpx2tXJk5cpx
7C3IXyzOUXTJOm44YHZqDw,On My Way,0,0.394,0.609,0.553,https://api.spotify.com/v1/audio-analysis/7C3IXyzOUXTJOm44YHZqDw
3IKUhGMZCbnbggRXEs0G3t,We Were Giants,10,0.193,0.608,0.419,https://api.spotify.com/v1/audio-analysis/3IKUhGMZCbnbggRXEs0G3t
7HRP6TJQRk5rmRzbancWEo,Love Is War - Radio Mix,27,0.432,0.573,0.564,https://api.spotify.com/v1/audio-analysis/7HRP6TJQRk5rmRzbancWEo
17Itiw6emEwOfS7pYSnU3e,The Season of Singing,25,0.132,0.195,0.587,https://api.spotify.com/v1/audio-analysis/17Itiw6emEwOfS7pYSnU3e
4DSIaN45JesvflRtHwEp2U,Pegasi,0,0.509,0.938,0.245,https://api.spotify.com/v1/audio-analysis/4DSIaN45JesvflRtHwEp2U
49wC1uSV1lGGYV6rW6Hl6P,Library Magic - Stinson Beach Sessions,19,0.532,0.434,0.319,https://api.spotify.com/v1/audio-analysis/49wC1uSV1lGGYV6rW6Hl6P
4ePdqRAYKTNWh1xhNZPf61,We'll Grow,0,0.868,0.538,0.593,https://api.spotify.com/v1/audio-analysis/4ePdqRAYKTNWh1xhNZPf61
5fPdi0HyMuOJjkuCEFYE7I,Mask,0,0.324,0.944,0.498,https://api.spotify.com/v1/audio-analysis/5fPdi0HyMuOJjkuCEFYE7I
20KsNRy7f34IhmQxayoIkm,Tongue Tied,0,0.307,0.758,0.308,https://api.spotify.com/v1/audio-analysis/20KsNRy7f34IhmQxayoIkm
3FQSlJuem0fyyYslMLax2P,Tidal Wave,0,0.276,0.387,0.292,https://api.spotify.com/v1/audio-analysis/3FQSlJuem0fyyYslMLax2P
4jHNZ4EeMBE0wg2RLW3ICl,Grow Something Beautiful,37,0.403,0.928,0.275,https://api.spotify.com/v1/audio-analysis/4jHNZ4EeMBE0wg2RLW3ICl
4aOojIQ4cDgZncsXfRC0Jp,Stereo,0,0.436,0.56,0.465,https://api.spotify.com/v1/audio-analysis/4aOojIQ4cDgZncsXfRC0Jp
0kbBV4SisEr2q9zH8cMEI6,Like Home,21,0.295,0.323,0.544,https://api.spotify.com/v1/audio-analysis/0kbBV4SisEr2q9zH8cMEI6
7fRHPaxsCfu31fznWUwpw3,Fills Me Up,0,0.384,0.00184,0.748,https://api.spotify.com/v1/audio-analysis/7fRHPaxsCfu31fznWUwpw3
0izY0eQS0V4mu77CXnduGr,Paper Airplanes,0,0.211,0.463,0.382,https://api.spotify.com/v1/audio-analysis/0izY0eQS0V4mu77CXnduGr
1gx7WS3kWK53ypA8KXeEsV,Sunlit Juice,0,0.279,0.337,0.523,https://api.spotify.com/v1/audio-analysis/1gx7WS3kWK53ypA8KXeEsV
