track_uri,name,popularity,valence,acousticness,energy,analysis_url
24kirWnsEEyGgbl2NuhSVz,Endless Summer,45,0.441,0.0562,0.727,https://api.spotify.com/v1/audio-analysis/24kirWnsEEyGgbl2NuhSVz
2wdEXKLcuU7B0M2gqFmABH,Photograph,48,0.385,0.000932,0.876,https://api.spotify.com/v1/audio-analysis/2wdEXKLcuU7B0M2gqFmABH
2wdEXKLcuU7B0M2gqFmABH,Photograph,48,0.385,0.000932,0.876,https://api.spotify.com/v1/audio-analysis/2wdEXKLcuU7B0M2gqFmABH
2wdEXKLcuU7B0M2gqFmABH,Photograph,48,0.385,0.000932,0.876,https://api.spotify.com/v1/audio-analysis/2wdEXKLcuU7B0M2gqFmABH
0PXWpNBYg52gABrn1qL1bD,Unwell - 2007 Remaster,59,0.437,0.0456,0.793,https://api.spotify.com/v1/audio-analysis/0PXWpNBYg52gABrn1qL1bD
0PXWpNBYg52gABrn1qL1bD,Unwell - 2007 Remaster,59,0.437,0.0456,0.793,https://api.spotify.com/v1/audio-analysis/0PXWpNBYg52gABrn1qL1bD
2XQSgmtEY2titXhfY414dy,Roygbiv,40,0.118,0.0201,0.521,https://api.spotify.com/v1/audio-analysis/2XQSgmtEY2titXhfY414dy
5Yyr8yzSVSRjPBplROr0bR,Hourglass,0,0.398,0.389,0.302,https://api.spotify.com/v1/audio-analysis/5Yyr8yzSVSRjPBplROr0bR
3mhOmh4tRKsMfnRmgZfeBm,Far Behind,67,0.588,0.00187,0.645,https://api.spotify.com/v1/audio-analysis/3mhOmh4tRKsMfnRmgZfeBm
5s7tg13b0zcD8xvuQYrMNG,No Excuses,0,0.721,0.0206,0.838,https://api.spotify.com/v1/audio-analysis/5s7tg13b0zcD8xvuQYrMNG
21jEuMn2lf37715rwjow2M,The Freshmen,61,0.276,0.0757,0.505,https://api.spotify.com/v1/audio-analysis/21jEuMn2lf37715rwjow2M
0HDaKOlVAfUWXdFR2RhBtN,Down,58,0.565,0.000179,0.922,https://api.spotify.com/v1/audio-analysis/0HDaKOlVAfUWXdFR2RhBtN
3oZKgn93EKPxLp2kRY2KRR,Would?,37,0.426,0.00355,0.915,https://api.spotify.com/v1/audio-analysis/3oZKgn93EKPxLp2kRY2KRR
4LhsCztJuhHs6ttZ4ovDnw,Hand In My Pocket,0,0.675,0.141,0.688,https://api.spotify.com/v1/audio-analysis/4LhsCztJuhHs6ttZ4ovDnw
7aKWgpecgLEqisWcXPElDl,Never There,61,0.592,0.0426,0.735,https://api.spotify.com/v1/audio-analysis/7aKWgpecgLEqisWcXPElDl
75HZ6Wxnw8xbgz6HU9kKCS,Barely Breathing,59,0.516,0.0281,0.807,https://api.spotify.com/v1/audio-analysis/75HZ6Wxnw8xbgz6HU9kKCS
2GHYJ0dhVds3PODKnTdiGE,All I Want,56,0.622,0.0558,0.811,https://api.spotify.com/v1/audio-analysis/2GHYJ0dhVds3PODKnTdiGE
56SkdBKyR2zOkjk6wVFI9s,Possum Kingdom,62,0.925,0.000772,0.726,https://api.spotify.com/v1/audio-analysis/56SkdBKyR2zOkjk6wVFI9s
1fZhHANKVFNZ9W8iSh76gF,Stolen,49,0.318,0.00143,0.838,https://api.spotify.com/v1/audio-analysis/1fZhHANKVFNZ9W8iSh76gF
1AnesEZjtNHT7Nr2Y4BuNR,Hero / Heroine - Original Mix,48,0.32,0.02,0.904,https://api.spotify.com/v1/audio-analysis/1AnesEZjtNHT7Nr2Y4BuNR
1AnesEZjtNHT7Nr2Y4BuNR,Hero / Heroine - Original Mix,48,0.32,0.02,0.904,https://api.spotify.com/v1/audio-analysis/1AnesEZjtNHT7Nr2Y4BuNR
38z6jaLE0F13dxv28n3wlq,Addicted,0,0.605,0.000491,0.751,https://api.spotify.com/v1/audio-analysis/38z6jaLE0F13dxv28n3wlq
5IXeOf1hqORwp8b6c1Asqa,99 Red Balloons,45,0.29,0.001,0.846,https://api.spotify.com/v1/audio-analysis/5IXeOf1hqORwp8b6c1Asqa
5sFDReWLrZHLFZFjHsjUTS,Would? (2022 Remaster),73,0.586,0.000327,0.833,https://api.spotify.com/v1/audio-analysis/5sFDReWLrZHLFZFjHsjUTS
1XxCiPw07rd1ytYnE7SoJI,Road Trippin',60,0.393,0.309,0.47,https://api.spotify.com/v1/audio-analysis/1XxCiPw07rd1ytYnE7SoJI
679zqcQuKakOGI93NPCqB8,Present Tense,53,0.105,0.403,0.272,https://api.spotify.com/v1/audio-analysis/679zqcQuKakOGI93NPCqB8
6pb5BBnIM5IM7R1cqag6rE,Big Me,64,0.846,0.442,0.708,https://api.spotify.com/v1/audio-analysis/6pb5BBnIM5IM7R1cqag6rE
3vaONhSGEscyYeYoGpMLW4,Plowed,54,0.234,0.00252,0.88,https://api.spotify.com/v1/audio-analysis/3vaONhSGEscyYeYoGpMLW4
5lqvKus0CohDfnFKrpR2DY,Nearly Lost You,29,0.465,3.64e-05,0.972,https://api.spotify.com/v1/audio-analysis/5lqvKus0CohDfnFKrpR2DY
1612JQ4JxS8bm5ky53N3bH,Superman's Dead,50,0.601,0.0104,0.869,https://api.spotify.com/v1/audio-analysis/1612JQ4JxS8bm5ky53N3bH
3mNecsYFb6LQg7822DPXCP,Absolutely (Story of a Girl) - Radio Mix,66,0.66,0.000891,0.94,https://api.spotify.com/v1/audio-analysis/3mNecsYFb6LQg7822DPXCP
3mNecsYFb6LQg7822DPXCP,Absolutely (Story of a Girl) - Radio Mix,66,0.66,0.000891,0.94,https://api.spotify.com/v1/audio-analysis/3mNecsYFb6LQg7822DPXCP
6DfvtrAhkXb6ruEaTGdA8r,Walk On The Ocean,38,0.336,0.288,0.552,https://api.spotify.com/v1/audio-analysis/6DfvtrAhkXb6ruEaTGdA8r
1sjrDQXqAa9V07FjKIlAQ4,Hemorrhage (In My Hands),61,0.372,0.000144,0.823,https://api.spotify.com/v1/audio-analysis/1sjrDQXqAa9V07FjKIlAQ4
09JxX9P3dqSl0I3lDGrTie,Volcano,42,0.894,0.138,0.913,https://api.spotify.com/v1/audio-analysis/09JxX9P3dqSl0I3lDGrTie
338gPBomyqx33wfeF1AGOd,Girlfriend,48,0.814,0.00901,0.714,https://api.spotify.com/v1/audio-analysis/338gPBomyqx33wfeF1AGOd
0xer3oYz7xQO8t0Qx6sSMK,Fall Down,33,0.736,0.115,0.886,https://api.spotify.com/v1/audio-analysis/0xer3oYz7xQO8t0Qx6sSMK
3AMzc1EbbuJX4FNMclv0XO,Molly (16 Candles),39,0.549,1.49e-05,0.673,https://api.spotify.com/v1/audio-analysis/3AMzc1EbbuJX4FNMclv0XO
0ecuZefr04QYl0cGpT53Nz,Cut You In,51,0.725,0.225,0.742,https://api.spotify.com/v1/audio-analysis/0ecuZefr04QYl0cGpT53Nz
41TVMXb9THdtTlo2KojUDe,Somebody to Shove (2022 Remaster),49,0.356,0.00336,0.909,https://api.spotify.com/v1/audio-analysis/41TVMXb9THdtTlo2KojUDe
49NL7CMHXugSn72znOA5Nd,There She Goes,34,0.573,0.576,0.659,https://api.spotify.com/v1/audio-analysis/49NL7CMHXugSn72znOA5Nd
64eZ2hy7R21VDPgzeQrb9q,Blue Sky Mine - Remastered,37,0.811,0.0388,0.775,https://api.spotify.com/v1/audio-analysis/64eZ2hy7R21VDPgzeQrb9q
4l1W5SkH8EJJ9RQEq6UFMW,Everything Falls Apart,41,0.789,0.0465,0.818,https://api.spotify.com/v1/audio-analysis/4l1W5SkH8EJJ9RQEq6UFMW
6g48vpikqU2atsrDXdGzKo,Clean My Wounds,53,0.642,0.0306,0.917,https://api.spotify.com/v1/audio-analysis/6g48vpikqU2atsrDXdGzKo
5EUsI3LIV042IV5ydksV9y,River of Deceit,54,0.169,0.0614,0.29,https://api.spotify.com/v1/audio-analysis/5EUsI3LIV042IV5ydksV9y
