track_uri,name,popularity,valence,acousticness,energy,analysis_url
4aB1CV3jThJqcdCvoh70ZT,Call of the Sea,35,0.0572,0.887,0.313,https://api.spotify.com/v1/audio-analysis/4aB1CV3jThJqcdCvoh70ZT
2ueromBRomJ17bNk9r02uz,Ceaseless Thought,39,0.0699,0.955,0.0818,https://api.spotify.com/v1/audio-analysis/2ueromBRomJ17bNk9r02uz
1YV1M5xyW7o3ne9tpHnfKr,Lhotse - Six Missing Rework,31,0.037,0.561,0.142,https://api.spotify.com/v1/audio-analysis/1YV1M5xyW7o3ne9tpHnfKr
04mxkWaNV9AdYMm49KI0vd,Weg,23,0.0382,0.723,0.172,https://api.spotify.com/v1/audio-analysis/04mxkWaNV9AdYMm49KI0vd
4RcNu6WQe6pQYVkOc915yD,Terug,32,0.0397,0.811,0.142,https://api.spotify.com/v1/audio-analysis/4RcNu6WQe6pQYVkOc915yD
3Zsu6cm1jXWjll3HrHaL55,Taller Than Trees,28,0.0713,0.869,0.132,https://api.spotify.com/v1/audio-analysis/3Zsu6cm1jXWjll3HrHaL55
6rnEZTlrc9WCe48XmQRdQN,Weir,30,0.0346,0.387,0.195,https://api.spotify.com/v1/audio-analysis/6rnEZTlrc9WCe48XmQRdQN
5qapVE04s4PK6L5iVCCuNi,4th Of July - Remastered 2009,18,0.149,0.32,0.117,https://api.spotify.com/v1/audio-analysis/5qapVE04s4PK6L5iVCCuNi
5DiwyUEb7jG8iVOaHYMEgl,Wind On Wind,40,0.0332,0.972,0.0589,https://api.spotify.com/v1/audio-analysis/5DiwyUEb7jG8iVOaHYMEgl
5DiwyUEb7jG8iVOaHYMEgl,Wind On Wind,40,0.0332,0.972,0.0589,https://api.spotify.com/v1/audio-analysis/5DiwyUEb7jG8iVOaHYMEgl
4LrfsgQ5AGouvH3PlxW2PC,Treefingers,51,0.0577,0.827,0.146,https://api.spotify.com/v1/audio-analysis/4LrfsgQ5AGouvH3PlxW2PC
6Qyy9fqDBBZyl90snerjl0,Undercurrent,31,0.109,0.893,0.222,https://api.spotify.com/v1/audio-analysis/6Qyy9fqDBBZyl90snerjl0
4B3RbRUP0fl2KxaBWVUfo9,Beginning,58,0.0378,0.988,0.0224,https://api.spotify.com/v1/audio-analysis/4B3RbRUP0fl2KxaBWVUfo9
7d26IhLPUlL4oncFgsms22,Blink,36,0.336,0.977,0.055,https://api.spotify.com/v1/audio-analysis/7d26IhLPUlL4oncFgsms22
1aw0BaQEC2PGp8kmYYHvyP,SLEEP,21,0.0964,0.988,0.0415,https://api.spotify.com/v1/audio-analysis/1aw0BaQEC2PGp8kmYYHvyP
7e7HTzbFsmLR0mg9QkwMPr,Still Space,35,0.942,0.994,0.000281,https://api.spotify.com/v1/audio-analysis/7e7HTzbFsmLR0mg9QkwMPr
7e7HTzbFsmLR0mg9QkwMPr,Still Space,35,0.942,0.994,0.000281,https://api.spotify.com/v1/audio-analysis/7e7HTzbFsmLR0mg9QkwMPr
7e7HTzbFsmLR0mg9QkwMPr,Still Space,35,0.942,0.994,0.000281,https://api.spotify.com/v1/audio-analysis/7e7HTzbFsmLR0mg9QkwMPr
6EXxt6R2ziKNUeClSiLg1L,Mkwaju,0,0.299,0.891,0.49,https://api.spotify.com/v1/audio-analysis/6EXxt6R2ziKNUeClSiLg1L
15Dz5HggGfcT8zJkYQCB71,Komorebi,36,0.123,0.994,0.0341,https://api.spotify.com/v1/audio-analysis/15Dz5HggGfcT8zJkYQCB71
0EaSIhl1OJGYu2RcqkIRwz,Samadhi,0,0.0363,0.896,0.0823,https://api.spotify.com/v1/audio-analysis/0EaSIhl1OJGYu2RcqkIRwz
5N6UqZGsjzxG0atwCSX2XW,Ike,0,0.389,0.978,0.181,https://api.spotify.com/v1/audio-analysis/5N6UqZGsjzxG0atwCSX2XW
75Q2oWlmhsTiM9KTbjyduU,The Plateaux Of Mirror - Remastered 2004,43,0.0344,0.988,0.0138,https://api.spotify.com/v1/audio-analysis/75Q2oWlmhsTiM9KTbjyduU
2Uy2p6tkVLj6vaVznKpNCs,"Articulate Silences, Pt. 1",39,0.032,0.99,0.0865,https://api.spotify.com/v1/audio-analysis/2Uy2p6tkVLj6vaVznKpNCs
3IL43TRkEnh4buGOZ1Brb5,Clearing,39,0.136,0.991,0.0432,https://api.spotify.com/v1/audio-analysis/3IL43TRkEnh4buGOZ1Brb5
1i8MaQec4fQXj1enX8ZWF4,Boreal Kiss Pt. 1,45,0.0894,0.528,0.0236,https://api.spotify.com/v1/audio-analysis/1i8MaQec4fQXj1enX8ZWF4
0W4VKE5bg0iUQfgMR0IZR1,Love,0,0.0377,0.829,0.206,https://api.spotify.com/v1/audio-analysis/0W4VKE5bg0iUQfgMR0IZR1
53KkH2GHmt77WtAOxo2J36,Reflection - Excerpt,21,0.0347,0.965,0.108,https://api.spotify.com/v1/audio-analysis/53KkH2GHmt77WtAOxo2J36
5Z1HyqdD5QozNnFNZA8BMK,Meditation No. 2,34,0.0359,0.989,0.0931,https://api.spotify.com/v1/audio-analysis/5Z1HyqdD5QozNnFNZA8BMK
7JQfc4yI4R8E4WOUYR7HD9,Fragment II,0,0.0299,0.956,0.0516,https://api.spotify.com/v1/audio-analysis/7JQfc4yI4R8E4WOUYR7HD9
2nBtV4NSZJiarMBMpsn6UH,Ho Renomo,33,0.06,0.97,0.175,https://api.spotify.com/v1/audio-analysis/2nBtV4NSZJiarMBMpsn6UH
4K4kedXFAuW6gn8iwgGFTw,Poa Alpina,44,0.114,0.909,0.0304,https://api.spotify.com/v1/audio-analysis/4K4kedXFAuW6gn8iwgGFTw
4K4kedXFAuW6gn8iwgGFTw,Poa Alpina,44,0.114,0.909,0.0304,https://api.spotify.com/v1/audio-analysis/4K4kedXFAuW6gn8iwgGFTw
4K4kedXFAuW6gn8iwgGFTw,Poa Alpina,44,0.114,0.909,0.0304,https://api.spotify.com/v1/audio-analysis/4K4kedXFAuW6gn8iwgGFTw
3T6hC2yWf0fsUxM7uWXkDn,Pop 1,36,0.426,0.924,0.041,https://api.spotify.com/v1/audio-analysis/3T6hC2yWf0fsUxM7uWXkDn
2rRrV0syrGGaVbVDHXESs3,Dungeoneering,39,0.0723,0.549,0.656,https://api.spotify.com/v1/audio-analysis/2rRrV0syrGGaVbVDHXESs3
6RPQdkI8t1eaG2abymrYVK,GREEN,42,0.0558,0.994,0.0128,https://api.spotify.com/v1/audio-analysis/6RPQdkI8t1eaG2abymrYVK
6RPQdkI8t1eaG2abymrYVK,GREEN,42,0.0558,0.994,0.0128,https://api.spotify.com/v1/audio-analysis/6RPQdkI8t1eaG2abymrYVK
3bCmDqflFBHijgJfvtqev5,1/1 - Remastered 2004,49,0.0368,0.982,0.00397,https://api.spotify.com/v1/audio-analysis/3bCmDqflFBHijgJfvtqev5
5DA0hwuHdu3H2OWNZtkvnj,Orientate,1,0.279,0.994,0.00185,https://api.spotify.com/v1/audio-analysis/5DA0hwuHdu3H2OWNZtkvnj
5WdRw6jL4vcXOvWckqCzgO,Atrium,1,0.0296,0.951,0.141,https://api.spotify.com/v1/audio-analysis/5WdRw6jL4vcXOvWckqCzgO
3Op3F8ipO0YQO8ps4p5kYv,Still Park - Ensemble,27,0.277,0.993,0.0754,https://api.spotify.com/v1/audio-analysis/3Op3F8ipO0YQO8ps4p5kYv
4O8E7XRXOp8TpqRUYsv0Q9,Still Sky,25,0.0618,0.995,0.00401,https://api.spotify.com/v1/audio-analysis/4O8E7XRXOp8TpqRUYsv0Q9
6lGHPfFmZGcjNv7tmTYzZ0,Glass Chattering,28,0.0852,0.98,0.129,https://api.spotify.com/v1/audio-analysis/6lGHPfFmZGcjNv7tmTYzZ0
2b7h7hMkxj5hDorhGfTGoU,Ear Dreamin',27,0.622,0.899,0.347,https://api.spotify.com/v1/audio-analysis/2b7h7hMkxj5hDorhGfTGoU
6SIBardoRzJ6gSxRS6rfH6,Seiko 3,26,0.283,0.148,0.129,https://api.spotify.com/v1/audio-analysis/6SIBardoRzJ6gSxRS6rfH6
0Bc4abgrOxonETzZupd4BE,Blink,26,0.304,0.977,0.0461,https://api.spotify.com/v1/audio-analysis/0Bc4abgrOxonETzZupd4BE
0Fcr8todn7RFAUrSWbURAj,See The Light (Abridged),27,0.0627,0.991,0.00446,https://api.spotify.com/v1/audio-analysis/0Fcr8todn7RFAUrSWbURAj
48MPwRtt4PRuC0gUZgkI48,Water Copy,37,0.425,0.945,0.000882,https://api.spotify.com/v1/audio-analysis/48MPwRtt4PRuC0gUZgkI48
