track_uri,name,popularity,valence,acousticness,energy,analysis_url
4Ja9nYFkfPS7D9qiZFMUrH,Take A Sip - Dodge & Fuski Remix,51,0.602,0.0048,0.986,https://api.spotify.com/v1/audio-analysis/4Ja9nYFkfPS7D9qiZFMUrH
0lVp0ajGZ2huxjV0LjnLI4,Naruto Bluebird Freestyle,60,0.333,0.206,0.941,https://api.spotify.com/v1/audio-analysis/0lVp0ajGZ2huxjV0LjnLI4
0MsZ9Les11qQY8NEBA9Pwd,Mayonaka no Door / Stay With Me - Club Mix,51,0.832,0.0543,0.666,https://api.spotify.com/v1/audio-analysis/0MsZ9Les11qQY8NEBA9Pwd
1g0SlTCGN9j3OicWHfSKEn,the WORLD,59,0.753,0.00353,0.904,https://api.spotify.com/v1/audio-analysis/1g0SlTCGN9j3OicWHfSKEn
1g0SlTCGN9j3OicWHfSKEn,the WORLD,59,0.753,0.00353,0.904,https://api.spotify.com/v1/audio-analysis/1g0SlTCGN9j3OicWHfSKEn
1g0SlTCGN9j3OicWHfSKEn,the WORLD,59,0.753,0.00353,0.904,https://api.spotify.com/v1/audio-analysis/1g0SlTCGN9j3OicWHfSKEn
70p3HYq9iHZisJqpDmWd1U,Guren no Yumiya,66,0.332,0.0232,0.952,https://api.spotify.com/v1/audio-analysis/70p3HYq9iHZisJqpDmWd1U
70p3HYq9iHZisJqpDmWd1U,Guren no Yumiya,66,0.332,0.0232,0.952,https://api.spotify.com/v1/audio-analysis/70p3HYq9iHZisJqpDmWd1U
3Zj9WSEjueL8UecCOC67tT,SAKURA BURST (Naeleck Remix) - SACRA BEATS Singles,47,0.158,0.0251,0.809,https://api.spotify.com/v1/audio-analysis/3Zj9WSEjueL8UecCOC67tT
3Zj9WSEjueL8UecCOC67tT,SAKURA BURST (Naeleck Remix) - SACRA BEATS Singles,47,0.158,0.0251,0.809,https://api.spotify.com/v1/audio-analysis/3Zj9WSEjueL8UecCOC67tT
4m1slXE2kaXbXVfZQ0q3Om,"The Rumbling (From ""Attack on Titan"")",46,0.593,0.0191,0.832,https://api.spotify.com/v1/audio-analysis/4m1slXE2kaXbXVfZQ0q3Om
5SuOikwiRyPMVoIQDJUgSV,Comedy,68,0.715,0.0322,0.461,https://api.spotify.com/v1/audio-analysis/5SuOikwiRyPMVoIQDJUgSV
5SuOikwiRyPMVoIQDJUgSV,Comedy,68,0.715,0.0322,0.461,https://api.spotify.com/v1/audio-analysis/5SuOikwiRyPMVoIQDJUgSV
5SuOikwiRyPMVoIQDJUgSV,Comedy,68,0.715,0.0322,0.461,https://api.spotify.com/v1/audio-analysis/5SuOikwiRyPMVoIQDJUgSV
4UPR9dSw2YcvJQAGJKPwCk,ファティマ,52,0.673,0.000273,0.926,https://api.spotify.com/v1/audio-analysis/4UPR9dSw2YcvJQAGJKPwCk
3AAvbpyyti6U6lTUynTkKc,境界線 (Naeleck Remix) - SACRA BEATS Singles,42,0.687,0.019,0.949,https://api.spotify.com/v1/audio-analysis/3AAvbpyyti6U6lTUynTkKc
3AAvbpyyti6U6lTUynTkKc,境界線 (Naeleck Remix) - SACRA BEATS Singles,42,0.687,0.019,0.949,https://api.spotify.com/v1/audio-analysis/3AAvbpyyti6U6lTUynTkKc
0OGw7V8wAI6OsZIQ12JkTP,Black Rover,64,0.529,0.00139,0.937,https://api.spotify.com/v1/audio-analysis/0OGw7V8wAI6OsZIQ12JkTP
0OGw7V8wAI6OsZIQ12JkTP,Black Rover,64,0.529,0.00139,0.937,https://api.spotify.com/v1/audio-analysis/0OGw7V8wAI6OsZIQ12JkTP
7CFwSQV0rl9oGcvOfEDJCa,ODD FUTURE,0,0.562,0.0161,0.801,https://api.spotify.com/v1/audio-analysis/7CFwSQV0rl9oGcvOfEDJCa
7CFwSQV0rl9oGcvOfEDJCa,ODD FUTURE,0,0.562,0.0161,0.801,https://api.spotify.com/v1/audio-analysis/7CFwSQV0rl9oGcvOfEDJCa
7CFwSQV0rl9oGcvOfEDJCa,ODD FUTURE,0,0.562,0.0161,0.801,https://api.spotify.com/v1/audio-analysis/7CFwSQV0rl9oGcvOfEDJCa
