track_uri,name,popularity,valence,acousticness,energy,analysis_url
4QIyEq7TcTdAcxjI2AFlAK,FEFE,0,0.376,0.088,0.387,https://api.spotify.com/v1/audio-analysis/4QIyEq7TcTdAcxjI2AFlAK
0BU7nIcCZxYSE0hYcc5oZz,Too Many Years,9,0.633,0.0233,0.704,https://api.spotify.com/v1/audio-analysis/0BU7nIcCZxYSE0hYcc5oZz
7MkylDYvKTSuWgrsBhHlsG,"Duki: Bzrp Music Sessions, Vol. 50",77,0.323,0.371,0.874,https://api.spotify.com/v1/audio-analysis/7MkylDYvKTSuWgrsBhHlsG
3e7Y6sfFlIdBMJhX7wpqVO,44 More,65,0.219,0.0718,0.584,https://api.spotify.com/v1/audio-analysis/3e7Y6sfFlIdBMJhX7wpqVO
4JmgbZqnfpQ4pn2OKHgSJb,Preparao,0,0.691,0.131,0.847,https://api.spotify.com/v1/audio-analysis/4JmgbZqnfpQ4pn2OKHgSJb
5XpnNLZd75PpnF7dbNAzOq,Merced,40,0.783,0.382,0.545,https://api.spotify.com/v1/audio-analysis/5XpnNLZd75PpnF7dbNAzOq
1H7KnK26kc1YyellpbINEn,The Woo (feat. 50 Cent & Roddy Ricch),72,0.286,0.0221,0.618,https://api.spotify.com/v1/audio-analysis/1H7KnK26kc1YyellpbINEn
6ya8ejoKgw906Y8LWclqrp,Racks in the Middle (feat. Roddy Ricch and Hit-Boy),63,0.702,0.0825,0.833,https://api.spotify.com/v1/audio-analysis/6ya8ejoKgw906Y8LWclqrp
4mIHgQ3ofK2RK34UdbqMbe,Ambition For Cash,74,0.576,0.0115,0.732,https://api.spotify.com/v1/audio-analysis/4mIHgQ3ofK2RK34UdbqMbe
0SxjNrhMwarsbcgEy0pavJ,Both,59,0.565,0.565,0.674,https://api.spotify.com/v1/audio-analysis/0SxjNrhMwarsbcgEy0pavJ
7zl7kehxesNEo2pYkKXTSe,Killer (feat. Jack Harlow & Cordae) - Remix,65,0.848,0.0525,0.73,https://api.spotify.com/v1/audio-analysis/7zl7kehxesNEo2pYkKXTSe
2eN0rxTtgxKkmVCNgizayr,Greatness,75,0.919,0.0732,0.718,https://api.spotify.com/v1/audio-analysis/2eN0rxTtgxKkmVCNgizayr
4PmMVdIFpJTB9WQbmILf4p,How We Do,75,0.637,0.0455,0.648,https://api.spotify.com/v1/audio-analysis/4PmMVdIFpJTB9WQbmILf4p
4PmMVdIFpJTB9WQbmILf4p,How We Do,75,0.637,0.0455,0.648,https://api.spotify.com/v1/audio-analysis/4PmMVdIFpJTB9WQbmILf4p
2WrldKXSBVbNNm3A9vJryi,Dance Now (feat. Kenny Mason),72,0.264,0.0919,0.475,https://api.spotify.com/v1/audio-analysis/2WrldKXSBVbNNm3A9vJryi
4iUNFztAZqeaKvxvJQ8J2V,Fuck Around and Find Out (feat. $NOT),57,0.648,0.305,0.743,https://api.spotify.com/v1/audio-analysis/4iUNFztAZqeaKvxvJQ8J2V
2JBk2XZLjS0N4x3mFHINM6,Fallout,58,0.315,0.00531,0.731,https://api.spotify.com/v1/audio-analysis/2JBk2XZLjS0N4x3mFHINM6
4CiVz4bw7X1zjCaJ5ZwxUS,Watch The World Burn,80,0.353,0.0135,0.784,https://api.spotify.com/v1/audio-analysis/4CiVz4bw7X1zjCaJ5ZwxUS
0HDaKOlVAfUWXdFR2RhBtN,Down,58,0.565,0.000179,0.922,https://api.spotify.com/v1/audio-analysis/0HDaKOlVAfUWXdFR2RhBtN
49dFv4gH1SeY90FySDOwCE,Lollipop,56,0.392,0.000484,0.893,https://api.spotify.com/v1/audio-analysis/49dFv4gH1SeY90FySDOwCE
3nsxMrnYlfBNotHRevTRgM,Rollin' (Urban Assault Vehicle),54,0.439,0.0451,0.884,https://api.spotify.com/v1/audio-analysis/3nsxMrnYlfBNotHRevTRgM
4eRfCcicjpjoCaYWylRU7m,Word Up!,0,0.809,3.05e-05,0.945,https://api.spotify.com/v1/audio-analysis/4eRfCcicjpjoCaYWylRU7m
57RKxckEkdbK7QXbN2ufzp,La Marcha De Los Tristes,51,0.701,0.157,0.764,https://api.spotify.com/v1/audio-analysis/57RKxckEkdbK7QXbN2ufzp
42TMa2hgBNjte4uV7jNCnQ,Baller,79,0.674,0.00487,0.702,https://api.spotify.com/v1/audio-analysis/42TMa2hgBNjte4uV7jNCnQ
52NGJPcLUzQq5w7uv4e5gf,Private Landing (feat. Justin Bieber & Future),82,0.435,0.0846,0.669,https://api.spotify.com/v1/audio-analysis/52NGJPcLUzQq5w7uv4e5gf
6hYCHgEJMiTtVTKhfZTOrH,On & On,47,0.66,0.519,0.911,https://api.spotify.com/v1/audio-analysis/6hYCHgEJMiTtVTKhfZTOrH
1pOIpxfrQ8AszXZdKR3aH3,Gangsta Gangsta,62,0.695,0.0279,0.698,https://api.spotify.com/v1/audio-analysis/1pOIpxfrQ8AszXZdKR3aH3
4K1DB7EedHPuVnhVrnvf2U,How I Could Just Kill a Man,60,0.63,0.00114,0.939,https://api.spotify.com/v1/audio-analysis/4K1DB7EedHPuVnhVrnvf2U
6RUpJeXT6U4SPEafnr9Wr7,Where The Hood At,69,0.792,0.151,0.948,https://api.spotify.com/v1/audio-analysis/6RUpJeXT6U4SPEafnr9Wr7
0ei5rAVjRCUQATivnVwkLN,Body Count's in the House,47,0.407,0.0328,0.953,https://api.spotify.com/v1/audio-analysis/0ei5rAVjRCUQATivnVwkLN
65iyI1iybyv5ecsfBHSdUf,Gangsta Nation,66,0.675,0.127,0.7,https://api.spotify.com/v1/audio-analysis/65iyI1iybyv5ecsfBHSdUf
7JeKXMQKm6GoLGTkNy2jZ0,If I Can't,62,0.838,0.244,0.631,https://api.spotify.com/v1/audio-analysis/7JeKXMQKm6GoLGTkNy2jZ0
5880eYQmXx3c3oD22IljIt,Why We Thugs,67,0.653,0.326,0.59,https://api.spotify.com/v1/audio-analysis/5880eYQmXx3c3oD22IljIt
4D9w3NpuwEt5IKhEMftn7M,Poppin' Them Thangs,0,0.913,0.253,0.81,https://api.spotify.com/v1/audio-analysis/4D9w3NpuwEt5IKhEMftn7M
4D9w3NpuwEt5IKhEMftn7M,Poppin' Them Thangs,0,0.913,0.253,0.81,https://api.spotify.com/v1/audio-analysis/4D9w3NpuwEt5IKhEMftn7M
3IrkbGQCoEPAkzJ0Tkv8nm,Dirt Off Your Shoulder,64,0.648,0.0321,0.657,https://api.spotify.com/v1/audio-analysis/3IrkbGQCoEPAkzJ0Tkv8nm
7MDKvOzNgAJ3KMCtaP2UOa,"Hella Hoes (feat. A$AP Rocky, A$AP Ferg, A$AP Nast & A$AP Twelvyy)",49,0.544,0.302,0.853,https://api.spotify.com/v1/audio-analysis/7MDKvOzNgAJ3KMCtaP2UOa
6Ntj4LvgVgjlprxD2JyhZS,Gangsta Boo (with Lil Tjay),77,0.765,0.139,0.578,https://api.spotify.com/v1/audio-analysis/6Ntj4LvgVgjlprxD2JyhZS
252ZECHopILLs10pMfE76N,Flip A Switch.,72,0.463,0.0756,0.535,https://api.spotify.com/v1/audio-analysis/252ZECHopILLs10pMfE76N
252ZECHopILLs10pMfE76N,Flip A Switch.,72,0.463,0.0756,0.535,https://api.spotify.com/v1/audio-analysis/252ZECHopILLs10pMfE76N
0VOMBffX1llDu37yQUt3u3,Pop Out (feat. Nardo Wick),71,0.285,0.00248,0.576,https://api.spotify.com/v1/audio-analysis/0VOMBffX1llDu37yQUt3u3
2i2qDe3dnTl6maUE31FO7c,Mad Max,75,0.68,0.0212,0.64,https://api.spotify.com/v1/audio-analysis/2i2qDe3dnTl6maUE31FO7c
2i2qDe3dnTl6maUE31FO7c,Mad Max,75,0.68,0.0212,0.64,https://api.spotify.com/v1/audio-analysis/2i2qDe3dnTl6maUE31FO7c
0jQ4mEnWB1AuSVqnFLhxT6,Hell Yeah,67,0.287,0.000113,0.708,https://api.spotify.com/v1/audio-analysis/0jQ4mEnWB1AuSVqnFLhxT6
0jQ4mEnWB1AuSVqnFLhxT6,Hell Yeah,67,0.287,0.000113,0.708,https://api.spotify.com/v1/audio-analysis/0jQ4mEnWB1AuSVqnFLhxT6
0UMqDSXk4xvoCNRrIEPf7T,King Snipe,73,0.531,0.0103,0.526,https://api.spotify.com/v1/audio-analysis/0UMqDSXk4xvoCNRrIEPf7T
0UMqDSXk4xvoCNRrIEPf7T,King Snipe,73,0.531,0.0103,0.526,https://api.spotify.com/v1/audio-analysis/0UMqDSXk4xvoCNRrIEPf7T
1a7tOEheXeaSNathZW4Gzk,Hanging With Wolves,72,0.5,0.0168,0.636,https://api.spotify.com/v1/audio-analysis/1a7tOEheXeaSNathZW4Gzk
2HcCjS1211H5SKz7pP7kCr,Lapdance,0,0.769,0.0446,0.954,https://api.spotify.com/v1/audio-analysis/2HcCjS1211H5SKz7pP7kCr
61Qah5aEk9024AEaXCgXtN,Let's Roll,53,0.204,0.000457,0.768,https://api.spotify.com/v1/audio-analysis/61Qah5aEk9024AEaXCgXtN
1vrFJDrysqmsNAgyjBzx4f,F.N.F. (Let's Go),68,0.647,0.0374,0.476,https://api.spotify.com/v1/audio-analysis/1vrFJDrysqmsNAgyjBzx4f
2gPl93XdGnfKUykwxVHUYt,Go Get It,58,0.51,0.00212,0.667,https://api.spotify.com/v1/audio-analysis/2gPl93XdGnfKUykwxVHUYt
5Sm1X46tna50RstHZvw072,Bitch Please,63,0.804,0.00838,0.697,https://api.spotify.com/v1/audio-analysis/5Sm1X46tna50RstHZvw072
6sAysiKvW3slpYkPH90uCg,Aquí Estoy Yo,0,0.593,0.252,0.564,https://api.spotify.com/v1/audio-analysis/6sAysiKvW3slpYkPH90uCg
29FljZjbNMcXlHAf2lKHbR,Mucho para Mí,65,0.57,0.303,0.485,https://api.spotify.com/v1/audio-analysis/29FljZjbNMcXlHAf2lKHbR
29FljZjbNMcXlHAf2lKHbR,Mucho para Mí,65,0.57,0.303,0.485,https://api.spotify.com/v1/audio-analysis/29FljZjbNMcXlHAf2lKHbR
4dWY6RpM9zmYvwqxrNvwtV,Tocame,76,0.714,0.198,0.367,https://api.spotify.com/v1/audio-analysis/4dWY6RpM9zmYvwqxrNvwtV
72KBDC6feOjHbiQ3x1jJ2N,No Que No Eras Fan,65,0.952,0.0204,0.682,https://api.spotify.com/v1/audio-analysis/72KBDC6feOjHbiQ3x1jJ2N
7xLYLM5K6S1TwiSdfuhZQg,Se Me Olvidó,31,0.584,0.524,0.526,https://api.spotify.com/v1/audio-analysis/7xLYLM5K6S1TwiSdfuhZQg
5bzIKQnnY1aM9evAj1sZiZ,Te Escondes,21,0.661,0.295,0.472,https://api.spotify.com/v1/audio-analysis/5bzIKQnnY1aM9evAj1sZiZ
0aJQiBqEHjsbDVOGca0j6B,DIOS Y LA MUERTE,39,0.19,0.0143,0.709,https://api.spotify.com/v1/audio-analysis/0aJQiBqEHjsbDVOGca0j6B
1ZxJvq28DUmAFZxt9lU7n6,Delivery,76,0.706,0.283,0.58,https://api.spotify.com/v1/audio-analysis/1ZxJvq28DUmAFZxt9lU7n6
5NOZMr9d0V5nN42BiRtL2p,Mar y Tierra,61,0.534,0.368,0.496,https://api.spotify.com/v1/audio-analysis/5NOZMr9d0V5nN42BiRtL2p
7fSM2taFBEB1WNZl8AOIoo,Detox,68,0.416,0.027,0.503,https://api.spotify.com/v1/audio-analysis/7fSM2taFBEB1WNZl8AOIoo
1r9Lbgiags0gJAS15Ygmc5,Gold Diggers,65,0.282,0.351,0.548,https://api.spotify.com/v1/audio-analysis/1r9Lbgiags0gJAS15Ygmc5
19OsDvOm2hw28Bqg7wo4Ox,Cicatrices,1,0.27,0.695,0.814,https://api.spotify.com/v1/audio-analysis/19OsDvOm2hw28Bqg7wo4Ox
6rwYZI7sVX2fIdTmc27flL,Volver,59,0.451,0.511,0.677,https://api.spotify.com/v1/audio-analysis/6rwYZI7sVX2fIdTmc27flL
