track_uri,name,popularity,valence,acousticness,energy,analysis_url
4EaBMhUIOfnFEbIgqCfKbi,The Phantom Of the Opera - From 'The Phantom Of The Opera' Motion Picture,60,0.354,0.168,0.608,https://api.spotify.com/v1/audio-analysis/4EaBMhUIOfnFEbIgqCfKbi
2bwSCIuNtVrQPVddCi8sOW,Where You Are,68,0.748,0.743,0.656,https://api.spotify.com/v1/audio-analysis/2bwSCIuNtVrQPVddCi8sOW
2bwSCIuNtVrQPVddCi8sOW,Where You Are,68,0.748,0.743,0.656,https://api.spotify.com/v1/audio-analysis/2bwSCIuNtVrQPVddCi8sOW
4CweuuMMzi71pO0MSRgyaT,Kiss Kiss (feat. T-Pain),0,0.58,0.0219,0.52,https://api.spotify.com/v1/audio-analysis/4CweuuMMzi71pO0MSRgyaT
5LlsD7LdSMkGV4Iu0a2Zq0,Waste A Moment,66,0.537,0.000861,0.85,https://api.spotify.com/v1/audio-analysis/5LlsD7LdSMkGV4Iu0a2Zq0
0v9kGNjkKdQUdDoBIuiph4,My Prerogative,60,0.696,0.0655,0.625,https://api.spotify.com/v1/audio-analysis/0v9kGNjkKdQUdDoBIuiph4
3Kt0PZpBn7W0dVPq7cruy3,I Want to Be Your Man,21,0.442,0.0548,0.515,https://api.spotify.com/v1/audio-analysis/3Kt0PZpBn7W0dVPq7cruy3
67j0ZucyzdfMGWLe2kh6Ze,I Like,53,0.6,0.0218,0.832,https://api.spotify.com/v1/audio-analysis/67j0ZucyzdfMGWLe2kh6Ze
3BwkldhE22DdxOcXegF2Kv,Bananza (Belly Dancer),64,0.69,0.0334,0.702,https://api.spotify.com/v1/audio-analysis/3BwkldhE22DdxOcXegF2Kv
5zpDHEU12zATwLGvozxPw2,Lighters,67,0.144,0.352,0.695,https://api.spotify.com/v1/audio-analysis/5zpDHEU12zATwLGvozxPw2
4dneV7C1yDt9UtyxrQY375,Boys Don't Cry - Single Version,67,0.689,0.00486,0.841,https://api.spotify.com/v1/audio-analysis/4dneV7C1yDt9UtyxrQY375
48EXG2v68ycf8HAVkudTRE,Do It Again,12,0.765,0.0611,0.509,https://api.spotify.com/v1/audio-analysis/48EXG2v68ycf8HAVkudTRE
07ABETRdek3ACMpRPvQuaT,Always on My Mind,70,0.726,0.0116,0.783,https://api.spotify.com/v1/audio-analysis/07ABETRdek3ACMpRPvQuaT
5SuOikwiRyPMVoIQDJUgSV,Comedy,68,0.715,0.0322,0.461,https://api.spotify.com/v1/audio-analysis/5SuOikwiRyPMVoIQDJUgSV
