track_uri,name,popularity,valence,acousticness,energy,analysis_url
5Sf7xPHiezqlvGKyFcOuaA,The Joker,0,0.835,0.328,0.432,https://api.spotify.com/v1/audio-analysis/5Sf7xPHiezqlvGKyFcOuaA
5KaQzrUnjPYEJI3ajUHNat,Flow,0,0.123,0.125,0.381,https://api.spotify.com/v1/audio-analysis/5KaQzrUnjPYEJI3ajUHNat
0JqoWsqZNhmUidgll7C7HQ,Bad Moon Rising,0,0.823,0.0144,0.857,https://api.spotify.com/v1/audio-analysis/0JqoWsqZNhmUidgll7C7HQ
4JVmESg1JVr2WqecNqFnch,Walking Back To Georgia,0,0.809,0.776,0.445,https://api.spotify.com/v1/audio-analysis/4JVmESg1JVr2WqecNqFnch
0jMyU6bO52IYhAEoWbT4K9,Willin',56,0.742,0.175,0.662,https://api.spotify.com/v1/audio-analysis/0jMyU6bO52IYhAEoWbT4K9
61BywQA7q8KjpGjp3rHuRv,Flirtin' with Disaster,59,0.739,0.00153,0.821,https://api.spotify.com/v1/audio-analysis/61BywQA7q8KjpGjp3rHuRv
61BywQA7q8KjpGjp3rHuRv,Flirtin' with Disaster,59,0.739,0.00153,0.821,https://api.spotify.com/v1/audio-analysis/61BywQA7q8KjpGjp3rHuRv
61BywQA7q8KjpGjp3rHuRv,Flirtin' with Disaster,59,0.739,0.00153,0.821,https://api.spotify.com/v1/audio-analysis/61BywQA7q8KjpGjp3rHuRv
61BywQA7q8KjpGjp3rHuRv,Flirtin' with Disaster,59,0.739,0.00153,0.821,https://api.spotify.com/v1/audio-analysis/61BywQA7q8KjpGjp3rHuRv
3lzYx9dpCNw6CkttQe6SlE,Soulshine,49,0.262,0.497,0.586,https://api.spotify.com/v1/audio-analysis/3lzYx9dpCNw6CkttQe6SlE
3UQA4UTVqcI0VtSQ38nlq1,Let It Ride,58,0.821,0.107,0.818,https://api.spotify.com/v1/audio-analysis/3UQA4UTVqcI0VtSQ38nlq1
44xWtabQzBHKXxD0UVLSNQ,Last Name,57,0.688,0.194,0.869,https://api.spotify.com/v1/audio-analysis/44xWtabQzBHKXxD0UVLSNQ
0FMhMAFPLg8EljnROSoVnj,La Grange - 1999 Remaster,52,0.533,0.00494,0.651,https://api.spotify.com/v1/audio-analysis/0FMhMAFPLg8EljnROSoVnj
0FMhMAFPLg8EljnROSoVnj,La Grange - 1999 Remaster,52,0.533,0.00494,0.651,https://api.spotify.com/v1/audio-analysis/0FMhMAFPLg8EljnROSoVnj
4BxfXnGbnlibcUUPKog7Ne,Green Grass & High Tides - Remastered,44,0.584,0.000421,0.828,https://api.spotify.com/v1/audio-analysis/4BxfXnGbnlibcUUPKog7Ne
4BxfXnGbnlibcUUPKog7Ne,Green Grass & High Tides - Remastered,44,0.584,0.000421,0.828,https://api.spotify.com/v1/audio-analysis/4BxfXnGbnlibcUUPKog7Ne
4BxfXnGbnlibcUUPKog7Ne,Green Grass & High Tides - Remastered,44,0.584,0.000421,0.828,https://api.spotify.com/v1/audio-analysis/4BxfXnGbnlibcUUPKog7Ne
1Zm8KrD8YepMmCQmQcrtfp,Love Her Madly,0,0.966,0.0556,0.584,https://api.spotify.com/v1/audio-analysis/1Zm8KrD8YepMmCQmQcrtfp
5IJWnvJJgH4PR4p9aXnNCQ,Jealous Again,55,0.674,0.111,0.842,https://api.spotify.com/v1/audio-analysis/5IJWnvJJgH4PR4p9aXnNCQ
6qiVgv4lsideE8c1Bxc867,Brown Sugar,0,0.966,0.212,0.925,https://api.spotify.com/v1/audio-analysis/6qiVgv4lsideE8c1Bxc867
2bPg5VMINVxErc926XcyOu,Have You Ever Seen The Rain,0,0.84,0.0642,0.688,https://api.spotify.com/v1/audio-analysis/2bPg5VMINVxErc926XcyOu
4delgtiKX7L3nsbC0exhCS,Fire on the Mountain,58,0.571,0.107,0.827,https://api.spotify.com/v1/audio-analysis/4delgtiKX7L3nsbC0exhCS
4delgtiKX7L3nsbC0exhCS,Fire on the Mountain,58,0.571,0.107,0.827,https://api.spotify.com/v1/audio-analysis/4delgtiKX7L3nsbC0exhCS
4delgtiKX7L3nsbC0exhCS,Fire on the Mountain,58,0.571,0.107,0.827,https://api.spotify.com/v1/audio-analysis/4delgtiKX7L3nsbC0exhCS
4delgtiKX7L3nsbC0exhCS,Fire on the Mountain,58,0.571,0.107,0.827,https://api.spotify.com/v1/audio-analysis/4delgtiKX7L3nsbC0exhCS
4delgtiKX7L3nsbC0exhCS,Fire on the Mountain,58,0.571,0.107,0.827,https://api.spotify.com/v1/audio-analysis/4delgtiKX7L3nsbC0exhCS
2sXtpY9mCTXnUTUSQqrXbX,Green Grass & High Tides,53,0.585,4.18e-05,0.876,https://api.spotify.com/v1/audio-analysis/2sXtpY9mCTXnUTUSQqrXbX
5bSpsKGoGKXOOfg7F3ZtKz,"Train, Train",54,0.754,0.015,0.807,https://api.spotify.com/v1/audio-analysis/5bSpsKGoGKXOOfg7F3ZtKz
5bSpsKGoGKXOOfg7F3ZtKz,"Train, Train",54,0.754,0.015,0.807,https://api.spotify.com/v1/audio-analysis/5bSpsKGoGKXOOfg7F3ZtKz
5bSpsKGoGKXOOfg7F3ZtKz,"Train, Train",54,0.754,0.015,0.807,https://api.spotify.com/v1/audio-analysis/5bSpsKGoGKXOOfg7F3ZtKz
16pGi1ZNrsPvx5TD8oFleb,Left Turn on a Red Light,40,0.717,0.518,0.749,https://api.spotify.com/v1/audio-analysis/16pGi1ZNrsPvx5TD8oFleb
5rMNQfYhBMlyitrMAiwQfc,I Know What I Am,44,0.559,0.175,0.904,https://api.spotify.com/v1/audio-analysis/5rMNQfYhBMlyitrMAiwQfc
2hv2NiSq8p4pgL28pxcqAJ,Trouble No More,49,0.858,0.0581,0.567,https://api.spotify.com/v1/audio-analysis/2hv2NiSq8p4pgL28pxcqAJ
3b9xTm2eiaCRTGqUEWuzxc,I'm Glad Trouble Don't Last Always,43,0.286,0.000545,0.522,https://api.spotify.com/v1/audio-analysis/3b9xTm2eiaCRTGqUEWuzxc
7a014uMHF3nlqzXCxV551C,Soulshine,54,0.559,0.125,0.556,https://api.spotify.com/v1/audio-analysis/7a014uMHF3nlqzXCxV551C
7a014uMHF3nlqzXCxV551C,Soulshine,54,0.559,0.125,0.556,https://api.spotify.com/v1/audio-analysis/7a014uMHF3nlqzXCxV551C
5xpfodSZvstNnuvv0qXg3Y,Susie Q,0,0.864,0.0136,0.644,https://api.spotify.com/v1/audio-analysis/5xpfodSZvstNnuvv0qXg3Y
4WeeCdOInoH5HyO8xcxiAt,Them Shoes,49,0.471,0.426,0.394,https://api.spotify.com/v1/audio-analysis/4WeeCdOInoH5HyO8xcxiAt
