track_uri,name,popularity,valence,acousticness,energy,analysis_url
3Kd6Wp3lG5HXMB2dlvuy7y,Death,63,0.613,0.0579,0.82,https://api.spotify.com/v1/audio-analysis/3Kd6Wp3lG5HXMB2dlvuy7y
0nhVrTiCGiGRCoZOJiWzm1,Danger (with Migos & Marshmello),61,0.367,0.152,0.743,https://api.spotify.com/v1/audio-analysis/0nhVrTiCGiGRCoZOJiWzm1
0aJ2hFC6e9Z00Lx9RIRNcT,SWISH,57,0.274,0.0831,0.541,https://api.spotify.com/v1/audio-analysis/0aJ2hFC6e9Z00Lx9RIRNcT
1jq28NGw6wdtFKx8MBPy6C,Burn It to the Ground,72,0.6,0.000247,0.922,https://api.spotify.com/v1/audio-analysis/1jq28NGw6wdtFKx8MBPy6C
2wdEXKLcuU7B0M2gqFmABH,Photograph,48,0.385,0.000932,0.876,https://api.spotify.com/v1/audio-analysis/2wdEXKLcuU7B0M2gqFmABH
0fcq51a3gOI6gPvzc0YLsk,Wow. - Remix,61,0.486,0.148,0.64,https://api.spotify.com/v1/audio-analysis/0fcq51a3gOI6gPvzc0YLsk
4ntwMws17qmbQUI1NemGqd,Seven Nation Army,66,0.276,0.00694,0.832,https://api.spotify.com/v1/audio-analysis/4ntwMws17qmbQUI1NemGqd
3k3qnPZO2vkNZ4ekdwt2b5,Grinding All My Life,35,0.232,0.0561,0.709,https://api.spotify.com/v1/audio-analysis/3k3qnPZO2vkNZ4ekdwt2b5
3k3qnPZO2vkNZ4ekdwt2b5,Grinding All My Life,35,0.232,0.0561,0.709,https://api.spotify.com/v1/audio-analysis/3k3qnPZO2vkNZ4ekdwt2b5
2wZjsbwmWfNVslgV5afl1L,Out The Mud,59,0.25,0.00944,0.497,https://api.spotify.com/v1/audio-analysis/2wZjsbwmWfNVslgV5afl1L
1rYC34UUszS0QzzECNRhYb,Haute (feat. J Balvin & Chris Brown),49,0.349,0.0778,0.723,https://api.spotify.com/v1/audio-analysis/1rYC34UUszS0QzzECNRhYb
