track_uri,name,popularity,valence,acousticness,energy,analysis_url
4z7e5sL3mDShFORRf8k1pl,Are You Gonna Be My Girl,38,0.678,0.74,0.701,https://api.spotify.com/v1/audio-analysis/4z7e5sL3mDShFORRf8k1pl
047BRyvg109rscwoOBRBHV,Call Me Maybe,29,0.487,0.79,0.614,https://api.spotify.com/v1/audio-analysis/047BRyvg109rscwoOBRBHV
1jZRJKE7GZdiZzVgMS9mv2,All About That Bass,46,0.606,0.779,0.463,https://api.spotify.com/v1/audio-analysis/1jZRJKE7GZdiZzVgMS9mv2
39A4zqR22ecZ2DS9FYfbVu,Sweet Child O' Mine,0,0.767,0.637,0.481,https://api.spotify.com/v1/audio-analysis/39A4zqR22ecZ2DS9FYfbVu
23grVfhbq3eyAStQKrBDiY,Get Lucky,0,0.654,0.28,0.836,https://api.spotify.com/v1/audio-analysis/23grVfhbq3eyAStQKrBDiY
4l52LL7FmhrUXF1F9zV62c,Gangsta's Paradise,44,0.624,0.697,0.513,https://api.spotify.com/v1/audio-analysis/4l52LL7FmhrUXF1F9zV62c
0aTwyjfuMMOVDbxwXcbAxW,Never Gonna Give You Up,26,0.536,0.74,0.553,https://api.spotify.com/v1/audio-analysis/0aTwyjfuMMOVDbxwXcbAxW
4epGT7atan4jwOBVneXKKQ,Roxanne,29,0.611,0.28,0.584,https://api.spotify.com/v1/audio-analysis/4epGT7atan4jwOBVneXKKQ
4Z9hVYrvYXSQFggzzyDzda,I Will Survive,32,0.514,0.736,0.753,https://api.spotify.com/v1/audio-analysis/4Z9hVYrvYXSQFggzzyDzda
34X8sCTs81AWXD8hhbTZVn,I Kissed A Girl,37,0.709,0.546,0.665,https://api.spotify.com/v1/audio-analysis/34X8sCTs81AWXD8hhbTZVn
598ioS7kbtHNBemw00dRqh,Umbrella,34,0.952,0.438,0.879,https://api.spotify.com/v1/audio-analysis/598ioS7kbtHNBemw00dRqh
6YYu8qFzcY1ZyzzsJIQM12,"Straight, No Chaser",49,0.62,0.41,0.35,https://api.spotify.com/v1/audio-analysis/6YYu8qFzcY1ZyzzsJIQM12
7iOTBeLm5qR9N23fjQy8Kl,Sandu,44,0.471,0.633,0.447,https://api.spotify.com/v1/audio-analysis/7iOTBeLm5qR9N23fjQy8Kl
2ul1uIgptw43J3BkpA2g69,Blue Monk,34,0.616,0.767,0.367,https://api.spotify.com/v1/audio-analysis/2ul1uIgptw43J3BkpA2g69
63kd4m3VFxcJjPVVtbVNAu,"Hello, Dolly!",64,0.0,0.842,0.405,https://api.spotify.com/v1/audio-analysis/63kd4m3VFxcJjPVVtbVNAu
5MdHvAvlmQJ3JHIvIK9uXz,Java,39,0.963,0.803,0.721,https://api.spotify.com/v1/audio-analysis/5MdHvAvlmQJ3JHIvIK9uXz
321GAfnZqnoWNI1KxIju3i,"It's Been A Long, Long Time",37,0.461,0.813,0.14,https://api.spotify.com/v1/audio-analysis/321GAfnZqnoWNI1KxIju3i
4S3DXtdTdgOIezKgu8DR0M,Summer Montage / Madeline,54,0.653,0.113,0.502,https://api.spotify.com/v1/audio-analysis/4S3DXtdTdgOIezKgu8DR0M
15JFs1LvWaN5MeymSBxaO1,Crazy In Love - Kid Koala Version,42,0.519,0.44,0.784,https://api.spotify.com/v1/audio-analysis/15JFs1LvWaN5MeymSBxaO1
5yGs5BtZC9uN1VW0lKfgwz,Walking on Sunshine,36,0.765,0.952,0.39,https://api.spotify.com/v1/audio-analysis/5yGs5BtZC9uN1VW0lKfgwz
5e0O7MjhNHq9G67qDFM8nR,"Monsters, Inc.",54,0.847,0.743,0.465,https://api.spotify.com/v1/audio-analysis/5e0O7MjhNHq9G67qDFM8nR
2AATCpoin3pSsUwjLKNCYe,Manhattan Serenade,20,0.406,0.98,0.0804,https://api.spotify.com/v1/audio-analysis/2AATCpoin3pSsUwjLKNCYe
7uyZDmvtrj60HzN1OmV3ZC,Moonglow - Take 1,45,0.301,0.993,0.113,https://api.spotify.com/v1/audio-analysis/7uyZDmvtrj60HzN1OmV3ZC
4rHjZlNFyBhY6CgjlR5y5W,Woodchopper's Ball,43,0.918,0.768,0.416,https://api.spotify.com/v1/audio-analysis/4rHjZlNFyBhY6CgjlR5y5W
4rHjZlNFyBhY6CgjlR5y5W,Woodchopper's Ball,43,0.918,0.768,0.416,https://api.spotify.com/v1/audio-analysis/4rHjZlNFyBhY6CgjlR5y5W
2bPHsoMQp5jCBH2WTLFrAN,Moonlight Cocktail,30,0.352,0.987,0.127,https://api.spotify.com/v1/audio-analysis/2bPHsoMQp5jCBH2WTLFrAN
6M1oqntTIPSlotKT2IFDC2,You Made Me Love You,32,0.24,0.942,0.173,https://api.spotify.com/v1/audio-analysis/6M1oqntTIPSlotKT2IFDC2
4qOLgJuKH0kzZlaaNnj2gE,Sleepy Time Gal,37,0.502,0.982,0.0247,https://api.spotify.com/v1/audio-analysis/4qOLgJuKH0kzZlaaNnj2gE
0uqyI0sT4CJeNHt1rUuSBt,When You Wish Upon A Star,39,0.402,0.958,0.211,https://api.spotify.com/v1/audio-analysis/0uqyI0sT4CJeNHt1rUuSBt
3LN8pyCUQji0qVzuczFal7,A You’re Adorable,30,0.772,0.949,0.221,https://api.spotify.com/v1/audio-analysis/3LN8pyCUQji0qVzuczFal7
3XDharvL8vEyxdQwOQKmww,"On the Sunny Side of the Street (From ""Is Everybody Happy?"")",34,0.58,0.969,0.175,https://api.spotify.com/v1/audio-analysis/3XDharvL8vEyxdQwOQKmww
40R1HJ8gH1DnMk07qbvfOo,"I Cover The Waterfront (from the film ""I Cover The Waterfront"")",20,0.313,0.956,0.21,https://api.spotify.com/v1/audio-analysis/40R1HJ8gH1DnMk07qbvfOo
0ytU8yFqYCvjWVeWSSYJJ8,On The Alamo,0,0.264,0.782,0.165,https://api.spotify.com/v1/audio-analysis/0ytU8yFqYCvjWVeWSSYJJ8
1GFBBzqU8trjyVgpLB6Acm,Tuxedo Junction,39,0.412,0.933,0.108,https://api.spotify.com/v1/audio-analysis/1GFBBzqU8trjyVgpLB6Acm
7t0NtfigKsXkg4SgWS2x99,Don't Fence Me In - Single Version,36,0.485,0.978,0.0665,https://api.spotify.com/v1/audio-analysis/7t0NtfigKsXkg4SgWS2x99
3s8K5qEnKnqI0UJussDgjR,Yardbird Suite,34,0.792,0.954,0.275,https://api.spotify.com/v1/audio-analysis/3s8K5qEnKnqI0UJussDgjR
6ZgaUtMlUzUf7SqbUUnfbu,Blue Train - Remastered 2003/Rudy Van Gelder Edition,49,0.584,0.798,0.493,https://api.spotify.com/v1/audio-analysis/6ZgaUtMlUzUf7SqbUUnfbu
0T1EaGm6b9eM7xBf4F1hlc,Maiden Voyage - Remastered,48,0.178,0.719,0.459,https://api.spotify.com/v1/audio-analysis/0T1EaGm6b9eM7xBf4F1hlc
0488kXJ1YnLMrrM1ssJnev,Monk's Dream - Take 8,44,0.77,0.572,0.278,https://api.spotify.com/v1/audio-analysis/0488kXJ1YnLMrrM1ssJnev
6qAWJdpqAhaE6Yqy15Omax,Strangers In The Night - Remastered ) [The Frank Sinatra Collection],0,0.503,0.672,0.509,https://api.spotify.com/v1/audio-analysis/6qAWJdpqAhaE6Yqy15Omax
0MMy2woCrE5TQkB0wilnzC,That's Life - Remastered ) [The Frank Sinatra Collection],0,0.556,0.55,0.632,https://api.spotify.com/v1/audio-analysis/0MMy2woCrE5TQkB0wilnzC
09ityNOMUHKZ1sldYGWRCk,Fly Me To The Moon - Remastered ) [The Frank Sinatra Collection],0,0.372,0.549,0.298,https://api.spotify.com/v1/audio-analysis/09ityNOMUHKZ1sldYGWRCk
5Fn2zUZIbQV7ThUwkQXCg0,One O'Clock Jump,0,0.745,0.867,0.483,https://api.spotify.com/v1/audio-analysis/5Fn2zUZIbQV7ThUwkQXCg0
6a2qlF2ut9aADsyry2v2h0,Pennsylvania 6-5000,0,0.745,0.972,0.204,https://api.spotify.com/v1/audio-analysis/6a2qlF2ut9aADsyry2v2h0
6a2qlF2ut9aADsyry2v2h0,Pennsylvania 6-5000,0,0.745,0.972,0.204,https://api.spotify.com/v1/audio-analysis/6a2qlF2ut9aADsyry2v2h0
6a2qlF2ut9aADsyry2v2h0,Pennsylvania 6-5000,0,0.745,0.972,0.204,https://api.spotify.com/v1/audio-analysis/6a2qlF2ut9aADsyry2v2h0
6lxr0Dmk3Rvv237h8mZl1m,In the Mood,0,0.526,0.934,0.381,https://api.spotify.com/v1/audio-analysis/6lxr0Dmk3Rvv237h8mZl1m
2PYObeUbZHzWbXl5LaOEKx,Begin The Beguine,0,0.509,0.991,0.231,https://api.spotify.com/v1/audio-analysis/2PYObeUbZHzWbXl5LaOEKx
6YSqgWIvzhQsnCeYwWde2s,On the Sunny Side of the Street,36,0.656,0.945,0.174,https://api.spotify.com/v1/audio-analysis/6YSqgWIvzhQsnCeYwWde2s
33AQrZLpxjDsqJxIPaSVNe,After You've Gone,0,0.913,0.882,0.444,https://api.spotify.com/v1/audio-analysis/33AQrZLpxjDsqJxIPaSVNe
5YtcHwvM9O2BayUOsghqhO,Whirly-Bird,35,0.854,0.73,0.536,https://api.spotify.com/v1/audio-analysis/5YtcHwvM9O2BayUOsghqhO
5YtcHwvM9O2BayUOsghqhO,Whirly-Bird,35,0.854,0.73,0.536,https://api.spotify.com/v1/audio-analysis/5YtcHwvM9O2BayUOsghqhO
5crzhw9xiWFMF2NDZzk6eb,Perhaps,46,0.768,0.449,0.485,https://api.spotify.com/v1/audio-analysis/5crzhw9xiWFMF2NDZzk6eb
0RluX0auLYdKAZxWQZpLiG,Love Me As Though There Were No Tomorrow - Remastered,43,0.122,0.901,0.266,https://api.spotify.com/v1/audio-analysis/0RluX0auLYdKAZxWQZpLiG
4S1PQu6IPLn3KPocEXp0T4,When I Fall in Love,0,0.0897,0.814,0.171,https://api.spotify.com/v1/audio-analysis/4S1PQu6IPLn3KPocEXp0T4
5TjO0GOOon3R6YOnRFPwzk,Chicago,48,0.778,0.943,0.285,https://api.spotify.com/v1/audio-analysis/5TjO0GOOon3R6YOnRFPwzk
5TjO0GOOon3R6YOnRFPwzk,Chicago,48,0.778,0.943,0.285,https://api.spotify.com/v1/audio-analysis/5TjO0GOOon3R6YOnRFPwzk
4qdF7iTMOWPLZrH7s6yfZk,Papa Loves Mambo,2,0.747,0.512,0.498,https://api.spotify.com/v1/audio-analysis/4qdF7iTMOWPLZrH7s6yfZk
4qdF7iTMOWPLZrH7s6yfZk,Papa Loves Mambo,2,0.747,0.512,0.498,https://api.spotify.com/v1/audio-analysis/4qdF7iTMOWPLZrH7s6yfZk
3dcMbvaYRwHFXnDF9CozIs,Sway (Quien Sera) - 1997 - Remastered,0,0.583,0.727,0.288,https://api.spotify.com/v1/audio-analysis/3dcMbvaYRwHFXnDF9CozIs
4Q5cK2G0oSTO8Col01lB54,A String of Pearls,42,0.729,0.942,0.223,https://api.spotify.com/v1/audio-analysis/4Q5cK2G0oSTO8Col01lB54
4Q5cK2G0oSTO8Col01lB54,A String of Pearls,42,0.729,0.942,0.223,https://api.spotify.com/v1/audio-analysis/4Q5cK2G0oSTO8Col01lB54
