track_uri,name,popularity,valence,acousticness,energy,analysis_url
5tHlKei7IIgA29Vef05NYa,Us - A COLORS SHOW,57,0.425,0.972,0.297,https://api.spotify.com/v1/audio-analysis/5tHlKei7IIgA29Vef05NYa
5FBf12F4ry9TXoZAvISu6F,A Day In The Life,53,0.349,0.564,0.364,https://api.spotify.com/v1/audio-analysis/5FBf12F4ry9TXoZAvISu6F
1n5EMtOURoBwUV4l4bJN0d,"Mercy, Mercy, Mercy",27,0.405,0.73,0.261,https://api.spotify.com/v1/audio-analysis/1n5EMtOURoBwUV4l4bJN0d
4EPwpBN0t11bIxjsAI8oaF,To Love You All Over Again,56,0.412,0.856,0.334,https://api.spotify.com/v1/audio-analysis/4EPwpBN0t11bIxjsAI8oaF
58503CUisVdmIPN3xqf2Tx,What A Difference A Day Made,0,0.395,0.856,0.321,https://api.spotify.com/v1/audio-analysis/58503CUisVdmIPN3xqf2Tx
1GGK81j5LaThJjnJHhfGDq,Just The Way You Are,60,0.456,0.804,0.348,https://api.spotify.com/v1/audio-analysis/1GGK81j5LaThJjnJHhfGDq
1EUj3EeDYX5yldkBXkNDJP,Your Heart Is As Black As Night,52,0.125,0.851,0.326,https://api.spotify.com/v1/audio-analysis/1EUj3EeDYX5yldkBXkNDJP
38xcUjiTP1ivfb7ObwjyGA,Watermelon Man - Remastered,54,0.594,0.727,0.526,https://api.spotify.com/v1/audio-analysis/38xcUjiTP1ivfb7ObwjyGA
38xcUjiTP1ivfb7ObwjyGA,Watermelon Man - Remastered,54,0.594,0.727,0.526,https://api.spotify.com/v1/audio-analysis/38xcUjiTP1ivfb7ObwjyGA
18A1V1vsy5YgHFqb4galTw,Chitlins Con Carne,51,0.786,0.579,0.335,https://api.spotify.com/v1/audio-analysis/18A1V1vsy5YgHFqb4galTw
18A1V1vsy5YgHFqb4galTw,Chitlins Con Carne,51,0.786,0.579,0.335,https://api.spotify.com/v1/audio-analysis/18A1V1vsy5YgHFqb4galTw
10kVwPSRjUYja0EtdqmXHe,Dig Dis - Remastered 1999/Rudy Van Gelder Edition,50,0.508,0.82,0.444,https://api.spotify.com/v1/audio-analysis/10kVwPSRjUYja0EtdqmXHe
10kVwPSRjUYja0EtdqmXHe,Dig Dis - Remastered 1999/Rudy Van Gelder Edition,50,0.508,0.82,0.444,https://api.spotify.com/v1/audio-analysis/10kVwPSRjUYja0EtdqmXHe
7CnOzCWGrTINcDExG6u99y,Cool Struttin',46,0.48,0.837,0.48,https://api.spotify.com/v1/audio-analysis/7CnOzCWGrTINcDExG6u99y
4kGuyWcUz59MVQB3Z9021D,On Late Nights,54,0.196,0.965,0.0542,https://api.spotify.com/v1/audio-analysis/4kGuyWcUz59MVQB3Z9021D
4kGuyWcUz59MVQB3Z9021D,On Late Nights,54,0.196,0.965,0.0542,https://api.spotify.com/v1/audio-analysis/4kGuyWcUz59MVQB3Z9021D
