track_uri,name,popularity,valence,acousticness,energy,analysis_url
0KiRc3f3OI9C7s0S1QjQNO,Dystopia,54,0.156,6.96e-05,0.988,https://api.spotify.com/v1/audio-analysis/0KiRc3f3OI9C7s0S1QjQNO
0KiRc3f3OI9C7s0S1QjQNO,Dystopia,54,0.156,6.96e-05,0.988,https://api.spotify.com/v1/audio-analysis/0KiRc3f3OI9C7s0S1QjQNO
3KAS4vmuvRGP2BUQcxmu5i,"Well, Everybody's Fucking In A U.F.O.",54,0.573,0.000111,0.907,https://api.spotify.com/v1/audio-analysis/3KAS4vmuvRGP2BUQcxmu5i
55mJleti2WfWEFNFcBduhc,Schism,68,0.191,0.0012,0.714,https://api.spotify.com/v1/audio-analysis/55mJleti2WfWEFNFcBduhc
55mJleti2WfWEFNFcBduhc,Schism,68,0.191,0.0012,0.714,https://api.spotify.com/v1/audio-analysis/55mJleti2WfWEFNFcBduhc
6DyywdbmTzlmXBzG9ym7Rt,Sober,67,0.187,0.000183,0.673,https://api.spotify.com/v1/audio-analysis/6DyywdbmTzlmXBzG9ym7Rt
7zAt4tdL44D3VuzsvM0N8n,Afterlife,69,0.406,0.000429,0.949,https://api.spotify.com/v1/audio-analysis/7zAt4tdL44D3VuzsvM0N8n
2PpNgmrS9mAyrkRAwn6YPq,Rainbow in the Dark,63,0.612,0.000692,0.947,https://api.spotify.com/v1/audio-analysis/2PpNgmrS9mAyrkRAwn6YPq
5YtuCpItTVgET1biEqJsqE,Blow,52,0.702,0.000579,0.961,https://api.spotify.com/v1/audio-analysis/5YtuCpItTVgET1biEqJsqE
5KTBaWu8IOczQ0sPWzZ7MY,Dicke Titten,71,0.565,0.0205,0.823,https://api.spotify.com/v1/audio-analysis/5KTBaWu8IOczQ0sPWzZ7MY
5KTBaWu8IOczQ0sPWzZ7MY,Dicke Titten,71,0.565,0.0205,0.823,https://api.spotify.com/v1/audio-analysis/5KTBaWu8IOczQ0sPWzZ7MY
3wzAXBZ6mhuYEzf2IJAbDc,Of the Abyss,59,0.107,3.1e-05,0.888,https://api.spotify.com/v1/audio-analysis/3wzAXBZ6mhuYEzf2IJAbDc
6rLEeo9rNT87t2xHry8xUl,The Saw Is the Law,51,0.216,0.000569,0.994,https://api.spotify.com/v1/audio-analysis/6rLEeo9rNT87t2xHry8xUl
4evo7dv7goRstcgHFhcJMQ,Blood in the Sands of Time,42,0.117,1.12e-05,0.954,https://api.spotify.com/v1/audio-analysis/4evo7dv7goRstcgHFhcJMQ
1lATXTBJDHwawvT1UfxWu3,The Pot,67,0.466,0.000148,0.79,https://api.spotify.com/v1/audio-analysis/1lATXTBJDHwawvT1UfxWu3
6KnNDix4Owr4vNmsPhLmxD,Feel So Numb,62,0.141,4.3e-05,0.889,https://api.spotify.com/v1/audio-analysis/6KnNDix4Owr4vNmsPhLmxD
1hqrYSqvNc9x3BETX1cZhk,Shout At The Devil,1,0.447,0.02,0.953,https://api.spotify.com/v1/audio-analysis/1hqrYSqvNc9x3BETX1cZhk
1hqrYSqvNc9x3BETX1cZhk,Shout At The Devil,1,0.447,0.02,0.953,https://api.spotify.com/v1/audio-analysis/1hqrYSqvNc9x3BETX1cZhk
