track_uri,name,popularity,valence,acousticness,energy,analysis_url
4BTp7Ad6LZMebeYc3gQIfP,The Infamous Bill,49,0.927,0.0129,0.837,https://api.spotify.com/v1/audio-analysis/4BTp7Ad6LZMebeYc3gQIfP
4faiTk0Vx86PcE5TJ3sQnz,Smile,46,0.433,0.379,0.64,https://api.spotify.com/v1/audio-analysis/4faiTk0Vx86PcE5TJ3sQnz
6CKMbke67ujzy1R7xYdQz2,Soulful,51,0.11,0.494,0.339,https://api.spotify.com/v1/audio-analysis/6CKMbke67ujzy1R7xYdQz2
1ZTDfHyxJJVBSkFA9h6GRs,BUS RIDE,0,0.688,0.0101,0.438,https://api.spotify.com/v1/audio-analysis/1ZTDfHyxJJVBSkFA9h6GRs
3U8dhK8wiVtsdmj7jwUJlB,Lava/Treacle,0,0.675,0.404,0.314,https://api.spotify.com/v1/audio-analysis/3U8dhK8wiVtsdmj7jwUJlB
5iwTDcZSrVq71HjMjNno5c,Green Eyes,48,0.899,0.302,0.735,https://api.spotify.com/v1/audio-analysis/5iwTDcZSrVq71HjMjNno5c
6HWBodtTNOIrnGsNwV1lX8,Smoke and Mirrors,0,0.414,0.111,0.751,https://api.spotify.com/v1/audio-analysis/6HWBodtTNOIrnGsNwV1lX8
6jvqaaUtBmcnxQnf5XKzFo,Windows,0,0.668,0.147,0.635,https://api.spotify.com/v1/audio-analysis/6jvqaaUtBmcnxQnf5XKzFo
6CzeDNEqTiquePMaMUtsH2,Mandala,0,0.619,0.121,0.625,https://api.spotify.com/v1/audio-analysis/6CzeDNEqTiquePMaMUtsH2
6j1GazXT78zw8orKRsZVt5,Apollo's Mood,47,0.734,0.0431,0.693,https://api.spotify.com/v1/audio-analysis/6j1GazXT78zw8orKRsZVt5
3Rl8k5Daz5w5zHYSJz5lHA,It's a Moot Point,1,0.696,0.221,0.66,https://api.spotify.com/v1/audio-analysis/3Rl8k5Daz5w5zHYSJz5lHA
3Rl8k5Daz5w5zHYSJz5lHA,It's a Moot Point,1,0.696,0.221,0.66,https://api.spotify.com/v1/audio-analysis/3Rl8k5Daz5w5zHYSJz5lHA
6ElfCM1XppU0YWkkFYh4s2,Pressure,55,0.832,0.139,0.658,https://api.spotify.com/v1/audio-analysis/6ElfCM1XppU0YWkkFYh4s2
0Maqqr2tZ93fqgy1n88q9e,Nightgowns,14,0.337,0.53,0.552,https://api.spotify.com/v1/audio-analysis/0Maqqr2tZ93fqgy1n88q9e
5MjAFPcmrR1DYCgZrXCN4d,Turnin' Me Up,57,0.843,0.0406,0.776,https://api.spotify.com/v1/audio-analysis/5MjAFPcmrR1DYCgZrXCN4d
0h4jHdNzUrV9eGR2PT5R8c,Lenny,54,0.321,0.775,0.171,https://api.spotify.com/v1/audio-analysis/0h4jHdNzUrV9eGR2PT5R8c
7iZ3N3mKXPiQxT4eyTi1Xd,Don't Kill My Vibe,44,0.385,0.982,0.075,https://api.spotify.com/v1/audio-analysis/7iZ3N3mKXPiQxT4eyTi1Xd
7pamxApUs3CE8t7tKmUJ6Z,The Bird,51,0.595,0.0838,0.645,https://api.spotify.com/v1/audio-analysis/7pamxApUs3CE8t7tKmUJ6Z
7pamxApUs3CE8t7tKmUJ6Z,The Bird,51,0.595,0.0838,0.645,https://api.spotify.com/v1/audio-analysis/7pamxApUs3CE8t7tKmUJ6Z
7pamxApUs3CE8t7tKmUJ6Z,The Bird,51,0.595,0.0838,0.645,https://api.spotify.com/v1/audio-analysis/7pamxApUs3CE8t7tKmUJ6Z
5vqjvuNViINnypB6MqDSMB,Coming Alive,60,0.118,0.549,0.593,https://api.spotify.com/v1/audio-analysis/5vqjvuNViINnypB6MqDSMB
29HSkfe5ITejb0MXhroHtG,Be About You,47,0.335,0.383,0.419,https://api.spotify.com/v1/audio-analysis/29HSkfe5ITejb0MXhroHtG
