track_uri,name,popularity,valence,acousticness,energy,analysis_url
4lLtanYk6tkMvooU0tWzG8,Grenade,78,0.245,0.148,0.558,https://api.spotify.com/v1/audio-analysis/4lLtanYk6tkMvooU0tWzG8
4lLtanYk6tkMvooU0tWzG8,Grenade,78,0.245,0.148,0.558,https://api.spotify.com/v1/audio-analysis/4lLtanYk6tkMvooU0tWzG8
6k9s52t7GyxRA4mNDERlwH,Before I Go,61,0.284,0.121,0.54,https://api.spotify.com/v1/audio-analysis/6k9s52t7GyxRA4mNDERlwH
285pBltuF7vW8TeWk8hdRR,Lucid Dreams,83,0.218,0.349,0.566,https://api.spotify.com/v1/audio-analysis/285pBltuF7vW8TeWk8hdRR
6uFn47ACjqYkc0jADwEdj1,Pop Out (feat. Lil Tjay),76,0.261,0.15,0.639,https://api.spotify.com/v1/audio-analysis/6uFn47ACjqYkc0jADwEdj1
1wJRveJZLSb1rjhnUHQiv6,Swervin (feat. 6ix9ine),73,0.434,0.0153,0.662,https://api.spotify.com/v1/audio-analysis/1wJRveJZLSb1rjhnUHQiv6
1lOe9qE0vR9zwWQAOk6CoO,Ransom,79,0.226,0.0204,0.642,https://api.spotify.com/v1/audio-analysis/1lOe9qE0vR9zwWQAOk6CoO
4VXIryQMWpIdGgYR4TrjT1,All Girls Are The Same,85,0.203,0.0769,0.529,https://api.spotify.com/v1/audio-analysis/4VXIryQMWpIdGgYR4TrjT1
3IJYUaN3tx04S4TYyZHKoP,Party Girl,67,0.615,0.747,0.439,https://api.spotify.com/v1/audio-analysis/3IJYUaN3tx04S4TYyZHKoP
5NQbUaeTEOGdD6hHcre0dZ,679 (feat. Remy Boyz),73,0.603,0.00256,0.717,https://api.spotify.com/v1/audio-analysis/5NQbUaeTEOGdD6hHcre0dZ
7rvyVWja33WG9R97oeJAjx,Envy Me,68,0.584,0.234,0.488,https://api.spotify.com/v1/audio-analysis/7rvyVWja33WG9R97oeJAjx
2EgB4n6XyBsuNUbuarr4eG,New Freezer (feat. Kendrick Lamar),61,0.575,0.0405,0.698,https://api.spotify.com/v1/audio-analysis/2EgB4n6XyBsuNUbuarr4eG
3VIJBrMpvimHEw5wtPh2wB,Money,74,0.452,0.216,0.918,https://api.spotify.com/v1/audio-analysis/3VIJBrMpvimHEw5wtPh2wB
6LUGvXEAK8WxIBYK43uoTb,Back to the Old House - 2011 Remaster,72,0.404,0.0102,0.488,https://api.spotify.com/v1/audio-analysis/6LUGvXEAK8WxIBYK43uoTb
1IzqLAnLpITw7SArHU3286,School Rooftop - Slowed Down Version,0,0.224,0.261,0.247,https://api.spotify.com/v1/audio-analysis/1IzqLAnLpITw7SArHU3286
0QUgSlWpeW7VCkLmrc58RU,Saline Solution,61,0.19,0.91,0.21,https://api.spotify.com/v1/audio-analysis/0QUgSlWpeW7VCkLmrc58RU
0NuWgxEp51CutD2pJoF4OM,blind,66,0.686,0.141,0.663,https://api.spotify.com/v1/audio-analysis/0NuWgxEp51CutD2pJoF4OM
6J4XizhuOlKmPWykPrHIrV,The Perfect Girl,0,0.294,0.0013,0.905,https://api.spotify.com/v1/audio-analysis/6J4XizhuOlKmPWykPrHIrV
5411TEB6tlzvuF5A4oyldr,Francis Forever,76,0.32,0.00262,0.448,https://api.spotify.com/v1/audio-analysis/5411TEB6tlzvuF5A4oyldr
5K9tfeoiztw94dyWzF39jq,moment,78,0.517,0.0426,0.855,https://api.spotify.com/v1/audio-analysis/5K9tfeoiztw94dyWzF39jq
0VF7YLIxSQKyNiFL3X6MmN,Stargazing,73,0.367,0.00304,0.483,https://api.spotify.com/v1/audio-analysis/0VF7YLIxSQKyNiFL3X6MmN
45ROR8UMn60YEVQnDy0uVF,Juliet,74,0.364,0.00346,0.586,https://api.spotify.com/v1/audio-analysis/45ROR8UMn60YEVQnDy0uVF
7DCQIOmpGV4nkHx7DQckJS,Bloom Later,61,0.249,0.796,0.318,https://api.spotify.com/v1/audio-analysis/7DCQIOmpGV4nkHx7DQckJS
2jQiSYrwJehQAcuaaQrXnS,Friends,80,0.0911,0.0114,0.609,https://api.spotify.com/v1/audio-analysis/2jQiSYrwJehQAcuaaQrXnS
1PS1QMdUqOal0ai3Gt7sDQ,Gold Digger,78,0.623,0.0195,0.696,https://api.spotify.com/v1/audio-analysis/1PS1QMdUqOal0ai3Gt7sDQ
275a9yzwGB6ncAW4SxY7q3,Panda,66,0.266,0.0292,0.731,https://api.spotify.com/v1/audio-analysis/275a9yzwGB6ncAW4SxY7q3
0qy5D3OJre7SPJNMOL9I71,Broccoli,65,0.708,0.236,0.525,https://api.spotify.com/v1/audio-analysis/0qy5D3OJre7SPJNMOL9I71
1FvU97lrWOG2NRxErh6OZz,Bad and Boujee (feat. Lil Uzi Vert),5,0.193,0.0633,0.661,https://api.spotify.com/v1/audio-analysis/1FvU97lrWOG2NRxErh6OZz
3LnOF5n1GOs01siYZXzS3p,Drowning (feat. Kodak Black),64,0.814,0.501,0.81,https://api.spotify.com/v1/audio-analysis/3LnOF5n1GOs01siYZXzS3p
57BrRMwf9LrcmuOsyGilwr,Crawling,76,0.299,0.0466,0.702,https://api.spotify.com/v1/audio-analysis/57BrRMwf9LrcmuOsyGilwr
