track_uri,name,popularity,valence,acousticness,energy,analysis_url
3UCN3NZKE2FXfYpXYcwfBS,A Whole New World,46,0.289,0.993,0.112,https://api.spotify.com/v1/audio-analysis/3UCN3NZKE2FXfYpXYcwfBS
5ETRimFnC8Irh20w7enu7X,Part of Your World,45,0.405,0.985,0.0978,https://api.spotify.com/v1/audio-analysis/5ETRimFnC8Irh20w7enu7X
0MwsVhUhQ7ZqDHwidNraLK,Let It Go,45,0.218,0.992,0.0867,https://api.spotify.com/v1/audio-analysis/0MwsVhUhQ7ZqDHwidNraLK
402Pwuz1XS5gqs625git4Z,Beauty and the Beast,42,0.374,0.993,0.0904,https://api.spotify.com/v1/audio-analysis/402Pwuz1XS5gqs625git4Z
3Z69D2VShmSNmf1FhOHygZ,Someday My Prince Will Come,43,0.161,0.992,0.0527,https://api.spotify.com/v1/audio-analysis/3Z69D2VShmSNmf1FhOHygZ
7E7h2oUypI4mvtCJ2Muacb,When You Wish Upon a Star,41,0.21,0.988,0.055,https://api.spotify.com/v1/audio-analysis/7E7h2oUypI4mvtCJ2Muacb
4UOWavrWkoksmm5W0k6jPr,My Neighbor Totoro,43,0.706,0.941,0.476,https://api.spotify.com/v1/audio-analysis/4UOWavrWkoksmm5W0k6jPr
0CBmghbDaOYxOt4rlmpUTd,Ave Maria,54,0.75,0.985,0.317,https://api.spotify.com/v1/audio-analysis/0CBmghbDaOYxOt4rlmpUTd
7Mhgikcr6qy7KkdPCx8izW,Ponyo on the Cliff by the Sea,45,0.726,0.941,0.366,https://api.spotify.com/v1/audio-analysis/7Mhgikcr6qy7KkdPCx8izW
3xp1q9hYyzTjsXG9H8BICf,Traumerei,35,0.344,0.98,0.236,https://api.spotify.com/v1/audio-analysis/3xp1q9hYyzTjsXG9H8BICf
7qxDBv6bSRhDHhrQmHP6oN,Schubert Lullaby,36,0.471,0.974,0.102,https://api.spotify.com/v1/audio-analysis/7qxDBv6bSRhDHhrQmHP6oN
