track_uri,name,popularity,valence,acousticness,energy,analysis_url
2NNiZ5qwYIKAwjbHJsxtAO,C'est La Vie,37,0.912,0.105,0.938,https://api.spotify.com/v1/audio-analysis/2NNiZ5qwYIKAwjbHJsxtAO
6R6ux6KaKrhAg2EIB2krdU,Without You,57,0.534,0.0761,0.864,https://api.spotify.com/v1/audio-analysis/6R6ux6KaKrhAg2EIB2krdU
2vC1qUcTJlWO9JQfcaOk9b,Amigas Cheetahs,49,0.535,0.177,0.896,https://api.spotify.com/v1/audio-analysis/2vC1qUcTJlWO9JQfcaOk9b
2fOxxLz9JVe53itq6pfBak,It's My Life,60,0.771,0.00264,0.75,https://api.spotify.com/v1/audio-analysis/2fOxxLz9JVe53itq6pfBak
1u0l8zWpQeMYStFkc2mLD7,Everywhere,65,0.476,0.0136,0.828,https://api.spotify.com/v1/audio-analysis/1u0l8zWpQeMYStFkc2mLD7
5hbytEkl5hUB5iRb0cCtZi,S.O.S.,0,0.712,0.000628,0.685,https://api.spotify.com/v1/audio-analysis/5hbytEkl5hUB5iRb0cCtZi
3vVrMfMn9FYsFn9ueM5dbB,Upside Down,0,0.907,0.132,0.9,https://api.spotify.com/v1/audio-analysis/3vVrMfMn9FYsFn9ueM5dbB
2IA4WEsWAYpV9eKkwR2UYv,Everybody Get Up - Radio Edit,36,0.609,0.00121,0.885,https://api.spotify.com/v1/audio-analysis/2IA4WEsWAYpV9eKkwR2UYv
02sVnwa4wVikUfBh6PN8u7,That's So Raven (Theme Song),43,0.963,0.00992,0.713,https://api.spotify.com/v1/audio-analysis/02sVnwa4wVikUfBh6PN8u7
5MTQbjkMmE6WsDQ8JlyEVo,Play My Music,53,0.759,0.000652,0.875,https://api.spotify.com/v1/audio-analysis/5MTQbjkMmE6WsDQ8JlyEVo
5aNagthlHAudbDZozQMjYP,Stick to the Status Quo,55,0.819,0.0316,0.721,https://api.spotify.com/v1/audio-analysis/5aNagthlHAudbDZozQMjYP
6TRp2628QKH3kY6KrCnjqp,You Are the Music in Me,60,0.477,0.441,0.766,https://api.spotify.com/v1/audio-analysis/6TRp2628QKH3kY6KrCnjqp
2TZ1apxMDlubCGMsOxcTbT,Come Clean,59,0.454,0.016,0.892,https://api.spotify.com/v1/audio-analysis/2TZ1apxMDlubCGMsOxcTbT
2TZ1apxMDlubCGMsOxcTbT,Come Clean,59,0.454,0.016,0.892,https://api.spotify.com/v1/audio-analysis/2TZ1apxMDlubCGMsOxcTbT
2TTYIwTM2iLC1YOyHuhRMt,Lucky,66,0.966,0.262,0.791,https://api.spotify.com/v1/audio-analysis/2TTYIwTM2iLC1YOyHuhRMt
4L55p6txv9vuCWhpNnY6eY,Dip It Low,54,0.576,0.0122,0.718,https://api.spotify.com/v1/audio-analysis/4L55p6txv9vuCWhpNnY6eY
5zn1hpm9N0ylKB7kOtpCw2,No More (Baby I'ma Do Right),55,0.761,0.102,0.723,https://api.spotify.com/v1/audio-analysis/5zn1hpm9N0ylKB7kOtpCw2
5WTxbyWTpoqhdxEN2szOnl,Everybody (Backstreet's Back) - Extended Version,57,0.509,0.00609,0.81,https://api.spotify.com/v1/audio-analysis/5WTxbyWTpoqhdxEN2szOnl
65i1UPsUtPlEVzewEZR6sY,Don't Say You Love Me,53,0.596,0.0141,0.723,https://api.spotify.com/v1/audio-analysis/65i1UPsUtPlEVzewEZR6sY
2rDwdvBma1O1eLzo29p2cr,Whataya Want from Me,61,0.445,0.00706,0.683,https://api.spotify.com/v1/audio-analysis/2rDwdvBma1O1eLzo29p2cr
78mvzft3gOGgREukFgp0Ev,Liquid Dreams,23,0.834,0.0194,0.561,https://api.spotify.com/v1/audio-analysis/78mvzft3gOGgREukFgp0Ev
2AW37v0bDyuOzGP3XnmFuA,It's Gonna Be Me,67,0.908,0.0407,0.873,https://api.spotify.com/v1/audio-analysis/2AW37v0bDyuOzGP3XnmFuA
2AW37v0bDyuOzGP3XnmFuA,It's Gonna Be Me,67,0.908,0.0407,0.873,https://api.spotify.com/v1/audio-analysis/2AW37v0bDyuOzGP3XnmFuA
4JjKoRNoshfbNqrFYthKND,Same Old Brand New You,46,0.645,0.0951,0.918,https://api.spotify.com/v1/audio-analysis/4JjKoRNoshfbNqrFYthKND
2tCrepYvlN3u0XUjDexGx2,Bodyshakin' - Radio Mix,41,0.967,0.0131,0.88,https://api.spotify.com/v1/audio-analysis/2tCrepYvlN3u0XUjDexGx2
6qtIK4R6qJCFPBfu5WcPkh,The Hardest Part About Breaking Up (Is Getting Back Your Stuff),31,0.921,0.163,0.943,https://api.spotify.com/v1/audio-analysis/6qtIK4R6qJCFPBfu5WcPkh
5QjMiyIsyqn91MVKZCWpCp,Can I Get Your Number - A Girl Like You,21,0.945,0.0679,0.815,https://api.spotify.com/v1/audio-analysis/5QjMiyIsyqn91MVKZCWpCp
5IIQ7vg9HvA4QSNtFDGJVT,Pieces Of Me,0,0.772,0.0572,0.799,https://api.spotify.com/v1/audio-analysis/5IIQ7vg9HvA4QSNtFDGJVT
5IIQ7vg9HvA4QSNtFDGJVT,Pieces Of Me,0,0.772,0.0572,0.799,https://api.spotify.com/v1/audio-analysis/5IIQ7vg9HvA4QSNtFDGJVT
5IIQ7vg9HvA4QSNtFDGJVT,Pieces Of Me,0,0.772,0.0572,0.799,https://api.spotify.com/v1/audio-analysis/5IIQ7vg9HvA4QSNtFDGJVT
6Zr4GrL7R9gAhtJBKsDtPI,Sharada,26,0.849,0.000613,0.889,https://api.spotify.com/v1/audio-analysis/6Zr4GrL7R9gAhtJBKsDtPI
18uwYnlQEBmwD2UcuSOsBO,So Yesterday,30,0.749,0.235,0.792,https://api.spotify.com/v1/audio-analysis/18uwYnlQEBmwD2UcuSOsBO
18uwYnlQEBmwD2UcuSOsBO,So Yesterday,30,0.749,0.235,0.792,https://api.spotify.com/v1/audio-analysis/18uwYnlQEBmwD2UcuSOsBO
24e3D5JU8ETOVouTcTD96r,I Lay My Love on You,0,0.588,0.0649,0.718,https://api.spotify.com/v1/audio-analysis/24e3D5JU8ETOVouTcTD96r
5paEiUa6tDA61S5NqTJG6t,I Want Candy,24,0.96,0.00704,0.879,https://api.spotify.com/v1/audio-analysis/5paEiUa6tDA61S5NqTJG6t
2x5qF66rFO6DERBMNkQAqn,(There's Gotta Be) More To Life,56,0.649,0.0917,0.922,https://api.spotify.com/v1/audio-analysis/2x5qF66rFO6DERBMNkQAqn
5njdVzhNvMNIK5Opyu4gLJ,BareNaked - Video Version,42,0.723,0.0214,0.834,https://api.spotify.com/v1/audio-analysis/5njdVzhNvMNIK5Opyu4gLJ
