track_uri,name,popularity,valence,acousticness,energy,analysis_url
4Y0TtDriFlN3XZoQx6PYsu,"Don't Give Up On Me - (From ""Five Feet Apart"")",0,0.0681,0.0875,0.537,https://api.spotify.com/v1/audio-analysis/4Y0TtDriFlN3XZoQx6PYsu
4zQuwW24dweWcaX0fEJkP2,You Know I'm No Good,63,0.734,0.0132,0.806,https://api.spotify.com/v1/audio-analysis/4zQuwW24dweWcaX0fEJkP2
7GqWnsKhMtEW0nzki5o0d8,Killer Queen - Remastered 2011,69,0.61,0.379,0.65,https://api.spotify.com/v1/audio-analysis/7GqWnsKhMtEW0nzki5o0d8
33bURv895AN4FkBvgFo2dx,Woman,70,0.379,0.0169,0.647,https://api.spotify.com/v1/audio-analysis/33bURv895AN4FkBvgFo2dx
6SQLk9HSNketfgs2AyIiMs,She,73,0.457,0.000532,0.521,https://api.spotify.com/v1/audio-analysis/6SQLk9HSNketfgs2AyIiMs
6SQLk9HSNketfgs2AyIiMs,She,73,0.457,0.000532,0.521,https://api.spotify.com/v1/audio-analysis/6SQLk9HSNketfgs2AyIiMs
1y3r6RXiJZNBV1EI0NggpS,Ultraviolence,73,0.0899,0.278,0.541,https://api.spotify.com/v1/audio-analysis/1y3r6RXiJZNBV1EI0NggpS
30FURVTCpbKyykjSEQzGkH,Back To Black,70,0.335,0.123,0.725,https://api.spotify.com/v1/audio-analysis/30FURVTCpbKyykjSEQzGkH
30FURVTCpbKyykjSEQzGkH,Back To Black,70,0.335,0.123,0.725,https://api.spotify.com/v1/audio-analysis/30FURVTCpbKyykjSEQzGkH
0CuQKW9YZZA3vcnfpKLCSj,Brooklyn Baby,57,0.0949,0.542,0.664,https://api.spotify.com/v1/audio-analysis/0CuQKW9YZZA3vcnfpKLCSj
11MyiSGZSYSmhhqwGUTtAq,Sad Girl,75,0.258,0.539,0.587,https://api.spotify.com/v1/audio-analysis/11MyiSGZSYSmhhqwGUTtAq
7LQKuOaqJrNgVIGLFnfvdn,Million Dollar Man,62,0.511,0.484,0.589,https://api.spotify.com/v1/audio-analysis/7LQKuOaqJrNgVIGLFnfvdn
